,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ENGPRF_6_NAME,OBS_VALUE
0,2021,W02000264,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,7
1,2021,W02000265,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8882
2,2021,W02000265,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),8808
3,2021,W02000265,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),74
4,2021,W02000265,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,33
5,2021,W02000265,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,24
6,2021,W02000265,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,14
7,2021,W02000265,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,3
8,2021,W02000266,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7238
9,2021,W02000266,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),7117
10,2021,W02000266,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),121
11,2021,W02000266,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,52
12,2021,W02000266,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,44
13,2021,W02000266,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,23
14,2021,W02000266,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,2
15,2021,W02000267,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6160
16,2021,W02000267,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),6018
17,2021,W02000267,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),142
18,2021,W02000267,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,77
19,2021,W02000267,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,32
20,2021,W02000267,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,27
21,2021,W02000267,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,6
22,2021,W02000268,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8660
23,2021,W02000268,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),8575
24,2021,W02000268,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),85
25,2021,W02000268,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,35
26,2021,W02000268,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,37
27,2021,W02000268,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,12
28,2021,W02000268,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,1
29,2021,W02000269,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7949
30,2021,W02000269,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),7875
31,2021,W02000269,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),74
32,2021,W02000269,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,36
33,2021,W02000269,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,22
34,2021,W02000269,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,14
35,2021,W02000269,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,2
36,2021,W02000270,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6394
37,2021,W02000270,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),6267
38,2021,W02000270,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),127
39,2021,W02000270,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,68
40,2021,W02000270,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,50
41,2021,W02000270,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,9
42,2021,W02000270,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,0
43,2021,W02000271,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5268
44,2021,W02000271,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),5209
45,2021,W02000271,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),59
46,2021,W02000271,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,26
47,2021,W02000271,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,16
48,2021,W02000271,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,13
49,2021,W02000271,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,4
50,2021,W02000272,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9618
51,2021,W02000272,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),9390
52,2021,W02000272,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),228
