,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELIGION_58_NAME,OBS_VALUE
0,2021,E02003086,2021 super output areas - middle layer,152,Total: All Usual Residents,6127
1,2021,E02003086,2021 super output areas - middle layer,152,Christian,3069
2,2021,E02003086,2021 super output areas - middle layer,152,Buddhist,30
3,2021,E02003086,2021 super output areas - middle layer,152,Hindu,10
4,2021,E02003086,2021 super output areas - middle layer,152,Jewish,7
5,2021,E02003086,2021 super output areas - middle layer,152,Muslim ,20
6,2021,E02003086,2021 super output areas - middle layer,152,Sikh,6
7,2021,E02003086,2021 super output areas - middle layer,152,No religion,2447
8,2021,E02003086,2021 super output areas - middle layer,152,No religion: Agnostic,9
9,2021,E02003086,2021 super output areas - middle layer,152,No religion: Atheist,3
10,2021,E02003086,2021 super output areas - middle layer,152,No religion: Free Thinker,0
11,2021,E02003086,2021 super output areas - middle layer,152,No religion: Humanist,1
12,2021,E02003086,2021 super output areas - middle layer,152,No religion: No religion,2434
13,2021,E02003086,2021 super output areas - middle layer,152,No religion: Realist,0
14,2021,E02003086,2021 super output areas - middle layer,152,Other religion,43
15,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Alevi,0
16,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Animism,0
17,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Baha'i,0
18,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Believe in God,0
19,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Brahma Kumari,0
20,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Chinese Religion,0
21,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Church of All Religion,0
22,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Confucianist,0
23,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Deist,0
24,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Druid,1
25,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Druze,0
26,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Eckankar,0
27,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Heathen,0
28,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Jain,0
29,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Mixed Religion,4
30,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Mysticism,0
31,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Native American Church,0
32,2021,E02003086,2021 super output areas - middle layer,152,Other religion: New Age,0
33,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Occult,0
34,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Other religions,11
35,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Own Belief System,0
36,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Pagan,13
37,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Pantheism,0
38,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Rastafarian,0
39,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Ravidassia,0
40,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Reconstructionist,0
41,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Satanism,1
42,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Scientology,0
43,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Shamanism,0
44,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Shintoism,0
45,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Spiritual,5
46,2021,E02003086,2021 super output areas - middle layer,152,Other religion: Spiritualist,8
