,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_CARS_5_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,No cars or vans in household,776
2,2021,E02002483,2021 super output areas - middle layer,152,1 car or van in household,1780
3,2021,E02002483,2021 super output areas - middle layer,152,2 cars or vans in household,1364
4,2021,E02002483,2021 super output areas - middle layer,152,3 or more cars or vans in household,410
5,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4594
6,2021,E02002484,2021 super output areas - middle layer,152,No cars or vans in household,1839
7,2021,E02002484,2021 super output areas - middle layer,152,1 car or van in household,1831
8,2021,E02002484,2021 super output areas - middle layer,152,2 cars or vans in household,727
9,2021,E02002484,2021 super output areas - middle layer,152,3 or more cars or vans in household,197
10,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3539
11,2021,E02002485,2021 super output areas - middle layer,152,No cars or vans in household,1296
12,2021,E02002485,2021 super output areas - middle layer,152,1 car or van in household,1516
13,2021,E02002485,2021 super output areas - middle layer,152,2 cars or vans in household,566
14,2021,E02002485,2021 super output areas - middle layer,152,3 or more cars or vans in household,161
15,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3240
16,2021,E02002489,2021 super output areas - middle layer,152,No cars or vans in household,1489
17,2021,E02002489,2021 super output areas - middle layer,152,1 car or van in household,1165
18,2021,E02002489,2021 super output areas - middle layer,152,2 cars or vans in household,446
19,2021,E02002489,2021 super output areas - middle layer,152,3 or more cars or vans in household,140
20,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2648
21,2021,E02002490,2021 super output areas - middle layer,152,No cars or vans in household,1061
22,2021,E02002490,2021 super output areas - middle layer,152,1 car or van in household,1026
23,2021,E02002490,2021 super output areas - middle layer,152,2 cars or vans in household,434
24,2021,E02002490,2021 super output areas - middle layer,152,3 or more cars or vans in household,127
25,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
26,2021,E02002491,2021 super output areas - middle layer,152,No cars or vans in household,961
27,2021,E02002491,2021 super output areas - middle layer,152,1 car or van in household,1169
28,2021,E02002491,2021 super output areas - middle layer,152,2 cars or vans in household,517
29,2021,E02002491,2021 super output areas - middle layer,152,3 or more cars or vans in household,164
30,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2975
31,2021,E02002492,2021 super output areas - middle layer,152,No cars or vans in household,794
32,2021,E02002492,2021 super output areas - middle layer,152,1 car or van in household,1315
33,2021,E02002492,2021 super output areas - middle layer,152,2 cars or vans in household,683
34,2021,E02002492,2021 super output areas - middle layer,152,3 or more cars or vans in household,183
35,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
36,2021,E02002493,2021 super output areas - middle layer,152,No cars or vans in household,403
37,2021,E02002493,2021 super output areas - middle layer,152,1 car or van in household,1280
38,2021,E02002493,2021 super output areas - middle layer,152,2 cars or vans in household,971
39,2021,E02002493,2021 super output areas - middle layer,152,3 or more cars or vans in household,301
40,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3389
41,2021,E02002494,2021 super output areas - middle layer,152,No cars or vans in household,1450
42,2021,E02002494,2021 super output areas - middle layer,152,1 car or van in household,1302
43,2021,E02002494,2021 super output areas - middle layer,152,2 cars or vans in household,491
44,2021,E02002494,2021 super output areas - middle layer,152,3 or more cars or vans in household,146
45,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5505
46,2021,E02006909,2021 super output areas - middle layer,152,No cars or vans in household,562
47,2021,E02006909,2021 super output areas - middle layer,152,1 car or van in household,2230
48,2021,E02006909,2021 super output areas - middle layer,152,2 cars or vans in household,1964
49,2021,E02006909,2021 super output areas - middle layer,152,3 or more cars or vans in household,749
50,2021,E02007059,2021 super output areas - middle layer,152,Total: All households,4943
51,2021,E02007059,2021 super output areas - middle layer,152,No cars or vans in household,1472
52,2021,E02007059,2021 super output areas - middle layer,152,1 car or van in household,2021
53,2021,E02007059,2021 super output areas - middle layer,152,2 cars or vans in household,1096
54,2021,E02007059,2021 super output areas - middle layer,152,3 or more cars or vans in household,354
55,2021,E02002496,2021 super output areas - middle layer,152,Total: All households,4460
56,2021,E02002496,2021 super output areas - middle layer,152,No cars or vans in household,2488
57,2021,E02002496,2021 super output areas - middle layer,152,1 car or van in household,1446
58,2021,E02002496,2021 super output areas - middle layer,152,2 cars or vans in household,396
59,2021,E02002496,2021 super output areas - middle layer,152,3 or more cars or vans in household,130
60,2021,E02002497,2021 super output areas - middle layer,152,Total: All households,2744
61,2021,E02002497,2021 super output areas - middle layer,152,No cars or vans in household,1510
62,2021,E02002497,2021 super output areas - middle layer,152,1 car or van in household,922
63,2021,E02002497,2021 super output areas - middle layer,152,2 cars or vans in household,257
64,2021,E02002497,2021 super output areas - middle layer,152,3 or more cars or vans in household,55
65,2021,E02002498,2021 super output areas - middle layer,152,Total: All households,3643
66,2021,E02002498,2021 super output areas - middle layer,152,No cars or vans in household,2273
67,2021,E02002498,2021 super output areas - middle layer,152,1 car or van in household,1094
68,2021,E02002498,2021 super output areas - middle layer,152,2 cars or vans in household,222
69,2021,E02002498,2021 super output areas - middle layer,152,3 or more cars or vans in household,54
70,2021,E02002499,2021 super output areas - middle layer,152,Total: All households,3067
71,2021,E02002499,2021 super output areas - middle layer,152,No cars or vans in household,1344
72,2021,E02002499,2021 super output areas - middle layer,152,1 car or van in household,1179
73,2021,E02002499,2021 super output areas - middle layer,152,2 cars or vans in household,458
74,2021,E02002499,2021 super output areas - middle layer,152,3 or more cars or vans in household,86
75,2021,E02002500,2021 super output areas - middle layer,152,Total: All households,2333
76,2021,E02002500,2021 super output areas - middle layer,152,No cars or vans in household,748
77,2021,E02002500,2021 super output areas - middle layer,152,1 car or van in household,1046
78,2021,E02002500,2021 super output areas - middle layer,152,2 cars or vans in household,413
79,2021,E02002500,2021 super output areas - middle layer,152,3 or more cars or vans in household,126
80,2021,E02002501,2021 super output areas - middle layer,152,Total: All households,2607
81,2021,E02002501,2021 super output areas - middle layer,152,No cars or vans in household,955
82,2021,E02002501,2021 super output areas - middle layer,152,1 car or van in household,1097
83,2021,E02002501,2021 super output areas - middle layer,152,2 cars or vans in household,464
84,2021,E02002501,2021 super output areas - middle layer,152,3 or more cars or vans in household,91
85,2021,E02002502,2021 super output areas - middle layer,152,Total: All households,4353
86,2021,E02002502,2021 super output areas - middle layer,152,No cars or vans in household,2047
87,2021,E02002502,2021 super output areas - middle layer,152,1 car or van in household,1612
88,2021,E02002502,2021 super output areas - middle layer,152,2 cars or vans in household,538
89,2021,E02002502,2021 super output areas - middle layer,152,3 or more cars or vans in household,156
90,2021,E02002503,2021 super output areas - middle layer,152,Total: All households,2740
91,2021,E02002503,2021 super output areas - middle layer,152,No cars or vans in household,919
92,2021,E02002503,2021 super output areas - middle layer,152,1 car or van in household,1166
93,2021,E02002503,2021 super output areas - middle layer,152,2 cars or vans in household,501
94,2021,E02002503,2021 super output areas - middle layer,152,3 or more cars or vans in household,154
95,2021,E02002504,2021 super output areas - middle layer,152,Total: All households,3777
96,2021,E02002504,2021 super output areas - middle layer,152,No cars or vans in household,795
97,2021,E02002504,2021 super output areas - middle layer,152,1 car or van in household,1756
98,2021,E02002504,2021 super output areas - middle layer,152,2 cars or vans in household,902
99,2021,E02002504,2021 super output areas - middle layer,152,3 or more cars or vans in household,324
100,2021,E02002505,2021 super output areas - middle layer,152,Total: All households,2645
101,2021,E02002505,2021 super output areas - middle layer,152,No cars or vans in household,1190
102,2021,E02002505,2021 super output areas - middle layer,152,1 car or van in household,1059
103,2021,E02002505,2021 super output areas - middle layer,152,2 cars or vans in household,304
104,2021,E02002505,2021 super output areas - middle layer,152,3 or more cars or vans in household,92
105,2021,E02002506,2021 super output areas - middle layer,152,Total: All households,2331
106,2021,E02002506,2021 super output areas - middle layer,152,No cars or vans in household,1053
107,2021,E02002506,2021 super output areas - middle layer,152,1 car or van in household,911
108,2021,E02002506,2021 super output areas - middle layer,152,2 cars or vans in household,288
109,2021,E02002506,2021 super output areas - middle layer,152,3 or more cars or vans in household,79
110,2021,E02002507,2021 super output areas - middle layer,152,Total: All households,2557
111,2021,E02002507,2021 super output areas - middle layer,152,No cars or vans in household,366
112,2021,E02002507,2021 super output areas - middle layer,152,1 car or van in household,1122
113,2021,E02002507,2021 super output areas - middle layer,152,2 cars or vans in household,827
114,2021,E02002507,2021 super output areas - middle layer,152,3 or more cars or vans in household,242
115,2021,E02002508,2021 super output areas - middle layer,152,Total: All households,2279
116,2021,E02002508,2021 super output areas - middle layer,152,No cars or vans in household,345
117,2021,E02002508,2021 super output areas - middle layer,152,1 car or van in household,980
118,2021,E02002508,2021 super output areas - middle layer,152,2 cars or vans in household,704
119,2021,E02002508,2021 super output areas - middle layer,152,3 or more cars or vans in household,250
120,2021,E02002509,2021 super output areas - middle layer,152,Total: All households,2253
121,2021,E02002509,2021 super output areas - middle layer,152,No cars or vans in household,718
122,2021,E02002509,2021 super output areas - middle layer,152,1 car or van in household,955
123,2021,E02002509,2021 super output areas - middle layer,152,2 cars or vans in household,464
124,2021,E02002509,2021 super output areas - middle layer,152,3 or more cars or vans in household,116
125,2021,E02002510,2021 super output areas - middle layer,152,Total: All households,3120
126,2021,E02002510,2021 super output areas - middle layer,152,No cars or vans in household,392
127,2021,E02002510,2021 super output areas - middle layer,152,1 car or van in household,1419
128,2021,E02002510,2021 super output areas - middle layer,152,2 cars or vans in household,1035
