,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
0,2021,E02002438,2021 super output areas - middle layer,152,No central heating,30
1,2021,E02002438,2021 super output areas - middle layer,152,Mains gas only,2992
2,2021,E02002438,2021 super output areas - middle layer,152,Tank or bottled gas only,13
3,2021,E02002438,2021 super output areas - middle layer,152,Electric only,133
4,2021,E02002438,2021 super output areas - middle layer,152,Oil only,8
5,2021,E02002438,2021 super output areas - middle layer,152,Wood only,3
6,2021,E02002438,2021 super output areas - middle layer,152,Solid fuel only,50
7,2021,E02002438,2021 super output areas - middle layer,152,Renewable energy only,12
8,2021,E02002438,2021 super output areas - middle layer,152,District or communal heat networks only,40
9,2021,E02002438,2021 super output areas - middle layer,152,Other central heating only,28
10,2021,E02002438,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),328
11,2021,E02002438,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),26
12,2021,E02002439,2021 super output areas - middle layer,152,Total: All households,4148
13,2021,E02002439,2021 super output areas - middle layer,152,No central heating,62
14,2021,E02002439,2021 super output areas - middle layer,152,Mains gas only,3398
15,2021,E02002439,2021 super output areas - middle layer,152,Tank or bottled gas only,17
16,2021,E02002439,2021 super output areas - middle layer,152,Electric only,245
17,2021,E02002439,2021 super output areas - middle layer,152,Oil only,7
18,2021,E02002439,2021 super output areas - middle layer,152,Wood only,1
19,2021,E02002439,2021 super output areas - middle layer,152,Solid fuel only,45
20,2021,E02002439,2021 super output areas - middle layer,152,Renewable energy only,2
21,2021,E02002439,2021 super output areas - middle layer,152,District or communal heat networks only,8
22,2021,E02002439,2021 super output areas - middle layer,152,Other central heating only,30
23,2021,E02002439,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),329
24,2021,E02002439,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),4
25,2021,E02002440,2021 super output areas - middle layer,152,Total: All households,3271
26,2021,E02002440,2021 super output areas - middle layer,152,No central heating,24
27,2021,E02002440,2021 super output areas - middle layer,152,Mains gas only,2762
28,2021,E02002440,2021 super output areas - middle layer,152,Tank or bottled gas only,5
29,2021,E02002440,2021 super output areas - middle layer,152,Electric only,92
30,2021,E02002440,2021 super output areas - middle layer,152,Oil only,5
31,2021,E02002440,2021 super output areas - middle layer,152,Wood only,2
32,2021,E02002440,2021 super output areas - middle layer,152,Solid fuel only,46
33,2021,E02002440,2021 super output areas - middle layer,152,Renewable energy only,3
34,2021,E02002440,2021 super output areas - middle layer,152,District or communal heat networks only,36
35,2021,E02002440,2021 super output areas - middle layer,152,Other central heating only,20
36,2021,E02002440,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),263
37,2021,E02002440,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),13
38,2021,E02002441,2021 super output areas - middle layer,152,Total: All households,4360
39,2021,E02002441,2021 super output areas - middle layer,152,No central heating,36
40,2021,E02002441,2021 super output areas - middle layer,152,Mains gas only,3540
41,2021,E02002441,2021 super output areas - middle layer,152,Tank or bottled gas only,14
42,2021,E02002441,2021 super output areas - middle layer,152,Electric only,222
43,2021,E02002441,2021 super output areas - middle layer,152,Oil only,5
44,2021,E02002441,2021 super output areas - middle layer,152,Wood only,6
45,2021,E02002441,2021 super output areas - middle layer,152,Solid fuel only,51
46,2021,E02002441,2021 super output areas - middle layer,152,Renewable energy only,4
47,2021,E02002441,2021 super output areas - middle layer,152,District or communal heat networks only,24
48,2021,E02002441,2021 super output areas - middle layer,152,Other central heating only,38
49,2021,E02002441,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),403
50,2021,E02002441,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),17
51,2021,E02002442,2021 super output areas - middle layer,152,Total: All households,3150
52,2021,E02002442,2021 super output areas - middle layer,152,No central heating,37
53,2021,E02002442,2021 super output areas - middle layer,152,Mains gas only,2663
54,2021,E02002442,2021 super output areas - middle layer,152,Tank or bottled gas only,13
55,2021,E02002442,2021 super output areas - middle layer,152,Electric only,92
56,2021,E02002442,2021 super output areas - middle layer,152,Oil only,0
57,2021,E02002442,2021 super output areas - middle layer,152,Wood only,4
58,2021,E02002442,2021 super output areas - middle layer,152,Solid fuel only,40
59,2021,E02002442,2021 super output areas - middle layer,152,Renewable energy only,1
60,2021,E02002442,2021 super output areas - middle layer,152,District or communal heat networks only,4
61,2021,E02002442,2021 super output areas - middle layer,152,Other central heating only,18
62,2021,E02002442,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),264
63,2021,E02002442,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),14
64,2021,E02002443,2021 super output areas - middle layer,152,Total: All households,2560
65,2021,E02002443,2021 super output areas - middle layer,152,No central heating,33
