,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,1 bedroom,153
2,2021,E02002483,2021 super output areas - middle layer,152,2 bedrooms,947
3,2021,E02002483,2021 super output areas - middle layer,152,3 bedrooms,2187
4,2021,E02002483,2021 super output areas - middle layer,152,4 or more bedrooms,1043
5,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4594
6,2021,E02002484,2021 super output areas - middle layer,152,1 bedroom,563
7,2021,E02002484,2021 super output areas - middle layer,152,2 bedrooms,1431
8,2021,E02002484,2021 super output areas - middle layer,152,3 bedrooms,2167
9,2021,E02002484,2021 super output areas - middle layer,152,4 or more bedrooms,433
10,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3539
11,2021,E02002485,2021 super output areas - middle layer,152,1 bedroom,346
12,2021,E02002485,2021 super output areas - middle layer,152,2 bedrooms,951
13,2021,E02002485,2021 super output areas - middle layer,152,3 bedrooms,1865
14,2021,E02002485,2021 super output areas - middle layer,152,4 or more bedrooms,377
15,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3240
16,2021,E02002489,2021 super output areas - middle layer,152,1 bedroom,571
17,2021,E02002489,2021 super output areas - middle layer,152,2 bedrooms,867
18,2021,E02002489,2021 super output areas - middle layer,152,3 bedrooms,1084
19,2021,E02002489,2021 super output areas - middle layer,152,4 or more bedrooms,718
20,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2646
21,2021,E02002490,2021 super output areas - middle layer,152,1 bedroom,167
22,2021,E02002490,2021 super output areas - middle layer,152,2 bedrooms,848
23,2021,E02002490,2021 super output areas - middle layer,152,3 bedrooms,1400
24,2021,E02002490,2021 super output areas - middle layer,152,4 or more bedrooms,231
25,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
26,2021,E02002491,2021 super output areas - middle layer,152,1 bedroom,238
27,2021,E02002491,2021 super output areas - middle layer,152,2 bedrooms,649
28,2021,E02002491,2021 super output areas - middle layer,152,3 bedrooms,1703
29,2021,E02002491,2021 super output areas - middle layer,152,4 or more bedrooms,221
30,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2975
31,2021,E02002492,2021 super output areas - middle layer,152,1 bedroom,222
32,2021,E02002492,2021 super output areas - middle layer,152,2 bedrooms,1001
33,2021,E02002492,2021 super output areas - middle layer,152,3 bedrooms,1422
34,2021,E02002492,2021 super output areas - middle layer,152,4 or more bedrooms,330
35,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
36,2021,E02002493,2021 super output areas - middle layer,152,1 bedroom,155
37,2021,E02002493,2021 super output areas - middle layer,152,2 bedrooms,574
38,2021,E02002493,2021 super output areas - middle layer,152,3 bedrooms,1339
39,2021,E02002493,2021 super output areas - middle layer,152,4 or more bedrooms,887
40,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3387
41,2021,E02002494,2021 super output areas - middle layer,152,1 bedroom,333
42,2021,E02002494,2021 super output areas - middle layer,152,2 bedrooms,1428
43,2021,E02002494,2021 super output areas - middle layer,152,3 bedrooms,1452
44,2021,E02002494,2021 super output areas - middle layer,152,4 or more bedrooms,174
45,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5508
46,2021,E02006909,2021 super output areas - middle layer,152,1 bedroom,138
47,2021,E02006909,2021 super output areas - middle layer,152,2 bedrooms,1108
48,2021,E02006909,2021 super output areas - middle layer,152,3 bedrooms,2157
49,2021,E02006909,2021 super output areas - middle layer,152,4 or more bedrooms,2105
50,2021,E02007059,2021 super output areas - middle layer,152,Total: All households,4943
51,2021,E02007059,2021 super output areas - middle layer,152,1 bedroom,451
52,2021,E02007059,2021 super output areas - middle layer,152,2 bedrooms,1502
