,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ROOMS_10_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All households,3104
1,2021,E02000959,2021 super output areas - middle layer,152,1 room,105
2,2021,E02000959,2021 super output areas - middle layer,152,2 rooms,608
3,2021,E02000959,2021 super output areas - middle layer,152,3 rooms,895
4,2021,E02000959,2021 super output areas - middle layer,152,4 rooms,749
5,2021,E02000959,2021 super output areas - middle layer,152,5 rooms,474
6,2021,E02000959,2021 super output areas - middle layer,152,6 rooms,192
7,2021,E02000959,2021 super output areas - middle layer,152,7 rooms,37
8,2021,E02000959,2021 super output areas - middle layer,152,8 rooms,25
9,2021,E02000959,2021 super output areas - middle layer,152,9 or more rooms,19
10,2021,E02007083,2021 super output areas - middle layer,152,Total: All households,4105
11,2021,E02007083,2021 super output areas - middle layer,152,1 room,181
12,2021,E02007083,2021 super output areas - middle layer,152,2 rooms,1351
13,2021,E02007083,2021 super output areas - middle layer,152,3 rooms,2062
14,2021,E02007083,2021 super output areas - middle layer,152,4 rooms,417
15,2021,E02007083,2021 super output areas - middle layer,152,5 rooms,64
16,2021,E02007083,2021 super output areas - middle layer,152,6 rooms,20
17,2021,E02007083,2021 super output areas - middle layer,152,7 rooms,5
18,2021,E02007083,2021 super output areas - middle layer,152,8 rooms,1
19,2021,E02007083,2021 super output areas - middle layer,152,9 or more rooms,4
20,2021,E02007084,2021 super output areas - middle layer,152,Total: All households,4138
21,2021,E02007084,2021 super output areas - middle layer,152,1 room,69
22,2021,E02007084,2021 super output areas - middle layer,152,2 rooms,1161
23,2021,E02007084,2021 super output areas - middle layer,152,3 rooms,1541
24,2021,E02007084,2021 super output areas - middle layer,152,4 rooms,986
25,2021,E02007084,2021 super output areas - middle layer,152,5 rooms,299
26,2021,E02007084,2021 super output areas - middle layer,152,6 rooms,60
27,2021,E02007084,2021 super output areas - middle layer,152,7 rooms,13
28,2021,E02007084,2021 super output areas - middle layer,152,8 rooms,6
29,2021,E02007084,2021 super output areas - middle layer,152,9 or more rooms,3
30,2021,E02000960,2021 super output areas - middle layer,152,Total: All households,2782
31,2021,E02000960,2021 super output areas - middle layer,152,1 room,172
32,2021,E02000960,2021 super output areas - middle layer,152,2 rooms,540
33,2021,E02000960,2021 super output areas - middle layer,152,3 rooms,813
34,2021,E02000960,2021 super output areas - middle layer,152,4 rooms,456
35,2021,E02000960,2021 super output areas - middle layer,152,5 rooms,313
36,2021,E02000960,2021 super output areas - middle layer,152,6 rooms,193
37,2021,E02000960,2021 super output areas - middle layer,152,7 rooms,170
38,2021,E02000960,2021 super output areas - middle layer,152,8 rooms,60
39,2021,E02000960,2021 super output areas - middle layer,152,9 or more rooms,65
40,2021,E02000961,2021 super output areas - middle layer,152,Total: All households,4068
41,2021,E02000961,2021 super output areas - middle layer,152,1 room,196
42,2021,E02000961,2021 super output areas - middle layer,152,2 rooms,911
43,2021,E02000961,2021 super output areas - middle layer,152,3 rooms,1389
44,2021,E02000961,2021 super output areas - middle layer,152,4 rooms,667
45,2021,E02000961,2021 super output areas - middle layer,152,5 rooms,229
