,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TENURE_9_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All households,3104
1,2021,E02000959,2021 super output areas - middle layer,152,Owned,1282
2,2021,E02000959,2021 super output areas - middle layer,152,Owned: Owns outright,451
3,2021,E02000959,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,831
4,2021,E02000959,2021 super output areas - middle layer,152,Shared ownership,33
5,2021,E02000959,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,33
6,2021,E02000959,2021 super output areas - middle layer,152,Social rented,627
7,2021,E02000959,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,288
8,2021,E02000959,2021 super output areas - middle layer,152,Social rented: Other social rented,339
9,2021,E02000959,2021 super output areas - middle layer,152,Private rented,1161
10,2021,E02000959,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1095
11,2021,E02000959,2021 super output areas - middle layer,152,Private rented: Other private rented,66
12,2021,E02000959,2021 super output areas - middle layer,152,Lives rent free,1
13,2021,E02000959,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,864
14,2021,E02000959,2021 super output areas - middle layer,152,Private rented or lives rent free,1162
15,2021,E02007083,2021 super output areas - middle layer,152,Total: All households,4105
16,2021,E02007083,2021 super output areas - middle layer,152,Owned,980
17,2021,E02007083,2021 super output areas - middle layer,152,Owned: Owns outright,462
18,2021,E02007083,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,518
19,2021,E02007083,2021 super output areas - middle layer,152,Shared ownership,329
20,2021,E02007083,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,329
21,2021,E02007083,2021 super output areas - middle layer,152,Social rented,492
22,2021,E02007083,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,167
23,2021,E02007083,2021 super output areas - middle layer,152,Social rented: Other social rented,325
24,2021,E02007083,2021 super output areas - middle layer,152,Private rented,2302
25,2021,E02007083,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,2146
26,2021,E02007083,2021 super output areas - middle layer,152,Private rented: Other private rented,156
27,2021,E02007083,2021 super output areas - middle layer,152,Lives rent free,2
28,2021,E02007083,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,847
29,2021,E02007083,2021 super output areas - middle layer,152,Private rented or lives rent free,2304
30,2021,E02007084,2021 super output areas - middle layer,152,Total: All households,4134
31,2021,E02007084,2021 super output areas - middle layer,152,Owned,924
32,2021,E02007084,2021 super output areas - middle layer,152,Owned: Owns outright,383
33,2021,E02007084,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,541
34,2021,E02007084,2021 super output areas - middle layer,152,Shared ownership,91
35,2021,E02007084,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,91
36,2021,E02007084,2021 super output areas - middle layer,152,Social rented,1694
37,2021,E02007084,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,1342
38,2021,E02007084,2021 super output areas - middle layer,152,Social rented: Other social rented,352
39,2021,E02007084,2021 super output areas - middle layer,152,Private rented,1414
40,2021,E02007084,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1339
41,2021,E02007084,2021 super output areas - middle layer,152,Private rented: Other private rented,75
42,2021,E02007084,2021 super output areas - middle layer,152,Lives rent free,11
43,2021,E02007084,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,632
44,2021,E02007084,2021 super output areas - middle layer,152,Private rented or lives rent free,1425
45,2021,E02000960,2021 super output areas - middle layer,152,Total: All households,2782
46,2021,E02000960,2021 super output areas - middle layer,152,Owned,1075
47,2021,E02000960,2021 super output areas - middle layer,152,Owned: Owns outright,707
48,2021,E02000960,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,368
49,2021,E02000960,2021 super output areas - middle layer,152,Shared ownership,12
50,2021,E02000960,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,12
51,2021,E02000960,2021 super output areas - middle layer,152,Social rented,360
52,2021,E02000960,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,262
53,2021,E02000960,2021 super output areas - middle layer,152,Social rented: Other social rented,98
54,2021,E02000960,2021 super output areas - middle layer,152,Private rented,1331
55,2021,E02000960,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1202
56,2021,E02000960,2021 super output areas - middle layer,152,Private rented: Other private rented,129
57,2021,E02000960,2021 super output areas - middle layer,152,Lives rent free,4
58,2021,E02000960,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,380
59,2021,E02000960,2021 super output areas - middle layer,152,Private rented or lives rent free,1335
60,2021,E02000961,2021 super output areas - middle layer,152,Total: All households,4068
61,2021,E02000961,2021 super output areas - middle layer,152,Owned,1360
62,2021,E02000961,2021 super output areas - middle layer,152,Owned: Owns outright,762
63,2021,E02000961,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,598
64,2021,E02000961,2021 super output areas - middle layer,152,Shared ownership,11
65,2021,E02000961,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,11
66,2021,E02000961,2021 super output areas - middle layer,152,Social rented,937
67,2021,E02000961,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,585
68,2021,E02000961,2021 super output areas - middle layer,152,Social rented: Other social rented,352
69,2021,E02000961,2021 super output areas - middle layer,152,Private rented,1748
70,2021,E02000961,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1621
71,2021,E02000961,2021 super output areas - middle layer,152,Private rented: Other private rented,127
72,2021,E02000961,2021 super output areas - middle layer,152,Lives rent free,12
73,2021,E02000961,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,609
74,2021,E02000961,2021 super output areas - middle layer,152,Private rented or lives rent free,1760
75,2021,E02000962,2021 super output areas - middle layer,152,Total: All households,3859
76,2021,E02000962,2021 super output areas - middle layer,152,Owned,1096
77,2021,E02000962,2021 super output areas - middle layer,152,Owned: Owns outright,698
78,2021,E02000962,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,398
79,2021,E02000962,2021 super output areas - middle layer,152,Shared ownership,14
80,2021,E02000962,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,14
81,2021,E02000962,2021 super output areas - middle layer,152,Social rented,797
82,2021,E02000962,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,406
83,2021,E02000962,2021 super output areas - middle layer,152,Social rented: Other social rented,391
84,2021,E02000962,2021 super output areas - middle layer,152,Private rented,1940
85,2021,E02000962,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1755
86,2021,E02000962,2021 super output areas - middle layer,152,Private rented: Other private rented,185
87,2021,E02000962,2021 super output areas - middle layer,152,Lives rent free,12
88,2021,E02000962,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,412
89,2021,E02000962,2021 super output areas - middle layer,152,Private rented or lives rent free,1952
90,2021,E02000963,2021 super output areas - middle layer,152,Total: All households,4135
91,2021,E02000963,2021 super output areas - middle layer,152,Owned,888
92,2021,E02000963,2021 super output areas - middle layer,152,Owned: Owns outright,397
93,2021,E02000963,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,491
94,2021,E02000963,2021 super output areas - middle layer,152,Shared ownership,46
95,2021,E02000963,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,46
96,2021,E02000963,2021 super output areas - middle layer,152,Social rented,2311
97,2021,E02000963,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,1572
98,2021,E02000963,2021 super output areas - middle layer,152,Social rented: Other social rented,739
99,2021,E02000963,2021 super output areas - middle layer,152,Private rented,872
100,2021,E02000963,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,801
101,2021,E02000963,2021 super output areas - middle layer,152,Private rented: Other private rented,71
102,2021,E02000963,2021 super output areas - middle layer,152,Lives rent free,18
103,2021,E02000963,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,537
104,2021,E02000963,2021 super output areas - middle layer,152,Private rented or lives rent free,890
105,2021,E02000964,2021 super output areas - middle layer,152,Total: All households,5358
106,2021,E02000964,2021 super output areas - middle layer,152,Owned,1084
107,2021,E02000964,2021 super output areas - middle layer,152,Owned: Owns outright,423
108,2021,E02000964,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,661
109,2021,E02000964,2021 super output areas - middle layer,152,Shared ownership,47
110,2021,E02000964,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,47
111,2021,E02000964,2021 super output areas - middle layer,152,Social rented,2613
112,2021,E02000964,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,610
113,2021,E02000964,2021 super output areas - middle layer,152,Social rented: Other social rented,2003
114,2021,E02000964,2021 super output areas - middle layer,152,Private rented,1599
115,2021,E02000964,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1478
116,2021,E02000964,2021 super output areas - middle layer,152,Private rented: Other private rented,121
117,2021,E02000964,2021 super output areas - middle layer,152,Lives rent free,15
118,2021,E02000964,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,708
119,2021,E02000964,2021 super output areas - middle layer,152,Private rented or lives rent free,1614
120,2021,E02000965,2021 super output areas - middle layer,152,Total: All households,3623
121,2021,E02000965,2021 super output areas - middle layer,152,Owned,1226
122,2021,E02000965,2021 super output areas - middle layer,152,Owned: Owns outright,537
123,2021,E02000965,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,689
124,2021,E02000965,2021 super output areas - middle layer,152,Shared ownership,15
125,2021,E02000965,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,15
126,2021,E02000965,2021 super output areas - middle layer,152,Social rented,625
127,2021,E02000965,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,192
128,2021,E02000965,2021 super output areas - middle layer,152,Social rented: Other social rented,433
129,2021,E02000965,2021 super output areas - middle layer,152,Private rented,1751
130,2021,E02000965,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1642
131,2021,E02000965,2021 super output areas - middle layer,152,Private rented: Other private rented,109
132,2021,E02000965,2021 super output areas - middle layer,152,Lives rent free,6
133,2021,E02000965,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,704
134,2021,E02000965,2021 super output areas - middle layer,152,Private rented or lives rent free,1757
135,2021,E02000966,2021 super output areas - middle layer,152,Total: All households,4113
136,2021,E02000966,2021 super output areas - middle layer,152,Owned,1642
137,2021,E02000966,2021 super output areas - middle layer,152,Owned: Owns outright,887
138,2021,E02000966,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,755
139,2021,E02000966,2021 super output areas - middle layer,152,Shared ownership,11
140,2021,E02000966,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,11
141,2021,E02000966,2021 super output areas - middle layer,152,Social rented,540
142,2021,E02000966,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,154
143,2021,E02000966,2021 super output areas - middle layer,152,Social rented: Other social rented,386
144,2021,E02000966,2021 super output areas - middle layer,152,Private rented,1917
145,2021,E02000966,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1762
146,2021,E02000966,2021 super output areas - middle layer,152,Private rented: Other private rented,155
147,2021,E02000966,2021 super output areas - middle layer,152,Lives rent free,3
148,2021,E02000966,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,766
149,2021,E02000966,2021 super output areas - middle layer,152,Private rented or lives rent free,1920
150,2021,E02000967,2021 super output areas - middle layer,152,Total: All households,3014
151,2021,E02000967,2021 super output areas - middle layer,152,Owned,1134
152,2021,E02000967,2021 super output areas - middle layer,152,Owned: Owns outright,716
153,2021,E02000967,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,418
154,2021,E02000967,2021 super output areas - middle layer,152,Shared ownership,22
155,2021,E02000967,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,22
156,2021,E02000967,2021 super output areas - middle layer,152,Social rented,197
157,2021,E02000967,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,91
158,2021,E02000967,2021 super output areas - middle layer,152,Social rented: Other social rented,106
159,2021,E02000967,2021 super output areas - middle layer,152,Private rented,1657
160,2021,E02000967,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1492
161,2021,E02000967,2021 super output areas - middle layer,152,Private rented: Other private rented,165
162,2021,E02000967,2021 super output areas - middle layer,152,Lives rent free,4
163,2021,E02000967,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,440
164,2021,E02000967,2021 super output areas - middle layer,152,Private rented or lives rent free,1661
165,2021,E02000968,2021 super output areas - middle layer,152,Total: All households,5617
166,2021,E02000968,2021 super output areas - middle layer,152,Owned,787
167,2021,E02000968,2021 super output areas - middle layer,152,Owned: Owns outright,472
168,2021,E02000968,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,315
169,2021,E02000968,2021 super output areas - middle layer,152,Shared ownership,38
170,2021,E02000968,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,38
171,2021,E02000968,2021 super output areas - middle layer,152,Social rented,3248
172,2021,E02000968,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,2254
173,2021,E02000968,2021 super output areas - middle layer,152,Social rented: Other social rented,994
174,2021,E02000968,2021 super output areas - middle layer,152,Private rented,1471
175,2021,E02000968,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1385
176,2021,E02000968,2021 super output areas - middle layer,152,Private rented: Other private rented,86
177,2021,E02000968,2021 super output areas - middle layer,152,Lives rent free,73
178,2021,E02000968,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,353
179,2021,E02000968,2021 super output areas - middle layer,152,Private rented or lives rent free,1544
180,2021,E02000969,2021 super output areas - middle layer,152,Total: All households,3720
181,2021,E02000969,2021 super output areas - middle layer,152,Owned,595
182,2021,E02000969,2021 super output areas - middle layer,152,Owned: Owns outright,302
183,2021,E02000969,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,293
184,2021,E02000969,2021 super output areas - middle layer,152,Shared ownership,66
185,2021,E02000969,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,66
186,2021,E02000969,2021 super output areas - middle layer,152,Social rented,2154
187,2021,E02000969,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,1407
188,2021,E02000969,2021 super output areas - middle layer,152,Social rented: Other social rented,747
189,2021,E02000969,2021 super output areas - middle layer,152,Private rented,872
190,2021,E02000969,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,798
191,2021,E02000969,2021 super output areas - middle layer,152,Private rented: Other private rented,74
192,2021,E02000969,2021 super output areas - middle layer,152,Lives rent free,33
193,2021,E02000969,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,359
194,2021,E02000969,2021 super output areas - middle layer,152,Private rented or lives rent free,905
195,2021,E02000970,2021 super output areas - middle layer,152,Total: All households,3555
196,2021,E02000970,2021 super output areas - middle layer,152,Owned,1114
197,2021,E02000970,2021 super output areas - middle layer,152,Owned: Owns outright,731
198,2021,E02000970,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,383
199,2021,E02000970,2021 super output areas - middle layer,152,Shared ownership,14
200,2021,E02000970,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,14
201,2021,E02000970,2021 super output areas - middle layer,152,Social rented,386
202,2021,E02000970,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,74
203,2021,E02000970,2021 super output areas - middle layer,152,Social rented: Other social rented,312
204,2021,E02000970,2021 super output areas - middle layer,152,Private rented,2039
205,2021,E02000970,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1782
206,2021,E02000970,2021 super output areas - middle layer,152,Private rented: Other private rented,257
207,2021,E02000970,2021 super output areas - middle layer,152,Lives rent free,2
208,2021,E02000970,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,397
209,2021,E02000970,2021 super output areas - middle layer,152,Private rented or lives rent free,2041
210,2021,E02000971,2021 super output areas - middle layer,152,Total: All households,3720
211,2021,E02000971,2021 super output areas - middle layer,152,Owned,1020
212,2021,E02000971,2021 super output areas - middle layer,152,Owned: Owns outright,628
213,2021,E02000971,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,392
214,2021,E02000971,2021 super output areas - middle layer,152,Shared ownership,28
215,2021,E02000971,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,28
216,2021,E02000971,2021 super output areas - middle layer,152,Social rented,371
217,2021,E02000971,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,99
218,2021,E02000971,2021 super output areas - middle layer,152,Social rented: Other social rented,272
219,2021,E02000971,2021 super output areas - middle layer,152,Private rented,2299
220,2021,E02000971,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,2142
221,2021,E02000971,2021 super output areas - middle layer,152,Private rented: Other private rented,157
222,2021,E02000971,2021 super output areas - middle layer,152,Lives rent free,2
223,2021,E02000971,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,420
224,2021,E02000971,2021 super output areas - middle layer,152,Private rented or lives rent free,2301
225,2021,E02000972,2021 super output areas - middle layer,152,Total: All households,4257
226,2021,E02000972,2021 super output areas - middle layer,152,Owned,812
227,2021,E02000972,2021 super output areas - middle layer,152,Owned: Owns outright,507
228,2021,E02000972,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,305
229,2021,E02000972,2021 super output areas - middle layer,152,Shared ownership,41
230,2021,E02000972,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,41
231,2021,E02000972,2021 super output areas - middle layer,152,Social rented,1183
232,2021,E02000972,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,381
233,2021,E02000972,2021 super output areas - middle layer,152,Social rented: Other social rented,802
234,2021,E02000972,2021 super output areas - middle layer,152,Private rented,2207
235,2021,E02000972,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1983
236,2021,E02000972,2021 super output areas - middle layer,152,Private rented: Other private rented,224
237,2021,E02000972,2021 super output areas - middle layer,152,Lives rent free,14
238,2021,E02000972,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,346
239,2021,E02000972,2021 super output areas - middle layer,152,Private rented or lives rent free,2221
240,2021,E02000973,2021 super output areas - middle layer,152,Total: All households,4797
241,2021,E02000973,2021 super output areas - middle layer,152,Owned,1524
242,2021,E02000973,2021 super output areas - middle layer,152,Owned: Owns outright,870
243,2021,E02000973,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,654
244,2021,E02000973,2021 super output areas - middle layer,152,Shared ownership,29
245,2021,E02000973,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,29
246,2021,E02000973,2021 super output areas - middle layer,152,Social rented,1154
247,2021,E02000973,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,426
248,2021,E02000973,2021 super output areas - middle layer,152,Social rented: Other social rented,728
249,2021,E02000973,2021 super output areas - middle layer,152,Private rented,2086
250,2021,E02000973,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1915
251,2021,E02000973,2021 super output areas - middle layer,152,Private rented: Other private rented,171
252,2021,E02000973,2021 super output areas - middle layer,152,Lives rent free,4
253,2021,E02000973,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,683
254,2021,E02000973,2021 super output areas - middle layer,152,Private rented or lives rent free,2090
255,2021,E02000974,2021 super output areas - middle layer,152,Total: All households,3981
256,2021,E02000974,2021 super output areas - middle layer,152,Owned,1142
257,2021,E02000974,2021 super output areas - middle layer,152,Owned: Owns outright,728
258,2021,E02000974,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,414
259,2021,E02000974,2021 super output areas - middle layer,152,Shared ownership,53
260,2021,E02000974,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,53
261,2021,E02000974,2021 super output areas - middle layer,152,Social rented,650
262,2021,E02000974,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,137
263,2021,E02000974,2021 super output areas - middle layer,152,Social rented: Other social rented,513
264,2021,E02000974,2021 super output areas - middle layer,152,Private rented,2133
265,2021,E02000974,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1895
266,2021,E02000974,2021 super output areas - middle layer,152,Private rented: Other private rented,238
267,2021,E02000974,2021 super output areas - middle layer,152,Lives rent free,3
268,2021,E02000974,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,467
269,2021,E02000974,2021 super output areas - middle layer,152,Private rented or lives rent free,2136
270,2021,E02000975,2021 super output areas - middle layer,152,Total: All households,3802
271,2021,E02000975,2021 super output areas - middle layer,152,Owned,1108
272,2021,E02000975,2021 super output areas - middle layer,152,Owned: Owns outright,641
273,2021,E02000975,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,467
274,2021,E02000975,2021 super output areas - middle layer,152,Shared ownership,23
275,2021,E02000975,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,23
276,2021,E02000975,2021 super output areas - middle layer,152,Social rented,351
277,2021,E02000975,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,150
278,2021,E02000975,2021 super output areas - middle layer,152,Social rented: Other social rented,201
279,2021,E02000975,2021 super output areas - middle layer,152,Private rented,2311
280,2021,E02000975,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,2178
281,2021,E02000975,2021 super output areas - middle layer,152,Private rented: Other private rented,133
282,2021,E02000975,2021 super output areas - middle layer,152,Lives rent free,9
283,2021,E02000975,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,490
284,2021,E02000975,2021 super output areas - middle layer,152,Private rented or lives rent free,2320
285,2021,E02000976,2021 super output areas - middle layer,152,Total: All households,4214
286,2021,E02000976,2021 super output areas - middle layer,152,Owned,1169
287,2021,E02000976,2021 super output areas - middle layer,152,Owned: Owns outright,707
288,2021,E02000976,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,462
289,2021,E02000976,2021 super output areas - middle layer,152,Shared ownership,11
290,2021,E02000976,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,11
291,2021,E02000976,2021 super output areas - middle layer,152,Social rented,564
292,2021,E02000976,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,405
293,2021,E02000976,2021 super output areas - middle layer,152,Social rented: Other social rented,159
294,2021,E02000976,2021 super output areas - middle layer,152,Private rented,2455
295,2021,E02000976,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,2257
296,2021,E02000976,2021 super output areas - middle layer,152,Private rented: Other private rented,198
297,2021,E02000976,2021 super output areas - middle layer,152,Lives rent free,15
298,2021,E02000976,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,473
299,2021,E02000976,2021 super output areas - middle layer,152,Private rented or lives rent free,2470
300,2021,E02000977,2021 super output areas - middle layer,152,Total: All households,3432
301,2021,E02000977,2021 super output areas - middle layer,152,Owned,815
302,2021,E02000977,2021 super output areas - middle layer,152,Owned: Owns outright,561
303,2021,E02000977,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,254
304,2021,E02000977,2021 super output areas - middle layer,152,Shared ownership,13
305,2021,E02000977,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,13
306,2021,E02000977,2021 super output areas - middle layer,152,Social rented,821
307,2021,E02000977,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,205
308,2021,E02000977,2021 super output areas - middle layer,152,Social rented: Other social rented,616
309,2021,E02000977,2021 super output areas - middle layer,152,Private rented,1781
310,2021,E02000977,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1481
311,2021,E02000977,2021 super output areas - middle layer,152,Private rented: Other private rented,300
312,2021,E02000977,2021 super output areas - middle layer,152,Lives rent free,2
313,2021,E02000977,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,267
314,2021,E02000977,2021 super output areas - middle layer,152,Private rented or lives rent free,1783
315,2021,E02000978,2021 super output areas - middle layer,152,Total: All households,2764
316,2021,E02000978,2021 super output areas - middle layer,152,Owned,1358
317,2021,E02000978,2021 super output areas - middle layer,152,Owned: Owns outright,957
318,2021,E02000978,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,401
319,2021,E02000978,2021 super output areas - middle layer,152,Shared ownership,14
320,2021,E02000978,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,14
321,2021,E02000978,2021 super output areas - middle layer,152,Social rented,87
322,2021,E02000978,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,33
323,2021,E02000978,2021 super output areas - middle layer,152,Social rented: Other social rented,54
324,2021,E02000978,2021 super output areas - middle layer,152,Private rented,1303
325,2021,E02000978,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1035
326,2021,E02000978,2021 super output areas - middle layer,152,Private rented: Other private rented,268
327,2021,E02000978,2021 super output areas - middle layer,152,Lives rent free,2
328,2021,E02000978,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,415
329,2021,E02000978,2021 super output areas - middle layer,152,Private rented or lives rent free,1305
330,2021,E02000979,2021 super output areas - middle layer,152,Total: All households,3927
331,2021,E02000979,2021 super output areas - middle layer,152,Owned,1057
332,2021,E02000979,2021 super output areas - middle layer,152,Owned: Owns outright,676
333,2021,E02000979,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,381
334,2021,E02000979,2021 super output areas - middle layer,152,Shared ownership,27
335,2021,E02000979,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,27
336,2021,E02000979,2021 super output areas - middle layer,152,Social rented,1134
337,2021,E02000979,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,107
338,2021,E02000979,2021 super output areas - middle layer,152,Social rented: Other social rented,1027
339,2021,E02000979,2021 super output areas - middle layer,152,Private rented,1708
340,2021,E02000979,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1360
341,2021,E02000979,2021 super output areas - middle layer,152,Private rented: Other private rented,348
342,2021,E02000979,2021 super output areas - middle layer,152,Lives rent free,1
343,2021,E02000979,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,408
344,2021,E02000979,2021 super output areas - middle layer,152,Private rented or lives rent free,1709
345,2021,E02000980,2021 super output areas - middle layer,152,Total: All households,4324
346,2021,E02000980,2021 super output areas - middle layer,152,Owned,1100
347,2021,E02000980,2021 super output areas - middle layer,152,Owned: Owns outright,665
348,2021,E02000980,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,435
349,2021,E02000980,2021 super output areas - middle layer,152,Shared ownership,53
350,2021,E02000980,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,53
351,2021,E02000980,2021 super output areas - middle layer,152,Social rented,1847
352,2021,E02000980,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,1177
353,2021,E02000980,2021 super output areas - middle layer,152,Social rented: Other social rented,670
354,2021,E02000980,2021 super output areas - middle layer,152,Private rented,1308
355,2021,E02000980,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,1121
356,2021,E02000980,2021 super output areas - middle layer,152,Private rented: Other private rented,187
357,2021,E02000980,2021 super output areas - middle layer,152,Lives rent free,16
358,2021,E02000980,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,488
359,2021,E02000980,2021 super output areas - middle layer,152,Private rented or lives rent free,1324
360,2021,E02000981,2021 super output areas - middle layer,152,Total: All households,4157
361,2021,E02000981,2021 super output areas - middle layer,152,Owned,1269
362,2021,E02000981,2021 super output areas - middle layer,152,Owned: Owns outright,694
363,2021,E02000981,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,575
364,2021,E02000981,2021 super output areas - middle layer,152,Shared ownership,34
365,2021,E02000981,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,34
