,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
0,2021,E02000513,2021 super output areas - middle layer,152,20km to less than 30km,137
1,2021,E02000513,2021 super output areas - middle layer,152,30km to less than 40km,25
2,2021,E02000513,2021 super output areas - middle layer,152,40km to less than 60km,28
3,2021,E02000513,2021 super output areas - middle layer,152,60km and over,35
4,2021,E02000513,2021 super output areas - middle layer,152,Works mainly from home,715
5,2021,E02000513,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",862
6,2021,E02000514,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4566
7,2021,E02000514,2021 super output areas - middle layer,152,Less than 2km,367
8,2021,E02000514,2021 super output areas - middle layer,152,2km to less than 5km,744
9,2021,E02000514,2021 super output areas - middle layer,152,5km to less than 10km,904
10,2021,E02000514,2021 super output areas - middle layer,152,10km to less than 20km,498
11,2021,E02000514,2021 super output areas - middle layer,152,20km to less than 30km,153
12,2021,E02000514,2021 super output areas - middle layer,152,30km to less than 40km,51
13,2021,E02000514,2021 super output areas - middle layer,152,40km to less than 60km,24
14,2021,E02000514,2021 super output areas - middle layer,152,60km and over,56
15,2021,E02000514,2021 super output areas - middle layer,152,Works mainly from home,896
16,2021,E02000514,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",873
17,2021,E02000515,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,6366
18,2021,E02000515,2021 super output areas - middle layer,152,Less than 2km,642
19,2021,E02000515,2021 super output areas - middle layer,152,2km to less than 5km,794
20,2021,E02000515,2021 super output areas - middle layer,152,5km to less than 10km,720
21,2021,E02000515,2021 super output areas - middle layer,152,10km to less than 20km,755
22,2021,E02000515,2021 super output areas - middle layer,152,20km to less than 30km,355
23,2021,E02000515,2021 super output areas - middle layer,152,30km to less than 40km,48
24,2021,E02000515,2021 super output areas - middle layer,152,40km to less than 60km,35
25,2021,E02000515,2021 super output areas - middle layer,152,60km and over,60
26,2021,E02000515,2021 super output areas - middle layer,152,Works mainly from home,1864
27,2021,E02000515,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1093
28,2021,E02000516,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3829
29,2021,E02000516,2021 super output areas - middle layer,152,Less than 2km,281
30,2021,E02000516,2021 super output areas - middle layer,152,2km to less than 5km,518
31,2021,E02000516,2021 super output areas - middle layer,152,5km to less than 10km,796
32,2021,E02000516,2021 super output areas - middle layer,152,10km to less than 20km,397
33,2021,E02000516,2021 super output areas - middle layer,152,20km to less than 30km,97
34,2021,E02000516,2021 super output areas - middle layer,152,30km to less than 40km,30
35,2021,E02000516,2021 super output areas - middle layer,152,40km to less than 60km,13
36,2021,E02000516,2021 super output areas - middle layer,152,60km and over,41
37,2021,E02000516,2021 super output areas - middle layer,152,Works mainly from home,864
38,2021,E02000516,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",792
39,2021,E02000517,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4498
40,2021,E02000517,2021 super output areas - middle layer,152,Less than 2km,375
41,2021,E02000517,2021 super output areas - middle layer,152,2km to less than 5km,724
42,2021,E02000517,2021 super output areas - middle layer,152,5km to less than 10km,800
43,2021,E02000517,2021 super output areas - middle layer,152,10km to less than 20km,544
44,2021,E02000517,2021 super output areas - middle layer,152,20km to less than 30km,167
45,2021,E02000517,2021 super output areas - middle layer,152,30km to less than 40km,24
46,2021,E02000517,2021 super output areas - middle layer,152,40km to less than 60km,20
47,2021,E02000517,2021 super output areas - middle layer,152,60km and over,30
48,2021,E02000517,2021 super output areas - middle layer,152,Works mainly from home,968
49,2021,E02000517,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",846
