,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NSSEC_10_NAME,OBS_VALUE
0,2021,E02005879,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5928
1,2021,E02005879,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",551
2,2021,E02005879,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",1192
3,2021,E02005879,2021 super output areas - middle layer,152,L7 Intermediate occupations,719
4,2021,E02005879,2021 super output areas - middle layer,152,L8 and L9 Small employers and own account workers,510
5,2021,E02005879,2021 super output areas - middle layer,152,L10 and L11 Lower supervisory and technical occupations,408
6,2021,E02005879,2021 super output areas - middle layer,152,L12 Semi-routine occupations,831
7,2021,E02005879,2021 super output areas - middle layer,152,L13 Routine occupations,957
8,2021,E02005879,2021 super output areas - middle layer,152,L14.1 and L14.2 Never worked and long-term unemployed,458
9,2021,E02005879,2021 super output areas - middle layer,152,L15 Full-time students,302
10,2021,E02006835,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5016
11,2021,E02006835,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",516
12,2021,E02006835,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",1049
13,2021,E02006835,2021 super output areas - middle layer,152,L7 Intermediate occupations,645
14,2021,E02006835,2021 super output areas - middle layer,152,L8 and L9 Small employers and own account workers,490
15,2021,E02006835,2021 super output areas - middle layer,152,L10 and L11 Lower supervisory and technical occupations,345
16,2021,E02006835,2021 super output areas - middle layer,152,L12 Semi-routine occupations,623
17,2021,E02006835,2021 super output areas - middle layer,152,L13 Routine occupations,635
18,2021,E02006835,2021 super output areas - middle layer,152,L14.1 and L14.2 Never worked and long-term unemployed,445
19,2021,E02006835,2021 super output areas - middle layer,152,L15 Full-time students,268
20,2021,E02005880,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5094
