,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCC_105_NAME,OBS_VALUE
0,2021,E02005441,2021 super output areas - middle layer,152,922 Elementary Cleaning Occupations,106
1,2021,E02005441,2021 super output areas - middle layer,152,923 Elementary Security Occupations,25
2,2021,E02005441,2021 super output areas - middle layer,152,924 Elementary Sales Occupations,7
3,2021,E02005441,2021 super output areas - middle layer,152,925 Elementary Storage Occupations,33
4,2021,E02005441,2021 super output areas - middle layer,152,926 Other Elementary Services Occupations,70
5,2021,E02005442,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2750
6,2021,E02005442,2021 super output areas - middle layer,152,111 Chief Executives and Senior Officials,0
7,2021,E02005442,2021 super output areas - middle layer,152,112 Production Managers and Directors,26
8,2021,E02005442,2021 super output areas - middle layer,152,113 Functional Managers and Directors,20
9,2021,E02005442,2021 super output areas - middle layer,152,"114 Directors in Logistics, Warehousing and Transport",1
10,2021,E02005442,2021 super output areas - middle layer,152,115 Managers and Directors in Retail and Wholesale,30
11,2021,E02005442,2021 super output areas - middle layer,152,116 Senior Officers in Protective Services,12
12,2021,E02005442,2021 super output areas - middle layer,152,117 Health and Social Services Managers and Directors,4
13,2021,E02005442,2021 super output areas - middle layer,152,121 Managers and Proprietors in Agriculture Related Services,0
14,2021,E02005442,2021 super output areas - middle layer,152,122 Managers and Proprietors in Hospitality and Leisure Services,20
15,2021,E02005442,2021 super output areas - middle layer,152,123 Managers and Proprietors in Health and Care Services,4
16,2021,E02005442,2021 super output areas - middle layer,152,"124 Managers in Logistics, Warehousing and Transport",11
17,2021,E02005442,2021 super output areas - middle layer,152,125 Managers and Proprietors in Other Services,27
18,2021,E02005442,2021 super output areas - middle layer,152,211 Natural and Social Science Professionals,6
19,2021,E02005442,2021 super output areas - middle layer,152,212 Engineering Professionals,26
20,2021,E02005442,2021 super output areas - middle layer,152,213 Information Technology Professionals,26
21,2021,E02005442,2021 super output areas - middle layer,152,214 Web and Multimedia Design Professionals,4
22,2021,E02005442,2021 super output areas - middle layer,152,215 Conservation and Environment Professionals,1
23,2021,E02005442,2021 super output areas - middle layer,152,216 Research and Development (R&D) and Other Research Professionals,0
24,2021,E02005442,2021 super output areas - middle layer,152,221 Medical Practitioners,11
25,2021,E02005442,2021 super output areas - middle layer,152,222 Therapy Professionals,11
26,2021,E02005442,2021 super output areas - middle layer,152,223 Nursing and Midwifery Professionals,62
27,2021,E02005442,2021 super output areas - middle layer,152,224 Veterinarians,1
28,2021,E02005442,2021 super output areas - middle layer,152,225 Other Health Professionals,12
29,2021,E02005442,2021 super output areas - middle layer,152,231 Teaching and other Educational Professionals,61
30,2021,E02005442,2021 super output areas - middle layer,152,232 Other Educational Professionals,5
31,2021,E02005442,2021 super output areas - middle layer,152,241 Legal Professionals,12
32,2021,E02005442,2021 super output areas - middle layer,152,242 Finance Professionals,11
33,2021,E02005442,2021 super output areas - middle layer,152,"243 Business, Research and Administrative Professionals",10
34,2021,E02005442,2021 super output areas - middle layer,152,244 Business and Financial Project Management Professionals,2
35,2021,E02005442,2021 super output areas - middle layer,152,"245 Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",5
36,2021,E02005442,2021 super output areas - middle layer,152,246 Welfare Professionals,14
37,2021,E02005442,2021 super output areas - middle layer,152,247 Librarians and Related Professionals,1
38,2021,E02005442,2021 super output areas - middle layer,152,248 Quality and Regulatory Professionals,7
39,2021,E02005442,2021 super output areas - middle layer,152,249 Media Professionals,1
40,2021,E02005442,2021 super output areas - middle layer,152,"311 Science, Engineering and Production Technicians",30
41,2021,E02005442,2021 super output areas - middle layer,152,"312 CAD, Drawing and Architectural Technicians",5
42,2021,E02005442,2021 super output areas - middle layer,152,313 Information Technology Technicians,19
43,2021,E02005442,2021 super output areas - middle layer,152,321 Health Associate Professionals,10
44,2021,E02005442,2021 super output areas - middle layer,152,322 Welfare and Housing Associate Professionals,28
45,2021,E02005442,2021 super output areas - middle layer,152,323 Teaching and Childcare Associate Professionals,27
46,2021,E02005442,2021 super output areas - middle layer,152,324 Veterinary nurses,1
47,2021,E02005442,2021 super output areas - middle layer,152,331 Protective Service Occupations,27
48,2021,E02005442,2021 super output areas - middle layer,152,"341 Artistic, Literary and Media Occupations",15
49,2021,E02005442,2021 super output areas - middle layer,152,342 Design Occupations,1
50,2021,E02005442,2021 super output areas - middle layer,152,343 Sports and Fitness Occupations,9
51,2021,E02005442,2021 super output areas - middle layer,152,351 Transport Associate Professionals,1
52,2021,E02005442,2021 super output areas - middle layer,152,352 Legal Associate Professionals,5
53,2021,E02005442,2021 super output areas - middle layer,152,353 Finance Associate Professionals,9
54,2021,E02005442,2021 super output areas - middle layer,152,354 Business Associate Professionals,21
55,2021,E02005442,2021 super output areas - middle layer,152,"355 Sales, Marketing and Related Associate Professionals",33
56,2021,E02005442,2021 super output areas - middle layer,152,356 Public Services Associate Professionals,3
57,2021,E02005442,2021 super output areas - middle layer,152,"357 HR, Training and Other Vocational Associate Guidance Professionals",22
58,2021,E02005442,2021 super output areas - middle layer,152,358 Regulatory Associate Professionals,6
59,2021,E02005442,2021 super output areas - middle layer,152,411 Administrative Occupations: Government and Related Organisations,18
60,2021,E02005442,2021 super output areas - middle layer,152,412 Administrative Occupations: Finance,28
61,2021,E02005442,2021 super output areas - middle layer,152,413 Administrative Occupations: Records,37
62,2021,E02005442,2021 super output areas - middle layer,152,414 Administrative Occupations: Office Managers and Supervisors,13
63,2021,E02005442,2021 super output areas - middle layer,152,415 Other Administrative Occupations,48
64,2021,E02005442,2021 super output areas - middle layer,152,421 Secretarial and Related Occupations,37
65,2021,E02005442,2021 super output areas - middle layer,152,511 Agricultural and Related Trades,15
66,2021,E02005442,2021 super output areas - middle layer,152,"521 Metal Forming, Welding and Related Trades",13
67,2021,E02005442,2021 super output areas - middle layer,152,"522 Metal Machining, Fitting and Instrument Making Trades",21
68,2021,E02005442,2021 super output areas - middle layer,152,523 Vehicle Trades,28
69,2021,E02005442,2021 super output areas - middle layer,152,524 Electrical and Electronic Trades,30
70,2021,E02005442,2021 super output areas - middle layer,152,"525 Skilled Metal, Electrical and Electronic Trades Supervisors",2
71,2021,E02005442,2021 super output areas - middle layer,152,531 Construction and Building Trades,76
72,2021,E02005442,2021 super output areas - middle layer,152,532 Building Finishing Trades,38
73,2021,E02005442,2021 super output areas - middle layer,152,533 Construction and Building Trades Supervisors,9
74,2021,E02005442,2021 super output areas - middle layer,152,541 Textiles and Garments Trades,0
75,2021,E02005442,2021 super output areas - middle layer,152,542 Printing Trades,0
76,2021,E02005442,2021 super output areas - middle layer,152,543 Food Preparation and Hospitality Trades,67
77,2021,E02005442,2021 super output areas - middle layer,152,544 Other Skilled Trades,0
78,2021,E02005442,2021 super output areas - middle layer,152,611 Teaching and Childcare Support Occupations,58
79,2021,E02005442,2021 super output areas - middle layer,152,612 Animal Care and Control Services,13
80,2021,E02005442,2021 super output areas - middle layer,152,613 Caring Personal Services,267
81,2021,E02005442,2021 super output areas - middle layer,152,621 Leisure and Travel Services,5
82,2021,E02005442,2021 super output areas - middle layer,152,622 Hairdressers and Related Services,22
83,2021,E02005442,2021 super output areas - middle layer,152,623 Housekeeping and Related Services,61
84,2021,E02005442,2021 super output areas - middle layer,152,624 Cleaning and Housekeeping Managers and Supervisors,14
85,2021,E02005442,2021 super output areas - middle layer,152,625 Bed and Breakfast and Guest House Owners and Proprietors,1
86,2021,E02005442,2021 super output areas - middle layer,152,631 Community and Civil Enforcement Occupations,4
87,2021,E02005442,2021 super output areas - middle layer,152,711 Sales Assistants and Retail Cashiers,220
88,2021,E02005442,2021 super output areas - middle layer,152,712 Sales Related Occupations,8
89,2021,E02005442,2021 super output areas - middle layer,152,713 Shopkeepers and Sales Supervisors,35
90,2021,E02005442,2021 super output areas - middle layer,152,721 Customer Service Occupations,45
91,2021,E02005442,2021 super output areas - middle layer,152,722 Customer Service Supervisors,0
92,2021,E02005442,2021 super output areas - middle layer,152,811 Process Operatives,38
93,2021,E02005442,2021 super output areas - middle layer,152,812 Metal Working Machine Operatives,5
94,2021,E02005442,2021 super output areas - middle layer,152,813 Plant and Machine Operatives,13
95,2021,E02005442,2021 super output areas - middle layer,152,814 Assemblers and Routine Operatives,22
96,2021,E02005442,2021 super output areas - middle layer,152,815 Construction Operatives,32
97,2021,E02005442,2021 super output areas - middle layer,152,"816 Production, Factory and Assembly Supervisors",9
98,2021,E02005442,2021 super output areas - middle layer,152,821 Road Transport Drivers,152
99,2021,E02005442,2021 super output areas - middle layer,152,822 Mobile Machine Drivers and Operatives,30
100,2021,E02005442,2021 super output areas - middle layer,152,823 Other Drivers and Transport Operatives,5
101,2021,E02005442,2021 super output areas - middle layer,152,911 Elementary Agricultural Occupations,4
102,2021,E02005442,2021 super output areas - middle layer,152,912 Elementary Construction Occupations,45
103,2021,E02005442,2021 super output areas - middle layer,152,913 Elementary Process Plant Occupations,45
104,2021,E02005442,2021 super output areas - middle layer,152,921 Elementary Administration Occupations,23
105,2021,E02005442,2021 super output areas - middle layer,152,922 Elementary Cleaning Occupations,149
106,2021,E02005442,2021 super output areas - middle layer,152,923 Elementary Security Occupations,34
107,2021,E02005442,2021 super output areas - middle layer,152,924 Elementary Sales Occupations,22
108,2021,E02005442,2021 super output areas - middle layer,152,925 Elementary Storage Occupations,79
109,2021,E02005442,2021 super output areas - middle layer,152,926 Other Elementary Services Occupations,94
110,2021,E02005443,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3546
111,2021,E02005443,2021 super output areas - middle layer,152,111 Chief Executives and Senior Officials,3
112,2021,E02005443,2021 super output areas - middle layer,152,112 Production Managers and Directors,53
