,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HIQUAL_8_NAME,OBS_VALUE
0,2021,E02002029,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5118
1,2021,E02002029,2021 super output areas - middle layer,152,No qualifications,988
2,2021,E02002029,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,489
3,2021,E02002029,2021 super output areas - middle layer,152,Level 2 qualifications,743
4,2021,E02002029,2021 super output areas - middle layer,152,Apprenticeship,314
5,2021,E02002029,2021 super output areas - middle layer,152,Level 3 qualifications,902
6,2021,E02002029,2021 super output areas - middle layer,152,Level 4 qualifications or above,1520
7,2021,E02002029,2021 super output areas - middle layer,152,Other qualifications,162
8,2021,E02002030,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5502
9,2021,E02002030,2021 super output areas - middle layer,152,No qualifications,1276
10,2021,E02002030,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,613
11,2021,E02002030,2021 super output areas - middle layer,152,Level 2 qualifications,853
12,2021,E02002030,2021 super output areas - middle layer,152,Apprenticeship,335
13,2021,E02002030,2021 super output areas - middle layer,152,Level 3 qualifications,983
14,2021,E02002030,2021 super output areas - middle layer,152,Level 4 qualifications or above,1299
15,2021,E02002030,2021 super output areas - middle layer,152,Other qualifications,143
16,2021,E02002031,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5106
17,2021,E02002031,2021 super output areas - middle layer,152,No qualifications,1213
18,2021,E02002031,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,594
19,2021,E02002031,2021 super output areas - middle layer,152,Level 2 qualifications,736
20,2021,E02002031,2021 super output areas - middle layer,152,Apprenticeship,270
21,2021,E02002031,2021 super output areas - middle layer,152,Level 3 qualifications,977
22,2021,E02002031,2021 super output areas - middle layer,152,Level 4 qualifications or above,1159
23,2021,E02002031,2021 super output areas - middle layer,152,Other qualifications,157
24,2021,E02002032,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8108
25,2021,E02002032,2021 super output areas - middle layer,152,No qualifications,1909
26,2021,E02002032,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,882
27,2021,E02002032,2021 super output areas - middle layer,152,Level 2 qualifications,1335
28,2021,E02002032,2021 super output areas - middle layer,152,Apprenticeship,431
29,2021,E02002032,2021 super output areas - middle layer,152,Level 3 qualifications,1491
30,2021,E02002032,2021 super output areas - middle layer,152,Level 4 qualifications or above,1853
31,2021,E02002032,2021 super output areas - middle layer,152,Other qualifications,207
32,2021,E02002033,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6369
33,2021,E02002033,2021 super output areas - middle layer,152,No qualifications,1286
34,2021,E02002033,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,688
35,2021,E02002033,2021 super output areas - middle layer,152,Level 2 qualifications,950
36,2021,E02002033,2021 super output areas - middle layer,152,Apprenticeship,401
37,2021,E02002033,2021 super output areas - middle layer,152,Level 3 qualifications,1188
38,2021,E02002033,2021 super output areas - middle layer,152,Level 4 qualifications or above,1661
39,2021,E02002033,2021 super output areas - middle layer,152,Other qualifications,195
40,2021,E02002034,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6812
41,2021,E02002034,2021 super output areas - middle layer,152,No qualifications,1236
42,2021,E02002034,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,555
43,2021,E02002034,2021 super output areas - middle layer,152,Level 2 qualifications,925
44,2021,E02002034,2021 super output areas - middle layer,152,Apprenticeship,317
45,2021,E02002034,2021 super output areas - middle layer,152,Level 3 qualifications,1168
46,2021,E02002034,2021 super output areas - middle layer,152,Level 4 qualifications or above,2455
47,2021,E02002034,2021 super output areas - middle layer,152,Other qualifications,156
48,2021,E02002035,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5077
49,2021,E02002035,2021 super output areas - middle layer,152,No qualifications,897
50,2021,E02002035,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,469
51,2021,E02002035,2021 super output areas - middle layer,152,Level 2 qualifications,751
52,2021,E02002035,2021 super output areas - middle layer,152,Apprenticeship,281
53,2021,E02002035,2021 super output areas - middle layer,152,Level 3 qualifications,842
54,2021,E02002035,2021 super output areas - middle layer,152,Level 4 qualifications or above,1701
55,2021,E02002035,2021 super output areas - middle layer,152,Other qualifications,136
56,2021,E02002036,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5314
57,2021,E02002036,2021 super output areas - middle layer,152,No qualifications,1476
58,2021,E02002036,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,652
59,2021,E02002036,2021 super output areas - middle layer,152,Level 2 qualifications,784
60,2021,E02002036,2021 super output areas - middle layer,152,Apprenticeship,305
61,2021,E02002036,2021 super output areas - middle layer,152,Level 3 qualifications,802
62,2021,E02002036,2021 super output areas - middle layer,152,Level 4 qualifications or above,1103
63,2021,E02002036,2021 super output areas - middle layer,152,Other qualifications,192
64,2021,E02002037,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4905
65,2021,E02002037,2021 super output areas - middle layer,152,No qualifications,904
66,2021,E02002037,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,501
67,2021,E02002037,2021 super output areas - middle layer,152,Level 2 qualifications,747
68,2021,E02002037,2021 super output areas - middle layer,152,Apprenticeship,294
69,2021,E02002037,2021 super output areas - middle layer,152,Level 3 qualifications,866
70,2021,E02002037,2021 super output areas - middle layer,152,Level 4 qualifications or above,1462
71,2021,E02002037,2021 super output areas - middle layer,152,Other qualifications,131
72,2021,E02002038,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,7940
73,2021,E02002038,2021 super output areas - middle layer,152,No qualifications,1747
74,2021,E02002038,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,844
75,2021,E02002038,2021 super output areas - middle layer,152,Level 2 qualifications,1253
76,2021,E02002038,2021 super output areas - middle layer,152,Apprenticeship,467
77,2021,E02002038,2021 super output areas - middle layer,152,Level 3 qualifications,1354
