,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESTYPE_3_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,417
1,2021,E02002483,2021 super output areas - middle layer,152,Lives in a household,417
2,2021,E02002483,2021 super output areas - middle layer,152,Lives in a communal establishment,0
3,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,403
4,2021,E02002484,2021 super output areas - middle layer,152,Lives in a household,388
5,2021,E02002484,2021 super output areas - middle layer,152,Lives in a communal establishment,15
6,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,294
7,2021,E02002485,2021 super output areas - middle layer,152,Lives in a household,291
8,2021,E02002485,2021 super output areas - middle layer,152,Lives in a communal establishment,3
9,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,267
10,2021,E02002489,2021 super output areas - middle layer,152,Lives in a household,259
11,2021,E02002489,2021 super output areas - middle layer,152,Lives in a communal establishment,8
12,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents,227
13,2021,E02002490,2021 super output areas - middle layer,152,Lives in a household,227
14,2021,E02002490,2021 super output areas - middle layer,152,Lives in a communal establishment,0
15,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents,301
16,2021,E02002491,2021 super output areas - middle layer,152,Lives in a household,297
17,2021,E02002491,2021 super output areas - middle layer,152,Lives in a communal establishment,4
18,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents,300
19,2021,E02002492,2021 super output areas - middle layer,152,Lives in a household,290
20,2021,E02002492,2021 super output areas - middle layer,152,Lives in a communal establishment,10
21,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents,332
22,2021,E02002493,2021 super output areas - middle layer,152,Lives in a household,331
23,2021,E02002493,2021 super output areas - middle layer,152,Lives in a communal establishment,1
24,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents,291
25,2021,E02002494,2021 super output areas - middle layer,152,Lives in a household,288
26,2021,E02002494,2021 super output areas - middle layer,152,Lives in a communal establishment,3
27,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents,544
28,2021,E02006909,2021 super output areas - middle layer,152,Lives in a household,534
29,2021,E02006909,2021 super output areas - middle layer,152,Lives in a communal establishment,10
30,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents,469
31,2021,E02007059,2021 super output areas - middle layer,152,Lives in a household,466
32,2021,E02007059,2021 super output areas - middle layer,152,Lives in a communal establishment,3
33,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents,197
34,2021,E02002496,2021 super output areas - middle layer,152,Lives in a household,178
35,2021,E02002496,2021 super output areas - middle layer,152,Lives in a communal establishment,19
36,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents,155
37,2021,E02002497,2021 super output areas - middle layer,152,Lives in a household,150
38,2021,E02002497,2021 super output areas - middle layer,152,Lives in a communal establishment,5
39,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents,166
40,2021,E02002498,2021 super output areas - middle layer,152,Lives in a household,163
41,2021,E02002498,2021 super output areas - middle layer,152,Lives in a communal establishment,3
42,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents,243
43,2021,E02002499,2021 super output areas - middle layer,152,Lives in a household,225
44,2021,E02002499,2021 super output areas - middle layer,152,Lives in a communal establishment,18
45,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents,155
46,2021,E02002500,2021 super output areas - middle layer,152,Lives in a household,150
47,2021,E02002500,2021 super output areas - middle layer,152,Lives in a communal establishment,5
48,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents,167
49,2021,E02002501,2021 super output areas - middle layer,152,Lives in a household,164
50,2021,E02002501,2021 super output areas - middle layer,152,Lives in a communal establishment,3
51,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents,345
52,2021,E02002502,2021 super output areas - middle layer,152,Lives in a household,344
53,2021,E02002502,2021 super output areas - middle layer,152,Lives in a communal establishment,1
54,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents,206
55,2021,E02002503,2021 super output areas - middle layer,152,Lives in a household,206
56,2021,E02002503,2021 super output areas - middle layer,152,Lives in a communal establishment,0
57,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents,234
58,2021,E02002504,2021 super output areas - middle layer,152,Lives in a household,234
59,2021,E02002504,2021 super output areas - middle layer,152,Lives in a communal establishment,0
60,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents,178
61,2021,E02002505,2021 super output areas - middle layer,152,Lives in a household,178
62,2021,E02002505,2021 super output areas - middle layer,152,Lives in a communal establishment,0
63,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents,172
64,2021,E02002506,2021 super output areas - middle layer,152,Lives in a household,161
65,2021,E02002506,2021 super output areas - middle layer,152,Lives in a communal establishment,11
66,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents,233
67,2021,E02002507,2021 super output areas - middle layer,152,Lives in a household,233
68,2021,E02002507,2021 super output areas - middle layer,152,Lives in a communal establishment,0
69,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents,243
70,2021,E02002508,2021 super output areas - middle layer,152,Lives in a household,243
71,2021,E02002508,2021 super output areas - middle layer,152,Lives in a communal establishment,0
72,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents,192
73,2021,E02002509,2021 super output areas - middle layer,152,Lives in a household,186
74,2021,E02002509,2021 super output areas - middle layer,152,Lives in a communal establishment,6
75,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents,257
76,2021,E02002510,2021 super output areas - middle layer,152,Lives in a household,257
77,2021,E02002510,2021 super output areas - middle layer,152,Lives in a communal establishment,0
78,2021,E02002512,2021 super output areas - middle layer,152,Total: All usual residents,225
79,2021,E02002512,2021 super output areas - middle layer,152,Lives in a household,225
80,2021,E02002512,2021 super output areas - middle layer,152,Lives in a communal establishment,0
81,2021,E02002513,2021 super output areas - middle layer,152,Total: All usual residents,431
82,2021,E02002513,2021 super output areas - middle layer,152,Lives in a household,418
83,2021,E02002513,2021 super output areas - middle layer,152,Lives in a communal establishment,13
84,2021,E02002514,2021 super output areas - middle layer,152,Total: All usual residents,397
85,2021,E02002514,2021 super output areas - middle layer,152,Lives in a household,388
86,2021,E02002514,2021 super output areas - middle layer,152,Lives in a communal establishment,9
87,2021,E02006811,2021 super output areas - middle layer,152,Total: All usual residents,430
88,2021,E02006811,2021 super output areas - middle layer,152,Lives in a household,417
89,2021,E02006811,2021 super output areas - middle layer,152,Lives in a communal establishment,13
90,2021,E02002515,2021 super output areas - middle layer,152,Total: All usual residents,387
91,2021,E02002515,2021 super output areas - middle layer,152,Lives in a household,355
92,2021,E02002515,2021 super output areas - middle layer,152,Lives in a communal establishment,32
93,2021,E02002516,2021 super output areas - middle layer,152,Total: All usual residents,298
94,2021,E02002516,2021 super output areas - middle layer,152,Lives in a household,298
95,2021,E02002516,2021 super output areas - middle layer,152,Lives in a communal establishment,0
96,2021,E02002517,2021 super output areas - middle layer,152,Total: All usual residents,312
97,2021,E02002517,2021 super output areas - middle layer,152,Lives in a household,312
98,2021,E02002517,2021 super output areas - middle layer,152,Lives in a communal establishment,0
99,2021,E02002518,2021 super output areas - middle layer,152,Total: All usual residents,624
100,2021,E02002518,2021 super output areas - middle layer,152,Lives in a household,624
101,2021,E02002518,2021 super output areas - middle layer,152,Lives in a communal establishment,0
102,2021,E02002519,2021 super output areas - middle layer,152,Total: All usual residents,398
103,2021,E02002519,2021 super output areas - middle layer,152,Lives in a household,387
104,2021,E02002519,2021 super output areas - middle layer,152,Lives in a communal establishment,11
105,2021,E02002520,2021 super output areas - middle layer,152,Total: All usual residents,752
106,2021,E02002520,2021 super output areas - middle layer,152,Lives in a household,752
107,2021,E02002520,2021 super output areas - middle layer,152,Lives in a communal establishment,0
108,2021,E02002521,2021 super output areas - middle layer,152,Total: All usual residents,323
109,2021,E02002521,2021 super output areas - middle layer,152,Lives in a household,308
110,2021,E02002521,2021 super output areas - middle layer,152,Lives in a communal establishment,15
111,2021,E02002523,2021 super output areas - middle layer,152,Total: All usual residents,207
112,2021,E02002523,2021 super output areas - middle layer,152,Lives in a household,207
113,2021,E02002523,2021 super output areas - middle layer,152,Lives in a communal establishment,0
114,2021,E02002524,2021 super output areas - middle layer,152,Total: All usual residents,268
115,2021,E02002524,2021 super output areas - middle layer,152,Lives in a household,267
116,2021,E02002524,2021 super output areas - middle layer,152,Lives in a communal establishment,1
117,2021,E02002525,2021 super output areas - middle layer,152,Total: All usual residents,416
118,2021,E02002525,2021 super output areas - middle layer,152,Lives in a household,411
119,2021,E02002525,2021 super output areas - middle layer,152,Lives in a communal establishment,5
120,2021,E02002526,2021 super output areas - middle layer,152,Total: All usual residents,379
121,2021,E02002526,2021 super output areas - middle layer,152,Lives in a household,379
122,2021,E02002526,2021 super output areas - middle layer,152,Lives in a communal establishment,0
123,2021,E02002527,2021 super output areas - middle layer,152,Total: All usual residents,220
124,2021,E02002527,2021 super output areas - middle layer,152,Lives in a household,218
125,2021,E02002527,2021 super output areas - middle layer,152,Lives in a communal establishment,2
126,2021,E02002529,2021 super output areas - middle layer,152,Total: All usual residents,298
127,2021,E02002529,2021 super output areas - middle layer,152,Lives in a household,298
128,2021,E02002529,2021 super output areas - middle layer,152,Lives in a communal establishment,0
129,2021,E02002530,2021 super output areas - middle layer,152,Total: All usual residents,334
130,2021,E02002530,2021 super output areas - middle layer,152,Lives in a household,334
131,2021,E02002530,2021 super output areas - middle layer,152,Lives in a communal establishment,0
132,2021,E02002532,2021 super output areas - middle layer,152,Total: All usual residents,352
133,2021,E02002532,2021 super output areas - middle layer,152,Lives in a household,342
134,2021,E02002532,2021 super output areas - middle layer,152,Lives in a communal establishment,10
135,2021,E02002533,2021 super output areas - middle layer,152,Total: All usual residents,340
136,2021,E02002533,2021 super output areas - middle layer,152,Lives in a household,337
137,2021,E02002533,2021 super output areas - middle layer,152,Lives in a communal establishment,3
138,2021,E02002534,2021 super output areas - middle layer,152,Total: All usual residents,290
139,2021,E02002534,2021 super output areas - middle layer,152,Lives in a household,279
140,2021,E02002534,2021 super output areas - middle layer,152,Lives in a communal establishment,11
141,2021,E02006812,2021 super output areas - middle layer,152,Total: All usual residents,371
142,2021,E02006812,2021 super output areas - middle layer,152,Lives in a household,371
143,2021,E02006812,2021 super output areas - middle layer,152,Lives in a communal establishment,0
144,2021,E02006910,2021 super output areas - middle layer,152,Total: All usual residents,427
145,2021,E02006910,2021 super output areas - middle layer,152,Lives in a household,426
146,2021,E02006910,2021 super output areas - middle layer,152,Lives in a communal establishment,1
147,2021,E02002535,2021 super output areas - middle layer,152,Total: All usual residents,446
148,2021,E02002535,2021 super output areas - middle layer,152,Lives in a household,446
149,2021,E02002535,2021 super output areas - middle layer,152,Lives in a communal establishment,0
150,2021,E02002536,2021 super output areas - middle layer,152,Total: All usual residents,458
151,2021,E02002536,2021 super output areas - middle layer,152,Lives in a household,458
152,2021,E02002536,2021 super output areas - middle layer,152,Lives in a communal establishment,0
153,2021,E02002537,2021 super output areas - middle layer,152,Total: All usual residents,388
154,2021,E02002537,2021 super output areas - middle layer,152,Lives in a household,379
155,2021,E02002537,2021 super output areas - middle layer,152,Lives in a communal establishment,9
156,2021,E02002538,2021 super output areas - middle layer,152,Total: All usual residents,293
157,2021,E02002538,2021 super output areas - middle layer,152,Lives in a household,285
158,2021,E02002538,2021 super output areas - middle layer,152,Lives in a communal establishment,8
159,2021,E02002539,2021 super output areas - middle layer,152,Total: All usual residents,422
160,2021,E02002539,2021 super output areas - middle layer,152,Lives in a household,416
161,2021,E02002539,2021 super output areas - middle layer,152,Lives in a communal establishment,6
