,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_GENDERID_7_NAME,OBS_VALUE
0,2021,E02006978,2021 super output areas - middle layer,152,Trans woman,9
1,2021,E02006978,2021 super output areas - middle layer,152,Trans man,9
2,2021,E02006978,2021 super output areas - middle layer,152,All other gender identities,8
3,2021,E02006978,2021 super output areas - middle layer,152,Not answered,359
4,2021,E02006979,2021 super output areas - middle layer,152,Total,5503
5,2021,E02006979,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5186
6,2021,E02006979,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,17
7,2021,E02006979,2021 super output areas - middle layer,152,Trans woman,8
8,2021,E02006979,2021 super output areas - middle layer,152,Trans man,4
9,2021,E02006979,2021 super output areas - middle layer,152,All other gender identities,4
10,2021,E02006979,2021 super output areas - middle layer,152,Not answered,284
11,2021,E02004506,2021 super output areas - middle layer,152,Total,5878
12,2021,E02004506,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5567
13,2021,E02004506,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,7
14,2021,E02004506,2021 super output areas - middle layer,152,Trans woman,1
15,2021,E02004506,2021 super output areas - middle layer,152,Trans man,12
16,2021,E02004506,2021 super output areas - middle layer,152,All other gender identities,3
17,2021,E02004506,2021 super output areas - middle layer,152,Not answered,288
18,2021,E02004507,2021 super output areas - middle layer,152,Total,7625
19,2021,E02004507,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,7239
20,2021,E02004507,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,11
21,2021,E02004507,2021 super output areas - middle layer,152,Trans woman,10
22,2021,E02004507,2021 super output areas - middle layer,152,Trans man,8
23,2021,E02004507,2021 super output areas - middle layer,152,All other gender identities,6
24,2021,E02004507,2021 super output areas - middle layer,152,Not answered,351
25,2021,E02004508,2021 super output areas - middle layer,152,Total,5432
26,2021,E02004508,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5099
27,2021,E02004508,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,3
