,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2011,E01031912,2011 super output areas - lower layer,298,All usual residents,1366.0
1,2011,E01031912,2011 super output areas - lower layer,298,Males,688.0
2,2011,E01031912,2011 super output areas - lower layer,298,Females,678.0
3,2011,E01031912,2011 super output areas - lower layer,298,Lives in a household,1358.0
4,2011,E01031912,2011 super output areas - lower layer,298,Lives in a communal establishment,8.0
5,2011,E01031912,2011 super output areas - lower layer,298,Schoolchild or full-time student aged 4 and over at their non term-time address,12.0
6,2011,E01031912,2011 super output areas - lower layer,298,Area (Hectares),82.95
7,2011,E01031912,2011 super output areas - lower layer,298,Density (number of persons per hectare),16.5
8,2011,E01031913,2011 super output areas - lower layer,298,All usual residents,1397.0
9,2011,E01031913,2011 super output areas - lower layer,298,Males,690.0
10,2011,E01031913,2011 super output areas - lower layer,298,Females,707.0
11,2011,E01031913,2011 super output areas - lower layer,298,Lives in a household,1322.0
12,2011,E01031913,2011 super output areas - lower layer,298,Lives in a communal establishment,75.0
13,2011,E01031913,2011 super output areas - lower layer,298,Schoolchild or full-time student aged 4 and over at their non term-time address,24.0
14,2011,E01031913,2011 super output areas - lower layer,298,Area (Hectares),73.27
15,2011,E01031913,2011 super output areas - lower layer,298,Density (number of persons per hectare),19.1
16,2011,E01031917,2011 super output areas - lower layer,298,All usual residents,1416.0
17,2011,E01031917,2011 super output areas - lower layer,298,Males,704.0
18,2011,E01031917,2011 super output areas - lower layer,298,Females,712.0
19,2011,E01031917,2011 super output areas - lower layer,298,Lives in a household,1354.0
20,2011,E01031917,2011 super output areas - lower layer,298,Lives in a communal establishment,62.0
21,2011,E01031917,2011 super output areas - lower layer,298,Schoolchild or full-time student aged 4 and over at their non term-time address,13.0
22,2011,E01031917,2011 super output areas - lower layer,298,Area (Hectares),38.2
23,2011,E01031917,2011 super output areas - lower layer,298,Density (number of persons per hectare),37.1
24,2011,E01031918,2011 super output areas - lower layer,298,All usual residents,2460.0
25,2011,E01031918,2011 super output areas - lower layer,298,Males,1202.0
26,2011,E01031918,2011 super output areas - lower layer,298,Females,1258.0
27,2011,E01031918,2011 super output areas - lower layer,298,Lives in a household,2411.0
28,2011,E01031918,2011 super output areas - lower layer,298,Lives in a communal establishment,49.0
29,2011,E01031918,2011 super output areas - lower layer,298,Schoolchild or full-time student aged 4 and over at their non term-time address,40.0
30,2011,E01031918,2011 super output areas - lower layer,298,Area (Hectares),97.54
31,2011,E01031918,2011 super output areas - lower layer,298,Density (number of persons per hectare),25.2
32,2011,E01031928,2011 super output areas - lower layer,298,All usual residents,1345.0
33,2011,E01031928,2011 super output areas - lower layer,298,Males,635.0
34,2011,E01031928,2011 super output areas - lower layer,298,Females,710.0
35,2011,E01031928,2011 super output areas - lower layer,298,Lives in a household,1336.0
36,2011,E01031928,2011 super output areas - lower layer,298,Lives in a communal establishment,9.0
37,2011,E01031928,2011 super output areas - lower layer,298,Schoolchild or full-time student aged 4 and over at their non term-time address,9.0
38,2011,E01031928,2011 super output areas - lower layer,298,Area (Hectares),39.01
39,2011,E01031928,2011 super output areas - lower layer,298,Density (number of persons per hectare),34.5
40,2011,E01031891,2011 super output areas - lower layer,298,All usual residents,2301.0
41,2011,E01031891,2011 super output areas - lower layer,298,Males,1130.0
42,2011,E01031891,2011 super output areas - lower layer,298,Females,1171.0
43,2011,E01031891,2011 super output areas - lower layer,298,Lives in a household,2248.0
