,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
0,2021,E01005314,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,119
1,2021,E01005314,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,119
2,2021,E01005314,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
3,2021,E01005314,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,61
4,2021,E01005314,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,61
5,2021,E01005314,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
6,2021,E01005315,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1379
7,2021,E01005315,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,702
8,2021,E01005315,2021 super output areas - lower layer,151,Married or in a registered civil partnership,390
9,2021,E01005315,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,386
10,2021,E01005315,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,381
11,2021,E01005315,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,5
12,2021,E01005315,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,4
13,2021,E01005315,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
14,2021,E01005315,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,2
15,2021,E01005315,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",37
16,2021,E01005315,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",37
17,2021,E01005315,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
18,2021,E01005315,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,182
19,2021,E01005315,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,181
20,2021,E01005315,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
21,2021,E01005315,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,68
22,2021,E01005315,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,68
23,2021,E01005315,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
24,2021,E01005316,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1294
25,2021,E01005316,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,636
26,2021,E01005316,2021 super output areas - lower layer,151,Married or in a registered civil partnership,451
27,2021,E01005316,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,450
28,2021,E01005316,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,446
29,2021,E01005316,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,4
30,2021,E01005316,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,1
31,2021,E01005316,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
32,2021,E01005316,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,1
33,2021,E01005316,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",45
34,2021,E01005316,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",45
35,2021,E01005316,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
36,2021,E01005316,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,115
37,2021,E01005316,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,114
38,2021,E01005316,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
39,2021,E01005316,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,47
40,2021,E01005316,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,47
41,2021,E01005316,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
42,2021,E01005318,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1534
43,2021,E01005318,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,792
44,2021,E01005318,2021 super output areas - lower layer,151,Married or in a registered civil partnership,436
45,2021,E01005318,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,433
46,2021,E01005318,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,426
47,2021,E01005318,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,7
48,2021,E01005318,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,3
49,2021,E01005318,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
50,2021,E01005318,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,1
51,2021,E01005318,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",40
52,2021,E01005318,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",40
53,2021,E01005318,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
54,2021,E01005318,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,151
55,2021,E01005318,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,151
56,2021,E01005318,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
57,2021,E01005318,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,115
58,2021,E01005318,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,115
59,2021,E01005318,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
60,2021,E01005130,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1192
61,2021,E01005130,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,745
62,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership,261
63,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,257
64,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,248
65,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,9
66,2021,E01005130,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,4
