,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
0,2021,E01003672,2021 super output areas - lower layer,151,Married or in a registered civil partnership,546
1,2021,E01003672,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,544
2,2021,E01003672,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,534
3,2021,E01003672,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,10
4,2021,E01003672,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,2
5,2021,E01003672,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
6,2021,E01003672,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,0
7,2021,E01003672,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",25
8,2021,E01003672,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",25
9,2021,E01003672,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
10,2021,E01003672,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,110
11,2021,E01003672,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,110
12,2021,E01003672,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
13,2021,E01003672,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,91
14,2021,E01003672,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,91
15,2021,E01003672,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
16,2021,E01003673,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1557
17,2021,E01003673,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,636
18,2021,E01003673,2021 super output areas - lower layer,151,Married or in a registered civil partnership,695
19,2021,E01003673,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,690
20,2021,E01003673,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,681
21,2021,E01003673,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,9
22,2021,E01003673,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,5
23,2021,E01003673,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
24,2021,E01003673,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,5
25,2021,E01003673,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",39
26,2021,E01003673,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",39
27,2021,E01003673,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
28,2021,E01003673,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,133
29,2021,E01003673,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,133
30,2021,E01003673,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
31,2021,E01003673,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,54
32,2021,E01003673,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,54
33,2021,E01003673,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
34,2021,E01003674,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1963
35,2021,E01003674,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,877
36,2021,E01003674,2021 super output areas - lower layer,151,Married or in a registered civil partnership,823
37,2021,E01003674,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,816
38,2021,E01003674,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,815
39,2021,E01003674,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,1
40,2021,E01003674,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,7
41,2021,E01003674,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,2
42,2021,E01003674,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,5
43,2021,E01003674,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",35
44,2021,E01003674,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",35
45,2021,E01003674,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
46,2021,E01003674,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,151
47,2021,E01003674,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,151
48,2021,E01003674,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
49,2021,E01003674,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,77
50,2021,E01003674,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,77
51,2021,E01003674,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
52,2021,E01003707,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1221
53,2021,E01003707,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,384
54,2021,E01003707,2021 super output areas - lower layer,151,Married or in a registered civil partnership,677
55,2021,E01003707,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,677
56,2021,E01003707,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,674
57,2021,E01003707,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,3
58,2021,E01003707,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,0
59,2021,E01003707,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
60,2021,E01003707,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,0
61,2021,E01003707,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",21
62,2021,E01003707,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",21
63,2021,E01003707,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
64,2021,E01003707,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,74
65,2021,E01003707,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,74
66,2021,E01003707,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
67,2021,E01003707,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner,65
68,2021,E01003707,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Widowed,65
69,2021,E01003707,2021 super output areas - lower layer,151,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
70,2021,E01003708,2021 super output areas - lower layer,151,Total: All usual residents aged 16 and over,1571
71,2021,E01003708,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,685
72,2021,E01003708,2021 super output areas - lower layer,151,Married or in a registered civil partnership,623
73,2021,E01003708,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,623
74,2021,E01003708,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,622
75,2021,E01003708,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,1
