,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHCOMP_15_NAME,OBS_VALUE
0,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Married or civil partnership couple,138
1,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Married or civil partnership couple: No children,49
2,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Married or civil partnership couple: Dependent children,66
3,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Married or civil partnership couple: All children non-dependent,23
4,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Cohabiting couple family,67
5,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Cohabiting couple family: No children,45
6,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Cohabiting couple family: With dependent children,20
7,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Cohabiting couple family: All children non-dependent,2
8,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Lone parent family,139
9,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Lone parent family: With dependent children,52
10,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Lone parent family: All children non-dependent,87
11,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Other single family household,11
12,2021,E01002831,2021 super output areas - lower layer,151,Single family household: Other single family household: Other family composition,11
13,2021,E01002831,2021 super output areas - lower layer,151,Other household types,81
14,2021,E01002831,2021 super output areas - lower layer,151,Other household types: With dependent children,19
15,2021,E01002831,2021 super output areas - lower layer,151,"Other household types: Other, including all full-time students and all aged 66 years and over",62
16,2021,E01002832,2021 super output areas - lower layer,151,Total: All households,790
17,2021,E01002832,2021 super output areas - lower layer,151,One-person household,349
18,2021,E01002832,2021 super output areas - lower layer,151,One-person household: Aged 66 years and over,94
19,2021,E01002832,2021 super output areas - lower layer,151,One-person household: Other,255
20,2021,E01002832,2021 super output areas - lower layer,151,Single family household,368
21,2021,E01002832,2021 super output areas - lower layer,151,Single family household: All aged 66 years and over,18
22,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Married or civil partnership couple,144
23,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Married or civil partnership couple: No children,44
24,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Married or civil partnership couple: Dependent children,57
25,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Married or civil partnership couple: All children non-dependent,43
26,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Cohabiting couple family,76
27,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Cohabiting couple family: No children,54
28,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Cohabiting couple family: With dependent children,13
29,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Cohabiting couple family: All children non-dependent,9
30,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Lone parent family,118
31,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Lone parent family: With dependent children,62
32,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Lone parent family: All children non-dependent,56
33,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Other single family household,12
34,2021,E01002832,2021 super output areas - lower layer,151,Single family household: Other single family household: Other family composition,12
35,2021,E01002832,2021 super output areas - lower layer,151,Other household types,73
36,2021,E01002832,2021 super output areas - lower layer,151,Other household types: With dependent children,24
37,2021,E01002832,2021 super output areas - lower layer,151,"Other household types: Other, including all full-time students and all aged 66 years and over",49
38,2021,E01002856,2021 super output areas - lower layer,151,Total: All households,768
