,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COB_12_NAME,OBS_VALUE
0,2021,E01015661,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,51
1,2021,E01015661,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
2,2021,E01015661,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,23
3,2021,E01015661,2021 super output areas - lower layer,151,Africa,89
4,2021,E01015661,2021 super output areas - lower layer,151,Middle East and Asia,217
5,2021,E01015661,2021 super output areas - lower layer,151,The Americas and the Caribbean,17
6,2021,E01015661,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
7,2021,E01015661,2021 super output areas - lower layer,151,British Overseas,0
8,2021,E01015677,2021 super output areas - lower layer,151,Total: All usual residents,1185
9,2021,E01015677,2021 super output areas - lower layer,151,Europe,1085
10,2021,E01015677,2021 super output areas - lower layer,151,Europe: United Kingdom,828
11,2021,E01015677,2021 super output areas - lower layer,151,Europe: EU countries,253
12,2021,E01015677,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,39
13,2021,E01015677,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,147
14,2021,E01015677,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,64
15,2021,E01015677,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,3
16,2021,E01015677,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,4
17,2021,E01015677,2021 super output areas - lower layer,151,Africa,18
18,2021,E01015677,2021 super output areas - lower layer,151,Middle East and Asia,59
19,2021,E01015677,2021 super output areas - lower layer,151,The Americas and the Caribbean,22
20,2021,E01015677,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
21,2021,E01015677,2021 super output areas - lower layer,151,British Overseas,0
22,2021,E01015591,2021 super output areas - lower layer,151,Total: All usual residents,1505
23,2021,E01015591,2021 super output areas - lower layer,151,Europe,1345
24,2021,E01015591,2021 super output areas - lower layer,151,Europe: United Kingdom,1169
25,2021,E01015591,2021 super output areas - lower layer,151,Europe: EU countries,169
26,2021,E01015591,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,42
27,2021,E01015591,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,113
28,2021,E01015591,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,5
29,2021,E01015591,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,9
30,2021,E01015591,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,7
31,2021,E01015591,2021 super output areas - lower layer,151,Africa,56
32,2021,E01015591,2021 super output areas - lower layer,151,Middle East and Asia,96
33,2021,E01015591,2021 super output areas - lower layer,151,The Americas and the Caribbean,6
34,2021,E01015591,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,2
35,2021,E01015591,2021 super output areas - lower layer,151,British Overseas,0
36,2021,E01015592,2021 super output areas - lower layer,151,Total: All usual residents,1573
37,2021,E01015592,2021 super output areas - lower layer,151,Europe,1455
38,2021,E01015592,2021 super output areas - lower layer,151,Europe: United Kingdom,1077
39,2021,E01015592,2021 super output areas - lower layer,151,Europe: EU countries,361
40,2021,E01015592,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,65
41,2021,E01015592,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,252
42,2021,E01015592,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,43
43,2021,E01015592,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
44,2021,E01015592,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,17
45,2021,E01015592,2021 super output areas - lower layer,151,Africa,60
46,2021,E01015592,2021 super output areas - lower layer,151,Middle East and Asia,44
47,2021,E01015592,2021 super output areas - lower layer,151,The Americas and the Caribbean,13
48,2021,E01015592,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,1
49,2021,E01015592,2021 super output areas - lower layer,151,British Overseas,0
50,2021,E01015594,2021 super output areas - lower layer,151,Total: All usual residents,2383
51,2021,E01015594,2021 super output areas - lower layer,151,Europe,2013
52,2021,E01015594,2021 super output areas - lower layer,151,Europe: United Kingdom,1589
53,2021,E01015594,2021 super output areas - lower layer,151,Europe: EU countries,404
54,2021,E01015594,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,93
55,2021,E01015594,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,249
56,2021,E01015594,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,59
57,2021,E01015594,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,3
58,2021,E01015594,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,20
59,2021,E01015594,2021 super output areas - lower layer,151,Africa,82
60,2021,E01015594,2021 super output areas - lower layer,151,Middle East and Asia,247
61,2021,E01015594,2021 super output areas - lower layer,151,The Americas and the Caribbean,34
62,2021,E01015594,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,6
63,2021,E01015594,2021 super output areas - lower layer,151,British Overseas,1
64,2021,E01015595,2021 super output areas - lower layer,151,Total: All usual residents,1624
65,2021,E01015595,2021 super output areas - lower layer,151,Europe,1374
66,2021,E01015595,2021 super output areas - lower layer,151,Europe: United Kingdom,1065
67,2021,E01015595,2021 super output areas - lower layer,151,Europe: EU countries,301
68,2021,E01015595,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,65
69,2021,E01015595,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,202
70,2021,E01015595,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,33
71,2021,E01015595,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,1
72,2021,E01015595,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,8
73,2021,E01015595,2021 super output areas - lower layer,151,Africa,84
74,2021,E01015595,2021 super output areas - lower layer,151,Middle East and Asia,146
75,2021,E01015595,2021 super output areas - lower layer,151,The Americas and the Caribbean,17
76,2021,E01015595,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,2
77,2021,E01015595,2021 super output areas - lower layer,151,British Overseas,1
78,2021,E01015597,2021 super output areas - lower layer,151,Total: All usual residents,1762
79,2021,E01015597,2021 super output areas - lower layer,151,Europe,1610
80,2021,E01015597,2021 super output areas - lower layer,151,Europe: United Kingdom,1236
81,2021,E01015597,2021 super output areas - lower layer,151,Europe: EU countries,337
82,2021,E01015597,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,64
83,2021,E01015597,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,248
84,2021,E01015597,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,23
85,2021,E01015597,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,2
86,2021,E01015597,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,37
87,2021,E01015597,2021 super output areas - lower layer,151,Africa,65
88,2021,E01015597,2021 super output areas - lower layer,151,Middle East and Asia,63
89,2021,E01015597,2021 super output areas - lower layer,151,The Americas and the Caribbean,24
90,2021,E01015597,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,0
91,2021,E01015597,2021 super output areas - lower layer,151,British Overseas,0
92,2021,E01015601,2021 super output areas - lower layer,151,Total: All usual residents,2285
93,2021,E01015601,2021 super output areas - lower layer,151,Europe,1643
94,2021,E01015601,2021 super output areas - lower layer,151,Europe: United Kingdom,1114
95,2021,E01015601,2021 super output areas - lower layer,151,Europe: EU countries,517
96,2021,E01015601,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,74
97,2021,E01015601,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,326
98,2021,E01015601,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,117
99,2021,E01015601,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
100,2021,E01015601,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,12
101,2021,E01015601,2021 super output areas - lower layer,151,Africa,33
102,2021,E01015601,2021 super output areas - lower layer,151,Middle East and Asia,601
103,2021,E01015601,2021 super output areas - lower layer,151,The Americas and the Caribbean,8
104,2021,E01015601,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,0
105,2021,E01015601,2021 super output areas - lower layer,151,British Overseas,0
106,2021,E01015651,2021 super output areas - lower layer,151,Total: All usual residents,2265
107,2021,E01015651,2021 super output areas - lower layer,151,Europe,1799
108,2021,E01015651,2021 super output areas - lower layer,151,Europe: United Kingdom,1406
109,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries,385
110,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,56
111,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,301
112,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,26
113,2021,E01015651,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,2
114,2021,E01015651,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,8
115,2021,E01015651,2021 super output areas - lower layer,151,Africa,51
116,2021,E01015651,2021 super output areas - lower layer,151,Middle East and Asia,404
117,2021,E01015651,2021 super output areas - lower layer,151,The Americas and the Caribbean,11
118,2021,E01015651,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,0
119,2021,E01015651,2021 super output areas - lower layer,151,British Overseas,0
120,2021,E01015652,2021 super output areas - lower layer,151,Total: All usual residents,2287
121,2021,E01015652,2021 super output areas - lower layer,151,Europe,1749
122,2021,E01015652,2021 super output areas - lower layer,151,Europe: United Kingdom,1207
123,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries,523
124,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,59
125,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,374
126,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,90
127,2021,E01015652,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,0
128,2021,E01015652,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,19
129,2021,E01015652,2021 super output areas - lower layer,151,Africa,34
130,2021,E01015652,2021 super output areas - lower layer,151,Middle East and Asia,499
131,2021,E01015652,2021 super output areas - lower layer,151,The Americas and the Caribbean,3
132,2021,E01015652,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,2
133,2021,E01015652,2021 super output areas - lower layer,151,British Overseas,0
134,2021,E01015653,2021 super output areas - lower layer,151,Total: All usual residents,1944
135,2021,E01015653,2021 super output areas - lower layer,151,Europe,1599
136,2021,E01015653,2021 super output areas - lower layer,151,Europe: United Kingdom,1311
137,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries,273
138,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU14,71
139,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU8,157
140,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries: European Union EU2,39
141,2021,E01015653,2021 super output areas - lower layer,151,Europe: EU countries: All other EU countries,6
142,2021,E01015653,2021 super output areas - lower layer,151,Europe: Non-EU countries - All other non-EU countries,15
143,2021,E01015653,2021 super output areas - lower layer,151,Africa,66
144,2021,E01015653,2021 super output areas - lower layer,151,Middle East and Asia,254
145,2021,E01015653,2021 super output areas - lower layer,151,The Americas and the Caribbean,20
146,2021,E01015653,2021 super output areas - lower layer,151,Antarctica and Oceania (including Australasia) and Other,5
147,2021,E01015653,2021 super output areas - lower layer,151,British Overseas,0
148,2021,E01015654,2021 super output areas - lower layer,151,Total: All usual residents,2793
149,2021,E01015654,2021 super output areas - lower layer,151,Europe,2271
150,2021,E01015654,2021 super output areas - lower layer,151,Europe: United Kingdom,1373
151,2021,E01015654,2021 super output areas - lower layer,151,Europe: EU countries,869
