,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PASS_27_NAME,OBS_VALUE
0,2021,E01004865,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
1,2021,E01004865,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,1
2,2021,E01004865,2021 super output areas - lower layer,151,Africa,8
3,2021,E01004865,2021 super output areas - lower layer,151,Africa: North Africa,0
4,2021,E01004865,2021 super output areas - lower layer,151,Africa: Central and Western Africa,2
5,2021,E01004865,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,6
6,2021,E01004865,2021 super output areas - lower layer,151,Middle East and Asia,55
7,2021,E01004865,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,1
8,2021,E01004865,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,1
9,2021,E01004865,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,52
10,2021,E01004865,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,1
11,2021,E01004865,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
12,2021,E01004865,2021 super output areas - lower layer,151,The Americas and the Caribbean,4
13,2021,E01004865,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,2
14,2021,E01004865,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,2
15,2021,E01004865,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
16,2021,E01004865,2021 super output areas - lower layer,151,British Overseas Territories,0
17,2021,E01004865,2021 super output areas - lower layer,151,No passport held,192
18,2021,E01004866,2021 super output areas - lower layer,151,Total: All usual residents,2040
19,2021,E01004866,2021 super output areas - lower layer,151,Europe,1636
20,2021,E01004866,2021 super output areas - lower layer,151,Europe: United Kingdom,1442
21,2021,E01004866,2021 super output areas - lower layer,151,Europe: Ireland,12
22,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe,182
23,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,182
24,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,3
25,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,0
26,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,52
27,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,13
28,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,27
29,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,2
30,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,11
31,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,11
32,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,63
33,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,0
34,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
35,2021,E01004866,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,0
36,2021,E01004866,2021 super output areas - lower layer,151,Africa,23
37,2021,E01004866,2021 super output areas - lower layer,151,Africa: North Africa,4
38,2021,E01004866,2021 super output areas - lower layer,151,Africa: Central and Western Africa,13
39,2021,E01004866,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,6
40,2021,E01004866,2021 super output areas - lower layer,151,Middle East and Asia,96
41,2021,E01004866,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,8
42,2021,E01004866,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,0
43,2021,E01004866,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,88
44,2021,E01004866,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,0
45,2021,E01004866,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
46,2021,E01004866,2021 super output areas - lower layer,151,The Americas and the Caribbean,2
47,2021,E01004866,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,1
48,2021,E01004866,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,1
49,2021,E01004866,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
50,2021,E01004866,2021 super output areas - lower layer,151,British Overseas Territories,0
51,2021,E01004866,2021 super output areas - lower layer,151,No passport held,283
52,2021,E01004840,2021 super output areas - lower layer,151,Total: All usual residents,1733
53,2021,E01004840,2021 super output areas - lower layer,151,Europe,1487
54,2021,E01004840,2021 super output areas - lower layer,151,Europe: United Kingdom,1463
55,2021,E01004840,2021 super output areas - lower layer,151,Europe: Ireland,14
56,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe,10
57,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,9
58,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,0
59,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,0
60,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,1
61,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,0
62,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,0
63,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,0
64,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,3
65,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,2
66,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,3
67,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,1
68,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
69,2021,E01004840,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,1
70,2021,E01004840,2021 super output areas - lower layer,151,Africa,4
71,2021,E01004840,2021 super output areas - lower layer,151,Africa: North Africa,0
72,2021,E01004840,2021 super output areas - lower layer,151,Africa: Central and Western Africa,1
73,2021,E01004840,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,3
74,2021,E01004840,2021 super output areas - lower layer,151,Middle East and Asia,20
75,2021,E01004840,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,1
76,2021,E01004840,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,4
77,2021,E01004840,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,15
78,2021,E01004840,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,0
79,2021,E01004840,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
80,2021,E01004840,2021 super output areas - lower layer,151,The Americas and the Caribbean,0
81,2021,E01004840,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,0
82,2021,E01004840,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,0
83,2021,E01004840,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
84,2021,E01004840,2021 super output areas - lower layer,151,British Overseas Territories,0
85,2021,E01004840,2021 super output areas - lower layer,151,No passport held,222
86,2021,E01004841,2021 super output areas - lower layer,151,Total: All usual residents,1748
87,2021,E01004841,2021 super output areas - lower layer,151,Europe,1213
88,2021,E01004841,2021 super output areas - lower layer,151,Europe: United Kingdom,1118
89,2021,E01004841,2021 super output areas - lower layer,151,Europe: Ireland,1
90,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe,94
91,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,94
92,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,0
93,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,2
94,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,0
95,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,1
96,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,0
97,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,10
98,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,48
99,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,1
100,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,32
101,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,0
102,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
103,2021,E01004841,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,0
104,2021,E01004841,2021 super output areas - lower layer,151,Africa,20
105,2021,E01004841,2021 super output areas - lower layer,151,Africa: North Africa,0
106,2021,E01004841,2021 super output areas - lower layer,151,Africa: Central and Western Africa,9
107,2021,E01004841,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,11
108,2021,E01004841,2021 super output areas - lower layer,151,Middle East and Asia,5
109,2021,E01004841,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,0
110,2021,E01004841,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,0
111,2021,E01004841,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,4
112,2021,E01004841,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,1
113,2021,E01004841,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
114,2021,E01004841,2021 super output areas - lower layer,151,The Americas and the Caribbean,3
115,2021,E01004841,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,0
116,2021,E01004841,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,3
117,2021,E01004841,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
118,2021,E01004841,2021 super output areas - lower layer,151,British Overseas Territories,0
119,2021,E01004841,2021 super output areas - lower layer,151,No passport held,507
120,2021,E01004842,2021 super output areas - lower layer,151,Total: All usual residents,1714
121,2021,E01004842,2021 super output areas - lower layer,151,Europe,1559
122,2021,E01004842,2021 super output areas - lower layer,151,Europe: United Kingdom,1527
123,2021,E01004842,2021 super output areas - lower layer,151,Europe: Ireland,9
124,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe,23
125,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,22
126,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,0
127,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,0
128,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,1
129,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,8
130,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,0
131,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,3
132,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,0
133,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,0
134,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,10
135,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,1
136,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,1
137,2021,E01004842,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,0
138,2021,E01004842,2021 super output areas - lower layer,151,Africa,0
139,2021,E01004842,2021 super output areas - lower layer,151,Africa: North Africa,0
140,2021,E01004842,2021 super output areas - lower layer,151,Africa: Central and Western Africa,0
141,2021,E01004842,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,0
142,2021,E01004842,2021 super output areas - lower layer,151,Middle East and Asia,9
143,2021,E01004842,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,0
144,2021,E01004842,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,0
145,2021,E01004842,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,9
146,2021,E01004842,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,0
147,2021,E01004842,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
148,2021,E01004842,2021 super output areas - lower layer,151,The Americas and the Caribbean,2
149,2021,E01004842,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,2
150,2021,E01004842,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,0
151,2021,E01004842,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
152,2021,E01004842,2021 super output areas - lower layer,151,British Overseas Territories,0
153,2021,E01004842,2021 super output areas - lower layer,151,No passport held,144
154,2021,E01004919,2021 super output areas - lower layer,151,Total: All usual residents,1509
155,2021,E01004919,2021 super output areas - lower layer,151,Europe,1317
156,2021,E01004919,2021 super output areas - lower layer,151,Europe: United Kingdom,1291
157,2021,E01004919,2021 super output areas - lower layer,151,Europe: Ireland,6
158,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe,20
159,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,20
160,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,1
161,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,1
162,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,3
163,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,0
164,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,3
165,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,0
166,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,8
167,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,0
168,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,4
169,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,0
170,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Turkey,0
171,2021,E01004919,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe: Other Europe,0
172,2021,E01004919,2021 super output areas - lower layer,151,Africa,2
173,2021,E01004919,2021 super output areas - lower layer,151,Africa: North Africa,0
174,2021,E01004919,2021 super output areas - lower layer,151,Africa: Central and Western Africa,0
175,2021,E01004919,2021 super output areas - lower layer,151,Africa: South and Eastern Africa,2
176,2021,E01004919,2021 super output areas - lower layer,151,Middle East and Asia,20
177,2021,E01004919,2021 super output areas - lower layer,151,Middle East and Asia: Middle East,1
178,2021,E01004919,2021 super output areas - lower layer,151,Middle East and Asia: Eastern Asia,0
179,2021,E01004919,2021 super output areas - lower layer,151,Middle East and Asia: Southern Asia,18
180,2021,E01004919,2021 super output areas - lower layer,151,Middle East and Asia: South-East Asia,1
181,2021,E01004919,2021 super output areas - lower layer,151,Middle East and Asia: Central Asia,0
182,2021,E01004919,2021 super output areas - lower layer,151,The Americas and the Caribbean,2
183,2021,E01004919,2021 super output areas - lower layer,151,The Americas and the Caribbean: North America and the Caribbean,2
184,2021,E01004919,2021 super output areas - lower layer,151,The Americas and the Caribbean: Central and South America,0
185,2021,E01004919,2021 super output areas - lower layer,151,"Antarctica and Oceania, including Australasia",0
186,2021,E01004919,2021 super output areas - lower layer,151,British Overseas Territories,0
187,2021,E01004919,2021 super output areas - lower layer,151,No passport held,168
188,2021,E01004920,2021 super output areas - lower layer,151,Total: All usual residents,1644
189,2021,E01004920,2021 super output areas - lower layer,151,Europe,1312
190,2021,E01004920,2021 super output areas - lower layer,151,Europe: United Kingdom,1262
191,2021,E01004920,2021 super output areas - lower layer,151,Europe: Ireland,1
192,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe,49
193,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries,45
194,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: France,0
195,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Germany,0
196,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Italy,0
197,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Portugal,3
198,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Spain,6
199,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Lithuania,0
200,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Poland,20
201,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Romania,4
202,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: EU Member countries: Other EU countries,12
203,2021,E01004920,2021 super output areas - lower layer,151,Europe: Other Europe: Rest of Europe,4
