,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_19_NAME,OBS_VALUE
0,2021,E01009268,2021 super output areas - lower layer,151,Aged 60 to 64 years,82
1,2021,E01009268,2021 super output areas - lower layer,151,Aged 65 to 69 years,88
2,2021,E01009268,2021 super output areas - lower layer,151,Aged 70 to 74 years,53
3,2021,E01009268,2021 super output areas - lower layer,151,Aged 75 to 79 years,32
4,2021,E01009268,2021 super output areas - lower layer,151,Aged 80 to 84 years,27
5,2021,E01009268,2021 super output areas - lower layer,151,Aged 85 years and over,20
6,2021,E01009272,2021 super output areas - lower layer,151,Total,1394
7,2021,E01009272,2021 super output areas - lower layer,151,Aged 4 years and under,66
8,2021,E01009272,2021 super output areas - lower layer,151,Aged 5 to 9 years,122
9,2021,E01009272,2021 super output areas - lower layer,151,Aged 10 to 14 years,121
10,2021,E01009272,2021 super output areas - lower layer,151,Aged 15 to 19 years,125
11,2021,E01009272,2021 super output areas - lower layer,151,Aged 20 to 24 years,84
12,2021,E01009272,2021 super output areas - lower layer,151,Aged 25 to 29 years,103
13,2021,E01009272,2021 super output areas - lower layer,151,Aged 30 to 34 years,85
14,2021,E01009272,2021 super output areas - lower layer,151,Aged 35 to 39 years,101
15,2021,E01009272,2021 super output areas - lower layer,151,Aged 40 to 44 years,89
16,2021,E01009272,2021 super output areas - lower layer,151,Aged 45 to 49 years,90
17,2021,E01009272,2021 super output areas - lower layer,151,Aged 50 to 54 years,86
18,2021,E01009272,2021 super output areas - lower layer,151,Aged 55 to 59 years,108
19,2021,E01009272,2021 super output areas - lower layer,151,Aged 60 to 64 years,76
20,2021,E01009272,2021 super output areas - lower layer,151,Aged 65 to 69 years,54
21,2021,E01009272,2021 super output areas - lower layer,151,Aged 70 to 74 years,29
22,2021,E01009272,2021 super output areas - lower layer,151,Aged 75 to 79 years,18
23,2021,E01009272,2021 super output areas - lower layer,151,Aged 80 to 84 years,21
24,2021,E01009272,2021 super output areas - lower layer,151,Aged 85 years and over,16
25,2021,E01009274,2021 super output areas - lower layer,151,Total,2065
26,2021,E01009274,2021 super output areas - lower layer,151,Aged 4 years and under,119
27,2021,E01009274,2021 super output areas - lower layer,151,Aged 5 to 9 years,136
28,2021,E01009274,2021 super output areas - lower layer,151,Aged 10 to 14 years,138
29,2021,E01009274,2021 super output areas - lower layer,151,Aged 15 to 19 years,158
30,2021,E01009274,2021 super output areas - lower layer,151,Aged 20 to 24 years,158
31,2021,E01009274,2021 super output areas - lower layer,151,Aged 25 to 29 years,153
32,2021,E01009274,2021 super output areas - lower layer,151,Aged 30 to 34 years,159
33,2021,E01009274,2021 super output areas - lower layer,151,Aged 35 to 39 years,130
34,2021,E01009274,2021 super output areas - lower layer,151,Aged 40 to 44 years,142
35,2021,E01009274,2021 super output areas - lower layer,151,Aged 45 to 49 years,172
36,2021,E01009274,2021 super output areas - lower layer,151,Aged 50 to 54 years,136
37,2021,E01009274,2021 super output areas - lower layer,151,Aged 55 to 59 years,138
38,2021,E01009274,2021 super output areas - lower layer,151,Aged 60 to 64 years,101
39,2021,E01009274,2021 super output areas - lower layer,151,Aged 65 to 69 years,71
40,2021,E01009274,2021 super output areas - lower layer,151,Aged 70 to 74 years,39
41,2021,E01009274,2021 super output areas - lower layer,151,Aged 75 to 79 years,32
42,2021,E01009274,2021 super output areas - lower layer,151,Aged 80 to 84 years,37
43,2021,E01009274,2021 super output areas - lower layer,151,Aged 85 years and over,46
44,2021,E01009349,2021 super output areas - lower layer,151,Total,1666
45,2021,E01009349,2021 super output areas - lower layer,151,Aged 4 years and under,145
46,2021,E01009349,2021 super output areas - lower layer,151,Aged 5 to 9 years,173
47,2021,E01009349,2021 super output areas - lower layer,151,Aged 10 to 14 years,142
48,2021,E01009349,2021 super output areas - lower layer,151,Aged 15 to 19 years,131
49,2021,E01009349,2021 super output areas - lower layer,151,Aged 20 to 24 years,116
50,2021,E01009349,2021 super output areas - lower layer,151,Aged 25 to 29 years,98
51,2021,E01009349,2021 super output areas - lower layer,151,Aged 30 to 34 years,127
52,2021,E01009349,2021 super output areas - lower layer,151,Aged 35 to 39 years,135
53,2021,E01009349,2021 super output areas - lower layer,151,Aged 40 to 44 years,120
54,2021,E01009349,2021 super output areas - lower layer,151,Aged 45 to 49 years,115
55,2021,E01009349,2021 super output areas - lower layer,151,Aged 50 to 54 years,103
56,2021,E01009349,2021 super output areas - lower layer,151,Aged 55 to 59 years,82
57,2021,E01009349,2021 super output areas - lower layer,151,Aged 60 to 64 years,63
58,2021,E01009349,2021 super output areas - lower layer,151,Aged 65 to 69 years,37
59,2021,E01009349,2021 super output areas - lower layer,151,Aged 70 to 74 years,23
60,2021,E01009349,2021 super output areas - lower layer,151,Aged 75 to 79 years,16
61,2021,E01009349,2021 super output areas - lower layer,151,Aged 80 to 84 years,21
62,2021,E01009349,2021 super output areas - lower layer,151,Aged 85 years and over,19
63,2021,E01009351,2021 super output areas - lower layer,151,Total,1722
64,2021,E01009351,2021 super output areas - lower layer,151,Aged 4 years and under,140
65,2021,E01009351,2021 super output areas - lower layer,151,Aged 5 to 9 years,144
66,2021,E01009351,2021 super output areas - lower layer,151,Aged 10 to 14 years,160
67,2021,E01009351,2021 super output areas - lower layer,151,Aged 15 to 19 years,158
68,2021,E01009351,2021 super output areas - lower layer,151,Aged 20 to 24 years,143
69,2021,E01009351,2021 super output areas - lower layer,151,Aged 25 to 29 years,112
70,2021,E01009351,2021 super output areas - lower layer,151,Aged 30 to 34 years,122
71,2021,E01009351,2021 super output areas - lower layer,151,Aged 35 to 39 years,126
72,2021,E01009351,2021 super output areas - lower layer,151,Aged 40 to 44 years,129
73,2021,E01009351,2021 super output areas - lower layer,151,Aged 45 to 49 years,112
74,2021,E01009351,2021 super output areas - lower layer,151,Aged 50 to 54 years,108
75,2021,E01009351,2021 super output areas - lower layer,151,Aged 55 to 59 years,77
76,2021,E01009351,2021 super output areas - lower layer,151,Aged 60 to 64 years,62
77,2021,E01009351,2021 super output areas - lower layer,151,Aged 65 to 69 years,43
78,2021,E01009351,2021 super output areas - lower layer,151,Aged 70 to 74 years,24
79,2021,E01009351,2021 super output areas - lower layer,151,Aged 75 to 79 years,24
80,2021,E01009351,2021 super output areas - lower layer,151,Aged 80 to 84 years,13
81,2021,E01009351,2021 super output areas - lower layer,151,Aged 85 years and over,25
82,2021,E01009354,2021 super output areas - lower layer,151,Total,1555
83,2021,E01009354,2021 super output areas - lower layer,151,Aged 4 years and under,109
84,2021,E01009354,2021 super output areas - lower layer,151,Aged 5 to 9 years,117
85,2021,E01009354,2021 super output areas - lower layer,151,Aged 10 to 14 years,105
86,2021,E01009354,2021 super output areas - lower layer,151,Aged 15 to 19 years,94
87,2021,E01009354,2021 super output areas - lower layer,151,Aged 20 to 24 years,108
88,2021,E01009354,2021 super output areas - lower layer,151,Aged 25 to 29 years,117
89,2021,E01009354,2021 super output areas - lower layer,151,Aged 30 to 34 years,103
90,2021,E01009354,2021 super output areas - lower layer,151,Aged 35 to 39 years,112
91,2021,E01009354,2021 super output areas - lower layer,151,Aged 40 to 44 years,87
92,2021,E01009354,2021 super output areas - lower layer,151,Aged 45 to 49 years,104
93,2021,E01009354,2021 super output areas - lower layer,151,Aged 50 to 54 years,99
94,2021,E01009354,2021 super output areas - lower layer,151,Aged 55 to 59 years,94
95,2021,E01009354,2021 super output areas - lower layer,151,Aged 60 to 64 years,72
96,2021,E01009354,2021 super output areas - lower layer,151,Aged 65 to 69 years,89
97,2021,E01009354,2021 super output areas - lower layer,151,Aged 70 to 74 years,28
98,2021,E01009354,2021 super output areas - lower layer,151,Aged 75 to 79 years,25
99,2021,E01009354,2021 super output areas - lower layer,151,Aged 80 to 84 years,32
100,2021,E01009354,2021 super output areas - lower layer,151,Aged 85 years and over,60
101,2021,E01008899,2021 super output areas - lower layer,151,Total,1297
102,2021,E01008899,2021 super output areas - lower layer,151,Aged 4 years and under,92
103,2021,E01008899,2021 super output areas - lower layer,151,Aged 5 to 9 years,105
104,2021,E01008899,2021 super output areas - lower layer,151,Aged 10 to 14 years,111
105,2021,E01008899,2021 super output areas - lower layer,151,Aged 15 to 19 years,146
106,2021,E01008899,2021 super output areas - lower layer,151,Aged 20 to 24 years,106
107,2021,E01008899,2021 super output areas - lower layer,151,Aged 25 to 29 years,118
108,2021,E01008899,2021 super output areas - lower layer,151,Aged 30 to 34 years,98
109,2021,E01008899,2021 super output areas - lower layer,151,Aged 35 to 39 years,88
110,2021,E01008899,2021 super output areas - lower layer,151,Aged 40 to 44 years,77
111,2021,E01008899,2021 super output areas - lower layer,151,Aged 45 to 49 years,72
112,2021,E01008899,2021 super output areas - lower layer,151,Aged 50 to 54 years,66
113,2021,E01008899,2021 super output areas - lower layer,151,Aged 55 to 59 years,46
114,2021,E01008899,2021 super output areas - lower layer,151,Aged 60 to 64 years,40
115,2021,E01008899,2021 super output areas - lower layer,151,Aged 65 to 69 years,47
116,2021,E01008899,2021 super output areas - lower layer,151,Aged 70 to 74 years,28
117,2021,E01008899,2021 super output areas - lower layer,151,Aged 75 to 79 years,19
118,2021,E01008899,2021 super output areas - lower layer,151,Aged 80 to 84 years,22
119,2021,E01008899,2021 super output areas - lower layer,151,Aged 85 years and over,16
120,2021,E01008901,2021 super output areas - lower layer,151,Total,1811
121,2021,E01008901,2021 super output areas - lower layer,151,Aged 4 years and under,106
