,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_DEP_6_NAME,OBS_VALUE
0,2021,E01001175,2021 super output areas - lower layer,151,Household is deprived in one dimension,197
1,2021,E01001175,2021 super output areas - lower layer,151,Household is deprived in two dimensions,88
2,2021,E01001175,2021 super output areas - lower layer,151,Household is deprived in three dimensions,31
3,2021,E01001175,2021 super output areas - lower layer,151,Household is deprived in four dimensions,4
4,2021,E01001176,2021 super output areas - lower layer,151,Total: All households,622
5,2021,E01001176,2021 super output areas - lower layer,151,Household is not deprived in any dimension,236
6,2021,E01001176,2021 super output areas - lower layer,151,Household is deprived in one dimension,245
7,2021,E01001176,2021 super output areas - lower layer,151,Household is deprived in two dimensions,108
8,2021,E01001176,2021 super output areas - lower layer,151,Household is deprived in three dimensions,31
9,2021,E01001176,2021 super output areas - lower layer,151,Household is deprived in four dimensions,2
10,2021,E01001182,2021 super output areas - lower layer,151,Total: All households,462
11,2021,E01001182,2021 super output areas - lower layer,151,Household is not deprived in any dimension,208
12,2021,E01001182,2021 super output areas - lower layer,151,Household is deprived in one dimension,179
13,2021,E01001182,2021 super output areas - lower layer,151,Household is deprived in two dimensions,59
14,2021,E01001182,2021 super output areas - lower layer,151,Household is deprived in three dimensions,16
15,2021,E01001182,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
16,2021,E01001183,2021 super output areas - lower layer,151,Total: All households,636
17,2021,E01001183,2021 super output areas - lower layer,151,Household is not deprived in any dimension,228
18,2021,E01001183,2021 super output areas - lower layer,151,Household is deprived in one dimension,260
19,2021,E01001183,2021 super output areas - lower layer,151,Household is deprived in two dimensions,114
20,2021,E01001183,2021 super output areas - lower layer,151,Household is deprived in three dimensions,27
21,2021,E01001183,2021 super output areas - lower layer,151,Household is deprived in four dimensions,7
22,2021,E01001184,2021 super output areas - lower layer,151,Total: All households,445
23,2021,E01001184,2021 super output areas - lower layer,151,Household is not deprived in any dimension,202
24,2021,E01001184,2021 super output areas - lower layer,151,Household is deprived in one dimension,171
25,2021,E01001184,2021 super output areas - lower layer,151,Household is deprived in two dimensions,59
26,2021,E01001184,2021 super output areas - lower layer,151,Household is deprived in three dimensions,12
27,2021,E01001184,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
28,2021,E01001001,2021 super output areas - lower layer,151,Total: All households,581
29,2021,E01001001,2021 super output areas - lower layer,151,Household is not deprived in any dimension,199
30,2021,E01001001,2021 super output areas - lower layer,151,Household is deprived in one dimension,223
31,2021,E01001001,2021 super output areas - lower layer,151,Household is deprived in two dimensions,119
32,2021,E01001001,2021 super output areas - lower layer,151,Household is deprived in three dimensions,33
33,2021,E01001001,2021 super output areas - lower layer,151,Household is deprived in four dimensions,7
34,2021,E01001109,2021 super output areas - lower layer,151,Total: All households,963
35,2021,E01001109,2021 super output areas - lower layer,151,Household is not deprived in any dimension,398
36,2021,E01001109,2021 super output areas - lower layer,151,Household is deprived in one dimension,343
37,2021,E01001109,2021 super output areas - lower layer,151,Household is deprived in two dimensions,171
38,2021,E01001109,2021 super output areas - lower layer,151,Household is deprived in three dimensions,48
39,2021,E01001109,2021 super output areas - lower layer,151,Household is deprived in four dimensions,3
40,2021,E01001112,2021 super output areas - lower layer,151,Total: All households,854
41,2021,E01001112,2021 super output areas - lower layer,151,Household is not deprived in any dimension,371
42,2021,E01001112,2021 super output areas - lower layer,151,Household is deprived in one dimension,321
43,2021,E01001112,2021 super output areas - lower layer,151,Household is deprived in two dimensions,122
44,2021,E01001112,2021 super output areas - lower layer,151,Household is deprived in three dimensions,37
45,2021,E01001112,2021 super output areas - lower layer,151,Household is deprived in four dimensions,3
46,2021,E01001113,2021 super output areas - lower layer,151,Total: All households,858
47,2021,E01001113,2021 super output areas - lower layer,151,Household is not deprived in any dimension,373
48,2021,E01001113,2021 super output areas - lower layer,151,Household is deprived in one dimension,323
49,2021,E01001113,2021 super output areas - lower layer,151,Household is deprived in two dimensions,125
50,2021,E01001113,2021 super output areas - lower layer,151,Household is deprived in three dimensions,33
51,2021,E01001113,2021 super output areas - lower layer,151,Household is deprived in four dimensions,4
52,2021,E01001114,2021 super output areas - lower layer,151,Total: All households,603
53,2021,E01001114,2021 super output areas - lower layer,151,Household is not deprived in any dimension,229
54,2021,E01001114,2021 super output areas - lower layer,151,Household is deprived in one dimension,225
