,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
0,2021,E01021356,2021 super output areas - lower layer,151,Arrived 2011 to 2013,4
1,2021,E01021356,2021 super output areas - lower layer,151,Arrived 2014 to 2016,1
2,2021,E01021356,2021 super output areas - lower layer,151,Arrived 2017 to 2019,2
3,2021,E01021356,2021 super output areas - lower layer,151,Arrived 2020 to 2021,0
4,2021,E01021381,2021 super output areas - lower layer,151,Total: All usual residents,1224
5,2021,E01021381,2021 super output areas - lower layer,151,Born in the UK,1176
6,2021,E01021381,2021 super output areas - lower layer,151,Arrived before 1951,4
7,2021,E01021381,2021 super output areas - lower layer,151,Arrived 1951 to 1960,2
8,2021,E01021381,2021 super output areas - lower layer,151,Arrived 1961 to 1970,5
9,2021,E01021381,2021 super output areas - lower layer,151,Arrived 1971 to 1980,3
10,2021,E01021381,2021 super output areas - lower layer,151,Arrived 1981 to 1990,10
11,2021,E01021381,2021 super output areas - lower layer,151,Arrived 1991 to 2000,3
12,2021,E01021381,2021 super output areas - lower layer,151,Arrived 2001 to 2010,8
13,2021,E01021381,2021 super output areas - lower layer,151,Arrived 2011 to 2013,2
14,2021,E01021381,2021 super output areas - lower layer,151,Arrived 2014 to 2016,2
15,2021,E01021381,2021 super output areas - lower layer,151,Arrived 2017 to 2019,7
16,2021,E01021381,2021 super output areas - lower layer,151,Arrived 2020 to 2021,2
17,2021,E01021354,2021 super output areas - lower layer,151,Total: All usual residents,1264
18,2021,E01021354,2021 super output areas - lower layer,151,Born in the UK,1170
19,2021,E01021354,2021 super output areas - lower layer,151,Arrived before 1951,1
20,2021,E01021354,2021 super output areas - lower layer,151,Arrived 1951 to 1960,1
21,2021,E01021354,2021 super output areas - lower layer,151,Arrived 1961 to 1970,2
22,2021,E01021354,2021 super output areas - lower layer,151,Arrived 1971 to 1980,2
23,2021,E01021354,2021 super output areas - lower layer,151,Arrived 1981 to 1990,7
24,2021,E01021354,2021 super output areas - lower layer,151,Arrived 1991 to 2000,14
25,2021,E01021354,2021 super output areas - lower layer,151,Arrived 2001 to 2010,41
26,2021,E01021354,2021 super output areas - lower layer,151,Arrived 2011 to 2013,5
27,2021,E01021354,2021 super output areas - lower layer,151,Arrived 2014 to 2016,12
28,2021,E01021354,2021 super output areas - lower layer,151,Arrived 2017 to 2019,9
29,2021,E01021354,2021 super output areas - lower layer,151,Arrived 2020 to 2021,0
30,2021,E01021357,2021 super output areas - lower layer,151,Total: All usual residents,1535
31,2021,E01021357,2021 super output areas - lower layer,151,Born in the UK,1400
32,2021,E01021357,2021 super output areas - lower layer,151,Arrived before 1951,4
33,2021,E01021357,2021 super output areas - lower layer,151,Arrived 1951 to 1960,12
34,2021,E01021357,2021 super output areas - lower layer,151,Arrived 1961 to 1970,13
35,2021,E01021357,2021 super output areas - lower layer,151,Arrived 1971 to 1980,11
36,2021,E01021357,2021 super output areas - lower layer,151,Arrived 1981 to 1990,15
37,2021,E01021357,2021 super output areas - lower layer,151,Arrived 1991 to 2000,19
38,2021,E01021357,2021 super output areas - lower layer,151,Arrived 2001 to 2010,38
39,2021,E01021357,2021 super output areas - lower layer,151,Arrived 2011 to 2013,4
40,2021,E01021357,2021 super output areas - lower layer,151,Arrived 2014 to 2016,14
41,2021,E01021357,2021 super output areas - lower layer,151,Arrived 2017 to 2019,2
42,2021,E01021357,2021 super output areas - lower layer,151,Arrived 2020 to 2021,3
43,2021,E01021358,2021 super output areas - lower layer,151,Total: All usual residents,2544
44,2021,E01021358,2021 super output areas - lower layer,151,Born in the UK,2279
45,2021,E01021358,2021 super output areas - lower layer,151,Arrived before 1951,3
46,2021,E01021358,2021 super output areas - lower layer,151,Arrived 1951 to 1960,7
47,2021,E01021358,2021 super output areas - lower layer,151,Arrived 1961 to 1970,10
48,2021,E01021358,2021 super output areas - lower layer,151,Arrived 1971 to 1980,13
49,2021,E01021358,2021 super output areas - lower layer,151,Arrived 1981 to 1990,12
50,2021,E01021358,2021 super output areas - lower layer,151,Arrived 1991 to 2000,32
51,2021,E01021358,2021 super output areas - lower layer,151,Arrived 2001 to 2010,94
52,2021,E01021358,2021 super output areas - lower layer,151,Arrived 2011 to 2013,29
53,2021,E01021358,2021 super output areas - lower layer,151,Arrived 2014 to 2016,37
54,2021,E01021358,2021 super output areas - lower layer,151,Arrived 2017 to 2019,20
55,2021,E01021358,2021 super output areas - lower layer,151,Arrived 2020 to 2021,8
56,2021,E01021359,2021 super output areas - lower layer,151,Total: All usual residents,2104
57,2021,E01021359,2021 super output areas - lower layer,151,Born in the UK,1894
58,2021,E01021359,2021 super output areas - lower layer,151,Arrived before 1951,2
59,2021,E01021359,2021 super output areas - lower layer,151,Arrived 1951 to 1960,7
60,2021,E01021359,2021 super output areas - lower layer,151,Arrived 1961 to 1970,6
61,2021,E01021359,2021 super output areas - lower layer,151,Arrived 1971 to 1980,7
62,2021,E01021359,2021 super output areas - lower layer,151,Arrived 1981 to 1990,5
63,2021,E01021359,2021 super output areas - lower layer,151,Arrived 1991 to 2000,12
64,2021,E01021359,2021 super output areas - lower layer,151,Arrived 2001 to 2010,93
65,2021,E01021359,2021 super output areas - lower layer,151,Arrived 2011 to 2013,25
66,2021,E01021359,2021 super output areas - lower layer,151,Arrived 2014 to 2016,31
67,2021,E01021359,2021 super output areas - lower layer,151,Arrived 2017 to 2019,14
68,2021,E01021359,2021 super output areas - lower layer,151,Arrived 2020 to 2021,8
69,2021,E01021350,2021 super output areas - lower layer,151,Total: All usual residents,1819
70,2021,E01021350,2021 super output areas - lower layer,151,Born in the UK,1658
71,2021,E01021350,2021 super output areas - lower layer,151,Arrived before 1951,3
72,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1951 to 1960,6
73,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1961 to 1970,12
74,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1971 to 1980,12
75,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1981 to 1990,11
76,2021,E01021350,2021 super output areas - lower layer,151,Arrived 1991 to 2000,20
77,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2001 to 2010,45
78,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2011 to 2013,15
79,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2014 to 2016,15
80,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2017 to 2019,18
81,2021,E01021350,2021 super output areas - lower layer,151,Arrived 2020 to 2021,4
82,2021,E01021353,2021 super output areas - lower layer,151,Total: All usual residents,1760
