,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
0,2021,E01030348,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",70
1,2021,E01030348,2021 super output areas - lower layer,151,Less than 2 years,60
2,2021,E01030349,2021 super output areas - lower layer,151,Total: All usual residents,1720
3,2021,E01030349,2021 super output areas - lower layer,151,Born in the UK,1224
4,2021,E01030349,2021 super output areas - lower layer,151,10 years or more,272
5,2021,E01030349,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",60
6,2021,E01030349,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",78
7,2021,E01030349,2021 super output areas - lower layer,151,Less than 2 years,86
8,2021,E01030300,2021 super output areas - lower layer,151,Total: All usual residents,1639
9,2021,E01030300,2021 super output areas - lower layer,151,Born in the UK,1276
10,2021,E01030300,2021 super output areas - lower layer,151,10 years or more,206
11,2021,E01030300,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",73
12,2021,E01030300,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",46
13,2021,E01030300,2021 super output areas - lower layer,151,Less than 2 years,38
14,2021,E01030301,2021 super output areas - lower layer,151,Total: All usual residents,1588
15,2021,E01030301,2021 super output areas - lower layer,151,Born in the UK,1178
16,2021,E01030301,2021 super output areas - lower layer,151,10 years or more,205
17,2021,E01030301,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",79
18,2021,E01030301,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",56
19,2021,E01030301,2021 super output areas - lower layer,151,Less than 2 years,70
20,2021,E01030302,2021 super output areas - lower layer,151,Total: All usual residents,1787
21,2021,E01030302,2021 super output areas - lower layer,151,Born in the UK,1395
22,2021,E01030302,2021 super output areas - lower layer,151,10 years or more,206
23,2021,E01030302,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",67
24,2021,E01030302,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",63
25,2021,E01030302,2021 super output areas - lower layer,151,Less than 2 years,56
26,2021,E01030304,2021 super output areas - lower layer,151,Total: All usual residents,1690
27,2021,E01030304,2021 super output areas - lower layer,151,Born in the UK,1396
28,2021,E01030304,2021 super output areas - lower layer,151,10 years or more,182
29,2021,E01030304,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",59
30,2021,E01030304,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",31
31,2021,E01030304,2021 super output areas - lower layer,151,Less than 2 years,22
32,2021,E01030305,2021 super output areas - lower layer,151,Total: All usual residents,1654
33,2021,E01030305,2021 super output areas - lower layer,151,Born in the UK,1088
34,2021,E01030305,2021 super output areas - lower layer,151,10 years or more,269
35,2021,E01030305,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",105
36,2021,E01030305,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",115
37,2021,E01030305,2021 super output areas - lower layer,151,Less than 2 years,77
38,2021,E01030306,2021 super output areas - lower layer,151,Total: All usual residents,1581
39,2021,E01030306,2021 super output areas - lower layer,151,Born in the UK,982
40,2021,E01030306,2021 super output areas - lower layer,151,10 years or more,244
41,2021,E01030306,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",96
42,2021,E01030306,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",130
43,2021,E01030306,2021 super output areas - lower layer,151,Less than 2 years,129
44,2021,E01030303,2021 super output areas - lower layer,151,Total: All usual residents,1726
45,2021,E01030303,2021 super output areas - lower layer,151,Born in the UK,1373
46,2021,E01030303,2021 super output areas - lower layer,151,10 years or more,220
47,2021,E01030303,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",53
48,2021,E01030303,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",47
49,2021,E01030303,2021 super output areas - lower layer,151,Less than 2 years,33
50,2021,E01030342,2021 super output areas - lower layer,151,Total: All usual residents,1805
51,2021,E01030342,2021 super output areas - lower layer,151,Born in the UK,1263
52,2021,E01030342,2021 super output areas - lower layer,151,10 years or more,314
53,2021,E01030342,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",81
54,2021,E01030342,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",73
55,2021,E01030342,2021 super output areas - lower layer,151,Less than 2 years,74
56,2021,E01030343,2021 super output areas - lower layer,151,Total: All usual residents,1821
57,2021,E01030343,2021 super output areas - lower layer,151,Born in the UK,1432
58,2021,E01030343,2021 super output areas - lower layer,151,10 years or more,222
59,2021,E01030343,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",62
60,2021,E01030343,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",42
61,2021,E01030343,2021 super output areas - lower layer,151,Less than 2 years,63
62,2021,E01030344,2021 super output areas - lower layer,151,Total: All usual residents,1517
63,2021,E01030344,2021 super output areas - lower layer,151,Born in the UK,1029
64,2021,E01030344,2021 super output areas - lower layer,151,10 years or more,265
65,2021,E01030344,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",91
66,2021,E01030344,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",66
67,2021,E01030344,2021 super output areas - lower layer,151,Less than 2 years,66
68,2021,E01030345,2021 super output areas - lower layer,151,Total: All usual residents,1681
69,2021,E01030345,2021 super output areas - lower layer,151,Born in the UK,1309
70,2021,E01030345,2021 super output areas - lower layer,151,10 years or more,236
71,2021,E01030345,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",67
72,2021,E01030345,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",45
73,2021,E01030345,2021 super output areas - lower layer,151,Less than 2 years,24
74,2021,E01030386,2021 super output areas - lower layer,151,Total: All usual residents,1478
75,2021,E01030386,2021 super output areas - lower layer,151,Born in the UK,1092
76,2021,E01030386,2021 super output areas - lower layer,151,10 years or more,289
77,2021,E01030386,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",49
78,2021,E01030386,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",27
79,2021,E01030386,2021 super output areas - lower layer,151,Less than 2 years,21
80,2021,E01030387,2021 super output areas - lower layer,151,Total: All usual residents,1559
81,2021,E01030387,2021 super output areas - lower layer,151,Born in the UK,1286
82,2021,E01030387,2021 super output areas - lower layer,151,10 years or more,209
83,2021,E01030387,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",30
84,2021,E01030387,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",19
85,2021,E01030387,2021 super output areas - lower layer,151,Less than 2 years,15
86,2021,E01030388,2021 super output areas - lower layer,151,Total: All usual residents,1342
87,2021,E01030388,2021 super output areas - lower layer,151,Born in the UK,972
88,2021,E01030388,2021 super output areas - lower layer,151,10 years or more,266
89,2021,E01030388,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",67
90,2021,E01030388,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",19
91,2021,E01030388,2021 super output areas - lower layer,151,Less than 2 years,18
92,2021,E01030389,2021 super output areas - lower layer,151,Total: All usual residents,1544
93,2021,E01030389,2021 super output areas - lower layer,151,Born in the UK,1099
94,2021,E01030389,2021 super output areas - lower layer,151,10 years or more,311
95,2021,E01030389,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",75
96,2021,E01030389,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",29
97,2021,E01030389,2021 super output areas - lower layer,151,Less than 2 years,30
98,2021,E01030393,2021 super output areas - lower layer,151,Total: All usual residents,1988
99,2021,E01030393,2021 super output areas - lower layer,151,Born in the UK,1485
100,2021,E01030393,2021 super output areas - lower layer,151,10 years or more,369
101,2021,E01030393,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",52
102,2021,E01030393,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",49
103,2021,E01030393,2021 super output areas - lower layer,151,Less than 2 years,33
104,2021,E01030394,2021 super output areas - lower layer,151,Total: All usual residents,1816
105,2021,E01030394,2021 super output areas - lower layer,151,Born in the UK,1493
106,2021,E01030394,2021 super output areas - lower layer,151,10 years or more,258
107,2021,E01030394,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",38
108,2021,E01030394,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",11
109,2021,E01030394,2021 super output areas - lower layer,151,Less than 2 years,16
110,2021,E01030399,2021 super output areas - lower layer,151,Total: All usual residents,2399
111,2021,E01030399,2021 super output areas - lower layer,151,Born in the UK,1840
112,2021,E01030399,2021 super output areas - lower layer,151,10 years or more,416
113,2021,E01030399,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",82
114,2021,E01030399,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",32
115,2021,E01030399,2021 super output areas - lower layer,151,Less than 2 years,29
116,2021,E01030400,2021 super output areas - lower layer,151,Total: All usual residents,1623
117,2021,E01030400,2021 super output areas - lower layer,151,Born in the UK,1211
118,2021,E01030400,2021 super output areas - lower layer,151,10 years or more,307
119,2021,E01030400,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",55
120,2021,E01030400,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",29
121,2021,E01030400,2021 super output areas - lower layer,151,Less than 2 years,21
122,2021,E01030414,2021 super output areas - lower layer,151,Total: All usual residents,1327
123,2021,E01030414,2021 super output areas - lower layer,151,Born in the UK,1134
124,2021,E01030414,2021 super output areas - lower layer,151,10 years or more,160
125,2021,E01030414,2021 super output areas - lower layer,151,"5 years or more, but less than 10 years",21
126,2021,E01030414,2021 super output areas - lower layer,151,"2 years or more, but less than 5 years",4
127,2021,E01030414,2021 super output areas - lower layer,151,Less than 2 years,8
128,2021,E01030377,2021 super output areas - lower layer,151,Total: All usual residents,2424
129,2021,E01030377,2021 super output areas - lower layer,151,Born in the UK,2009
130,2021,E01030377,2021 super output areas - lower layer,151,10 years or more,322
