,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_MIGIND_4_NAME,OBS_VALUE
0,2021,E01000317,2021 super output areas - lower layer,151,Total: All usual residents,1572
1,2021,E01000317,2021 super output areas - lower layer,151,Address one year ago is the same as the address of enumeration,1421
2,2021,E01000317,2021 super output areas - lower layer,151,Address one year ago is student term-time or boarding school address in the UK,6
3,2021,E01000317,2021 super output areas - lower layer,151,Migrant from within the UK: Address one year ago was in the UK,133
4,2021,E01000317,2021 super output areas - lower layer,151,Migrant from outside the UK: Address one year ago was outside the UK,12
5,2021,E01000318,2021 super output areas - lower layer,151,Total: All usual residents,1918
6,2021,E01000318,2021 super output areas - lower layer,151,Address one year ago is the same as the address of enumeration,1718
7,2021,E01000318,2021 super output areas - lower layer,151,Address one year ago is student term-time or boarding school address in the UK,4
8,2021,E01000318,2021 super output areas - lower layer,151,Migrant from within the UK: Address one year ago was in the UK,172
9,2021,E01000318,2021 super output areas - lower layer,151,Migrant from outside the UK: Address one year ago was outside the UK,24
10,2021,E01000323,2021 super output areas - lower layer,151,Total: All usual residents,2349
11,2021,E01000323,2021 super output areas - lower layer,151,Address one year ago is the same as the address of enumeration,1946
12,2021,E01000323,2021 super output areas - lower layer,151,Address one year ago is student term-time or boarding school address in the UK,8
13,2021,E01000323,2021 super output areas - lower layer,151,Migrant from within the UK: Address one year ago was in the UK,351
14,2021,E01000323,2021 super output areas - lower layer,151,Migrant from outside the UK: Address one year ago was outside the UK,44
15,2021,E01000276,2021 super output areas - lower layer,151,Total: All usual residents,1519
16,2021,E01000276,2021 super output areas - lower layer,151,Address one year ago is the same as the address of enumeration,1362
17,2021,E01000276,2021 super output areas - lower layer,151,Address one year ago is student term-time or boarding school address in the UK,8
18,2021,E01000276,2021 super output areas - lower layer,151,Migrant from within the UK: Address one year ago was in the UK,119
19,2021,E01000276,2021 super output areas - lower layer,151,Migrant from outside the UK: Address one year ago was outside the UK,30
20,2021,E01000278,2021 super output areas - lower layer,151,Total: All usual residents,1470
21,2021,E01000278,2021 super output areas - lower layer,151,Address one year ago is the same as the address of enumeration,1372
22,2021,E01000278,2021 super output areas - lower layer,151,Address one year ago is student term-time or boarding school address in the UK,3
23,2021,E01000278,2021 super output areas - lower layer,151,Migrant from within the UK: Address one year ago was in the UK,64
24,2021,E01000278,2021 super output areas - lower layer,151,Migrant from outside the UK: Address one year ago was outside the UK,31
25,2021,E01000301,2021 super output areas - lower layer,151,Total: All usual residents,1482
