,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETH_20_NAME,OBS_VALUE
0,2021,E01012690,2021 super output areas - lower layer,151,Total: All usual residents,1652
1,2021,E01012690,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",27
2,2021,E01012690,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",0
3,2021,E01012690,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",6
4,2021,E01012690,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",1
5,2021,E01012690,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",4
6,2021,E01012690,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",16
7,2021,E01012690,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",2
8,2021,E01012690,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",0
9,2021,E01012690,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
10,2021,E01012690,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
11,2021,E01012690,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,20
12,2021,E01012690,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,5
13,2021,E01012690,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,4
14,2021,E01012690,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,6
15,2021,E01012690,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5
16,2021,E01012690,2021 super output areas - lower layer,151,White,1597
17,2021,E01012690,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1541
18,2021,E01012690,2021 super output areas - lower layer,151,White: Irish,7
19,2021,E01012690,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,1
20,2021,E01012690,2021 super output areas - lower layer,151,White: Roma,0
21,2021,E01012690,2021 super output areas - lower layer,151,White: Other White,48
22,2021,E01012690,2021 super output areas - lower layer,151,Other ethnic group,6
23,2021,E01012690,2021 super output areas - lower layer,151,Other ethnic group: Arab,0
24,2021,E01012690,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,6
25,2021,E01012691,2021 super output areas - lower layer,151,Total: All usual residents,1844
26,2021,E01012691,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",34
27,2021,E01012691,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",4
28,2021,E01012691,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",4
29,2021,E01012691,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",7
30,2021,E01012691,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",0
31,2021,E01012691,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",19
32,2021,E01012691,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",10
33,2021,E01012691,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",10
34,2021,E01012691,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
35,2021,E01012691,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
36,2021,E01012691,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,37
37,2021,E01012691,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,8
38,2021,E01012691,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,4
39,2021,E01012691,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,14
40,2021,E01012691,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11
41,2021,E01012691,2021 super output areas - lower layer,151,White,1758
42,2021,E01012691,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1662
43,2021,E01012691,2021 super output areas - lower layer,151,White: Irish,8
44,2021,E01012691,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,0
45,2021,E01012691,2021 super output areas - lower layer,151,White: Roma,0
46,2021,E01012691,2021 super output areas - lower layer,151,White: Other White,88
47,2021,E01012691,2021 super output areas - lower layer,151,Other ethnic group,5
48,2021,E01012691,2021 super output areas - lower layer,151,Other ethnic group: Arab,1
49,2021,E01012691,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,4
50,2021,E01012692,2021 super output areas - lower layer,151,Total: All usual residents,1616
51,2021,E01012692,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",16
52,2021,E01012692,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",0
53,2021,E01012692,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",3
54,2021,E01012692,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",6
55,2021,E01012692,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",0
56,2021,E01012692,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",7
57,2021,E01012692,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",7
58,2021,E01012692,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",4
59,2021,E01012692,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3
60,2021,E01012692,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
61,2021,E01012692,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,25
62,2021,E01012692,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,7
63,2021,E01012692,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,2
64,2021,E01012692,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,11
65,2021,E01012692,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5
66,2021,E01012692,2021 super output areas - lower layer,151,White,1564
67,2021,E01012692,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1492
68,2021,E01012692,2021 super output areas - lower layer,151,White: Irish,8
69,2021,E01012692,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,0
70,2021,E01012692,2021 super output areas - lower layer,151,White: Roma,1
71,2021,E01012692,2021 super output areas - lower layer,151,White: Other White,63
72,2021,E01012692,2021 super output areas - lower layer,151,Other ethnic group,4
73,2021,E01012692,2021 super output areas - lower layer,151,Other ethnic group: Arab,0
74,2021,E01012692,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,4
75,2021,E01012705,2021 super output areas - lower layer,151,Total: All usual residents,1519
76,2021,E01012705,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",18
77,2021,E01012705,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",1
78,2021,E01012705,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",0
79,2021,E01012705,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",5
80,2021,E01012705,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",4
81,2021,E01012705,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",8
82,2021,E01012705,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",4
83,2021,E01012705,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",3
84,2021,E01012705,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
85,2021,E01012705,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
86,2021,E01012705,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,14
87,2021,E01012705,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,4
88,2021,E01012705,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,0
89,2021,E01012705,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,9
90,2021,E01012705,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1
91,2021,E01012705,2021 super output areas - lower layer,151,White,1476
92,2021,E01012705,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1433
93,2021,E01012705,2021 super output areas - lower layer,151,White: Irish,9
94,2021,E01012705,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,0
95,2021,E01012705,2021 super output areas - lower layer,151,White: Roma,0
96,2021,E01012705,2021 super output areas - lower layer,151,White: Other White,34
97,2021,E01012705,2021 super output areas - lower layer,151,Other ethnic group,7
98,2021,E01012705,2021 super output areas - lower layer,151,Other ethnic group: Arab,2
99,2021,E01012705,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,5
100,2021,E01012723,2021 super output areas - lower layer,151,Total: All usual residents,1368
101,2021,E01012723,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",31
102,2021,E01012723,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",0
103,2021,E01012723,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",14
104,2021,E01012723,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",10
105,2021,E01012723,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",0
106,2021,E01012723,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",7
107,2021,E01012723,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",1
108,2021,E01012723,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",0
109,2021,E01012723,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
110,2021,E01012723,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
111,2021,E01012723,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,26
112,2021,E01012723,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,8
113,2021,E01012723,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,7
114,2021,E01012723,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,7
115,2021,E01012723,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4
116,2021,E01012723,2021 super output areas - lower layer,151,White,1307
117,2021,E01012723,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1256
118,2021,E01012723,2021 super output areas - lower layer,151,White: Irish,9
119,2021,E01012723,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,0
120,2021,E01012723,2021 super output areas - lower layer,151,White: Roma,5
121,2021,E01012723,2021 super output areas - lower layer,151,White: Other White,37
122,2021,E01012723,2021 super output areas - lower layer,151,Other ethnic group,3
123,2021,E01012723,2021 super output areas - lower layer,151,Other ethnic group: Arab,1
124,2021,E01012723,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,2
125,2021,E01012693,2021 super output areas - lower layer,151,Total: All usual residents,1555
126,2021,E01012693,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",32
127,2021,E01012693,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",0
128,2021,E01012693,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",10
129,2021,E01012693,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",0
130,2021,E01012693,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",8
131,2021,E01012693,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",14
132,2021,E01012693,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",3
133,2021,E01012693,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",1
134,2021,E01012693,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
135,2021,E01012693,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
136,2021,E01012693,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,24
137,2021,E01012693,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,9
138,2021,E01012693,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,4
139,2021,E01012693,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,4
140,2021,E01012693,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7
141,2021,E01012693,2021 super output areas - lower layer,151,White,1489
142,2021,E01012693,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1410
143,2021,E01012693,2021 super output areas - lower layer,151,White: Irish,10
144,2021,E01012693,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,2
145,2021,E01012693,2021 super output areas - lower layer,151,White: Roma,0
146,2021,E01012693,2021 super output areas - lower layer,151,White: Other White,67
147,2021,E01012693,2021 super output areas - lower layer,151,Other ethnic group,7
148,2021,E01012693,2021 super output areas - lower layer,151,Other ethnic group: Arab,4
149,2021,E01012693,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,3
150,2021,E01012711,2021 super output areas - lower layer,151,Total: All usual residents,1418
151,2021,E01012711,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",31
152,2021,E01012711,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",0
153,2021,E01012711,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",3
154,2021,E01012711,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",3
155,2021,E01012711,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",1
156,2021,E01012711,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",24
157,2021,E01012711,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",3
158,2021,E01012711,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",1
159,2021,E01012711,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
160,2021,E01012711,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
161,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,21
162,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,8
163,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,5
164,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,5
165,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3
166,2021,E01012711,2021 super output areas - lower layer,151,White,1356
167,2021,E01012711,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1303
168,2021,E01012711,2021 super output areas - lower layer,151,White: Irish,9
169,2021,E01012711,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,1
170,2021,E01012711,2021 super output areas - lower layer,151,White: Roma,0
171,2021,E01012711,2021 super output areas - lower layer,151,White: Other White,43
172,2021,E01012711,2021 super output areas - lower layer,151,Other ethnic group,7
173,2021,E01012711,2021 super output areas - lower layer,151,Other ethnic group: Arab,3
174,2021,E01012711,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,4
175,2021,E01012747,2021 super output areas - lower layer,151,Total: All usual residents,1532
176,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",40
177,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",6
178,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",8
179,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",3
180,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",7
181,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",16
182,2021,E01012747,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",0
183,2021,E01012747,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",0
184,2021,E01012747,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
185,2021,E01012747,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
186,2021,E01012747,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,9
