,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_METH_6_NAME,OBS_VALUE
0,2021,E01030348,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,116
1,2021,E01030348,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,18
2,2021,E01030349,2021 super output areas - lower layer,151,Total: All households,713
3,2021,E01030349,2021 super output areas - lower layer,151,One-person household,215
4,2021,E01030349,2021 super output areas - lower layer,151,All household members have the same ethnic group,359
5,2021,E01030349,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,6
6,2021,E01030349,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,117
7,2021,E01030349,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,16
8,2021,E01030300,2021 super output areas - lower layer,151,Total: All households,770
9,2021,E01030300,2021 super output areas - lower layer,151,One-person household,326
10,2021,E01030300,2021 super output areas - lower layer,151,All household members have the same ethnic group,351
11,2021,E01030300,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,17
12,2021,E01030300,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,62
13,2021,E01030300,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,14
14,2021,E01030301,2021 super output areas - lower layer,151,Total: All households,621
15,2021,E01030301,2021 super output areas - lower layer,151,One-person household,151
16,2021,E01030301,2021 super output areas - lower layer,151,All household members have the same ethnic group,361
17,2021,E01030301,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,14
18,2021,E01030301,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,78
19,2021,E01030301,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,17
20,2021,E01030302,2021 super output areas - lower layer,151,Total: All households,822
21,2021,E01030302,2021 super output areas - lower layer,151,One-person household,321
22,2021,E01030302,2021 super output areas - lower layer,151,All household members have the same ethnic group,383
23,2021,E01030302,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,11
24,2021,E01030302,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,85
25,2021,E01030302,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,22
26,2021,E01030304,2021 super output areas - lower layer,151,Total: All households,689
27,2021,E01030304,2021 super output areas - lower layer,151,One-person household,202
28,2021,E01030304,2021 super output areas - lower layer,151,All household members have the same ethnic group,394
29,2021,E01030304,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,24
30,2021,E01030304,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,44
31,2021,E01030304,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,25
32,2021,E01030305,2021 super output areas - lower layer,151,Total: All households,496
33,2021,E01030305,2021 super output areas - lower layer,151,One-person household,52
34,2021,E01030305,2021 super output areas - lower layer,151,All household members have the same ethnic group,313
35,2021,E01030305,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,15
36,2021,E01030305,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,101
37,2021,E01030305,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,15
38,2021,E01030306,2021 super output areas - lower layer,151,Total: All households,494
39,2021,E01030306,2021 super output areas - lower layer,151,One-person household,82
40,2021,E01030306,2021 super output areas - lower layer,151,All household members have the same ethnic group,301
41,2021,E01030306,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,10
42,2021,E01030306,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,83
43,2021,E01030306,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,18
44,2021,E01030303,2021 super output areas - lower layer,151,Total: All households,692
45,2021,E01030303,2021 super output areas - lower layer,151,One-person household,162
46,2021,E01030303,2021 super output areas - lower layer,151,All household members have the same ethnic group,421
47,2021,E01030303,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,10
48,2021,E01030303,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,85
49,2021,E01030303,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,14
50,2021,E01030342,2021 super output areas - lower layer,151,Total: All households,679
51,2021,E01030342,2021 super output areas - lower layer,151,One-person household,156
52,2021,E01030342,2021 super output areas - lower layer,151,All household members have the same ethnic group,371
53,2021,E01030342,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,18
54,2021,E01030342,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,106
55,2021,E01030342,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,28
56,2021,E01030343,2021 super output areas - lower layer,151,Total: All households,687
57,2021,E01030343,2021 super output areas - lower layer,151,One-person household,129
58,2021,E01030343,2021 super output areas - lower layer,151,All household members have the same ethnic group,436
59,2021,E01030343,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,14
60,2021,E01030343,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,83
61,2021,E01030343,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,25
62,2021,E01030344,2021 super output areas - lower layer,151,Total: All households,533
63,2021,E01030344,2021 super output areas - lower layer,151,One-person household,78
64,2021,E01030344,2021 super output areas - lower layer,151,All household members have the same ethnic group,322
65,2021,E01030344,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,12
66,2021,E01030344,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,108
