,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHLANG_5_NAME,OBS_VALUE
0,2021,E01013883,2021 super output areas - lower layer,151,Total: All households,665
1,2021,E01013883,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",622
2,2021,E01013883,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",10
3,2021,E01013883,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",8
4,2021,E01013883,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",25
5,2021,E01013884,2021 super output areas - lower layer,151,Total: All households,629
6,2021,E01013884,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",567
7,2021,E01013884,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",26
8,2021,E01013884,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",9
9,2021,E01013884,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",27
10,2021,E01013853,2021 super output areas - lower layer,151,Total: All households,650
11,2021,E01013853,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",586
12,2021,E01013853,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",15
13,2021,E01013853,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",13
14,2021,E01013853,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",36
15,2021,E01013854,2021 super output areas - lower layer,151,Total: All households,605
16,2021,E01013854,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",557
17,2021,E01013854,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",10
18,2021,E01013854,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",17
19,2021,E01013854,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",21
20,2021,E01013855,2021 super output areas - lower layer,151,Total: All households,608
21,2021,E01013855,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",503
22,2021,E01013855,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",31
23,2021,E01013855,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",28
24,2021,E01013855,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",46
25,2021,E01013856,2021 super output areas - lower layer,151,Total: All households,621
26,2021,E01013856,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",545
27,2021,E01013856,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",19
28,2021,E01013856,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",10
29,2021,E01013856,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",47
30,2021,E01033397,2021 super output areas - lower layer,151,Total: All households,739
31,2021,E01033397,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",613
32,2021,E01033397,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",46
33,2021,E01033397,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",28
34,2021,E01033397,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",52
35,2021,E01033398,2021 super output areas - lower layer,151,Total: All households,624
36,2021,E01033398,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",490
37,2021,E01033398,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",29
38,2021,E01033398,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",12
39,2021,E01033398,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",93
40,2021,E01013963,2021 super output areas - lower layer,151,Total: All households,676
41,2021,E01013963,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",600
42,2021,E01013963,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",16
43,2021,E01013963,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",13
44,2021,E01013963,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",47
45,2021,E01013964,2021 super output areas - lower layer,151,Total: All households,702
46,2021,E01013964,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",600
47,2021,E01013964,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",44
48,2021,E01013964,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",14
49,2021,E01013964,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",44
50,2021,E01013965,2021 super output areas - lower layer,151,Total: All households,611
51,2021,E01013965,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",541
52,2021,E01013965,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",28
53,2021,E01013965,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",10
54,2021,E01013965,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",32
55,2021,E01013966,2021 super output areas - lower layer,151,Total: All households,545
56,2021,E01013966,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",482
57,2021,E01013966,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",27
58,2021,E01013966,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",18
59,2021,E01013966,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",18
60,2021,E01013967,2021 super output areas - lower layer,151,Total: All households,536
61,2021,E01013967,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",442
62,2021,E01013967,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",32
63,2021,E01013967,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5
64,2021,E01013967,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",57
65,2021,E01013827,2021 super output areas - lower layer,151,Total: All households,589
66,2021,E01013827,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",505
67,2021,E01013827,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",32
68,2021,E01013827,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",13
69,2021,E01013827,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",39
70,2021,E01013828,2021 super output areas - lower layer,151,Total: All households,818
71,2021,E01013828,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",710
72,2021,E01013828,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",33
73,2021,E01013828,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",18
74,2021,E01013828,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",57
75,2021,E01013834,2021 super output areas - lower layer,151,Total: All households,634
76,2021,E01013834,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",575
77,2021,E01013834,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",19
