,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_MHHLANG_5_NAME,OBS_VALUE
0,2021,E01014089,2021 super output areas - lower layer,151,Total: All households,575
1,2021,E01014089,2021 super output areas - lower layer,151,One-person household,132
2,2021,E01014089,2021 super output areas - lower layer,151,All household members have the same main language,425
3,2021,E01014089,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",6
4,2021,E01014089,2021 super output areas - lower layer,151,Main language differs within partnerships,7
5,2021,E01014089,2021 super output areas - lower layer,151,Any other combination of multiple main languages,5
6,2021,E01013987,2021 super output areas - lower layer,151,Total: All households,683
7,2021,E01013987,2021 super output areas - lower layer,151,One-person household,201
8,2021,E01013987,2021 super output areas - lower layer,151,All household members have the same main language,466
9,2021,E01013987,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",4
10,2021,E01013987,2021 super output areas - lower layer,151,Main language differs within partnerships,9
11,2021,E01013987,2021 super output areas - lower layer,151,Any other combination of multiple main languages,3
12,2021,E01013988,2021 super output areas - lower layer,151,Total: All households,935
13,2021,E01013988,2021 super output areas - lower layer,151,One-person household,429
14,2021,E01013988,2021 super output areas - lower layer,151,All household members have the same main language,484
15,2021,E01013988,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",3
16,2021,E01013988,2021 super output areas - lower layer,151,Main language differs within partnerships,13
17,2021,E01013988,2021 super output areas - lower layer,151,Any other combination of multiple main languages,6
18,2021,E01014095,2021 super output areas - lower layer,151,Total: All households,573
19,2021,E01014095,2021 super output areas - lower layer,151,One-person household,136
20,2021,E01014095,2021 super output areas - lower layer,151,All household members have the same main language,410
21,2021,E01014095,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",11
22,2021,E01014095,2021 super output areas - lower layer,151,Main language differs within partnerships,11
23,2021,E01014095,2021 super output areas - lower layer,151,Any other combination of multiple main languages,5
24,2021,E01035055,2021 super output areas - lower layer,151,Total: All households,637
25,2021,E01035055,2021 super output areas - lower layer,151,One-person household,145
26,2021,E01035055,2021 super output areas - lower layer,151,All household members have the same main language,476
27,2021,E01035055,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",4
28,2021,E01035055,2021 super output areas - lower layer,151,Main language differs within partnerships,7
29,2021,E01035055,2021 super output areas - lower layer,151,Any other combination of multiple main languages,5
30,2021,E01035056,2021 super output areas - lower layer,151,Total: All households,595
31,2021,E01035056,2021 super output areas - lower layer,151,One-person household,137
32,2021,E01035056,2021 super output areas - lower layer,151,All household members have the same main language,441
33,2021,E01035056,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",5
34,2021,E01035056,2021 super output areas - lower layer,151,Main language differs within partnerships,8
35,2021,E01035056,2021 super output areas - lower layer,151,Any other combination of multiple main languages,4
36,2021,E01013986,2021 super output areas - lower layer,151,Total: All households,735
37,2021,E01013986,2021 super output areas - lower layer,151,One-person household,267
38,2021,E01013986,2021 super output areas - lower layer,151,All household members have the same main language,442
39,2021,E01013986,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",7
40,2021,E01013986,2021 super output areas - lower layer,151,Main language differs within partnerships,13
41,2021,E01013986,2021 super output areas - lower layer,151,Any other combination of multiple main languages,6
42,2021,E01013989,2021 super output areas - lower layer,151,Total: All households,616
43,2021,E01013989,2021 super output areas - lower layer,151,One-person household,195
44,2021,E01013989,2021 super output areas - lower layer,151,All household members have the same main language,399
45,2021,E01013989,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",14
46,2021,E01013989,2021 super output areas - lower layer,151,Main language differs within partnerships,5
47,2021,E01013989,2021 super output areas - lower layer,151,Any other combination of multiple main languages,3
48,2021,E01014010,2021 super output areas - lower layer,151,Total: All households,1065
49,2021,E01014010,2021 super output areas - lower layer,151,One-person household,584
50,2021,E01014010,2021 super output areas - lower layer,151,All household members have the same main language,419
51,2021,E01014010,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",26
52,2021,E01014010,2021 super output areas - lower layer,151,Main language differs within partnerships,23
53,2021,E01014010,2021 super output areas - lower layer,151,Any other combination of multiple main languages,13
54,2021,E01014011,2021 super output areas - lower layer,151,Total: All households,665
55,2021,E01014011,2021 super output areas - lower layer,151,One-person household,257
56,2021,E01014011,2021 super output areas - lower layer,151,All household members have the same main language,380
57,2021,E01014011,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",5
58,2021,E01014011,2021 super output areas - lower layer,151,Main language differs within partnerships,11
59,2021,E01014011,2021 super output areas - lower layer,151,Any other combination of multiple main languages,12
60,2021,E01014086,2021 super output areas - lower layer,151,Total: All households,753
61,2021,E01014086,2021 super output areas - lower layer,151,One-person household,335
62,2021,E01014086,2021 super output areas - lower layer,151,All household members have the same main language,370
63,2021,E01014086,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",19
64,2021,E01014086,2021 super output areas - lower layer,151,Main language differs within partnerships,18
65,2021,E01014086,2021 super output areas - lower layer,151,Any other combination of multiple main languages,11
66,2021,E01014092,2021 super output areas - lower layer,151,Total: All households,894
67,2021,E01014092,2021 super output areas - lower layer,151,One-person household,378
68,2021,E01014092,2021 super output areas - lower layer,151,All household members have the same main language,482
69,2021,E01014092,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",9
70,2021,E01014092,2021 super output areas - lower layer,151,Main language differs within partnerships,19
