,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
0,2021,E01021589,2021 super output areas - lower layer,151,Total: All usual residents,1577
1,2021,E01021589,2021 super output areas - lower layer,151,British only identity,895
2,2021,E01021589,2021 super output areas - lower layer,151,English only identity,227
3,2021,E01021589,2021 super output areas - lower layer,151,English and British only identity,239
4,2021,E01021589,2021 super output areas - lower layer,151,Welsh only identity,1
5,2021,E01021589,2021 super output areas - lower layer,151,Welsh and British only identity,0
6,2021,E01021589,2021 super output areas - lower layer,151,Any other combination of only UK identities,17
7,2021,E01021589,2021 super output areas - lower layer,151,Scottish only identity,9
8,2021,E01021589,2021 super output areas - lower layer,151,Scottish and British only identity,2
9,2021,E01021589,2021 super output areas - lower layer,151,Northern Irish only identity,3
10,2021,E01021589,2021 super output areas - lower layer,151,Northern Irish and British only identity,2
11,2021,E01021589,2021 super output areas - lower layer,151,Cornish only identity,0
12,2021,E01021589,2021 super output areas - lower layer,151,Cornish and British only identity,0
13,2021,E01021589,2021 super output areas - lower layer,151,Any other combination of only UK identities ,1
14,2021,E01021589,2021 super output areas - lower layer,151,Irish only identity,14
15,2021,E01021589,2021 super output areas - lower layer,151,Irish and at least one UK identity,1
16,2021,E01021589,2021 super output areas - lower layer,151,Other identity only,155
17,2021,E01021589,2021 super output areas - lower layer,151,Other identity and at least one UK identity,28
18,2021,E01021589,2021 super output areas - lower layer,151,Non-UK identity only,169
19,2021,E01021589,2021 super output areas - lower layer,151,UK identity and non-UK identity,29
20,2021,E01021592,2021 super output areas - lower layer,151,Total: All usual residents,1629
21,2021,E01021592,2021 super output areas - lower layer,151,British only identity,962
22,2021,E01021592,2021 super output areas - lower layer,151,English only identity,228
23,2021,E01021592,2021 super output areas - lower layer,151,English and British only identity,231
24,2021,E01021592,2021 super output areas - lower layer,151,Welsh only identity,1
25,2021,E01021592,2021 super output areas - lower layer,151,Welsh and British only identity,1
26,2021,E01021592,2021 super output areas - lower layer,151,Any other combination of only UK identities,26
27,2021,E01021592,2021 super output areas - lower layer,151,Scottish only identity,6
28,2021,E01021592,2021 super output areas - lower layer,151,Scottish and British only identity,3
29,2021,E01021592,2021 super output areas - lower layer,151,Northern Irish only identity,6
30,2021,E01021592,2021 super output areas - lower layer,151,Northern Irish and British only identity,0
31,2021,E01021592,2021 super output areas - lower layer,151,Cornish only identity,0
32,2021,E01021592,2021 super output areas - lower layer,151,Cornish and British only identity,0
33,2021,E01021592,2021 super output areas - lower layer,151,Any other combination of only UK identities ,11
34,2021,E01021592,2021 super output areas - lower layer,151,Irish only identity,12
35,2021,E01021592,2021 super output areas - lower layer,151,Irish and at least one UK identity,1
36,2021,E01021592,2021 super output areas - lower layer,151,Other identity only,144
37,2021,E01021592,2021 super output areas - lower layer,151,Other identity and at least one UK identity,23
38,2021,E01021592,2021 super output areas - lower layer,151,Non-UK identity only,156
39,2021,E01021592,2021 super output areas - lower layer,151,UK identity and non-UK identity,24
40,2021,E01021596,2021 super output areas - lower layer,151,Total: All usual residents,1610
41,2021,E01021596,2021 super output areas - lower layer,151,British only identity,911
