,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ENGPRF_6_NAME,OBS_VALUE
0,2021,E01024777,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English very well,29
1,2021,E01024777,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English well,14
2,2021,E01024777,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English well,13
3,2021,E01024777,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English,1
4,2021,E01024734,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1593
5,2021,E01024734,2021 super output areas - lower layer,151,Main language is English (English or Welsh in Wales),1539
6,2021,E01024734,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales),54
7,2021,E01024734,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English very well,30
8,2021,E01024734,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English well,10
9,2021,E01024734,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English well,13
10,2021,E01024734,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English,1
11,2021,E01024752,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1623
12,2021,E01024752,2021 super output areas - lower layer,151,Main language is English (English or Welsh in Wales),1595
13,2021,E01024752,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales),28
14,2021,E01024752,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English very well,18
15,2021,E01024752,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English well,9
16,2021,E01024752,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English well,1
17,2021,E01024752,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English,0
18,2021,E01024753,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1543
19,2021,E01024753,2021 super output areas - lower layer,151,Main language is English (English or Welsh in Wales),1495
20,2021,E01024753,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales),48
21,2021,E01024753,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English very well,31
22,2021,E01024753,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English well,11
23,2021,E01024753,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English well,5
24,2021,E01024753,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English,1
25,2021,E01024754,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1698
26,2021,E01024754,2021 super output areas - lower layer,151,Main language is English (English or Welsh in Wales),1651
27,2021,E01024754,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales),47
28,2021,E01024754,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English very well,26
29,2021,E01024754,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English well,16
30,2021,E01024754,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English well,4
31,2021,E01024754,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English,1
32,2021,E01024729,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1664
33,2021,E01024729,2021 super output areas - lower layer,151,Main language is English (English or Welsh in Wales),1621
34,2021,E01024729,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales),43
35,2021,E01024729,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English very well,19
36,2021,E01024729,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English well,16
37,2021,E01024729,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English well,8
38,2021,E01024729,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English,0
39,2021,E01024748,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1342
40,2021,E01024748,2021 super output areas - lower layer,151,Main language is English (English or Welsh in Wales),1313
41,2021,E01024748,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales),29
42,2021,E01024748,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English very well,20
43,2021,E01024748,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Can speak English well,6
44,2021,E01024748,2021 super output areas - lower layer,151,Main language is not English (English or Welsh in Wales): Cannot speak English well,3
