,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELIGION_10_NAME,OBS_VALUE
0,2021,W01001862,2021 super output areas - lower layer,151,Total: All usual residents,1859
1,2021,W01001862,2021 super output areas - lower layer,151,No religion,557
2,2021,W01001862,2021 super output areas - lower layer,151,Christian,363
3,2021,W01001862,2021 super output areas - lower layer,151,Buddhist,12
4,2021,W01001862,2021 super output areas - lower layer,151,Hindu,61
5,2021,W01001862,2021 super output areas - lower layer,151,Jewish,0
6,2021,W01001862,2021 super output areas - lower layer,151,Muslim,667
7,2021,W01001862,2021 super output areas - lower layer,151,Sikh,68
8,2021,W01001862,2021 super output areas - lower layer,151,Other religion,18
9,2021,W01001862,2021 super output areas - lower layer,151,Not answered,113
10,2021,W01001742,2021 super output areas - lower layer,151,Total: All usual residents,1603
11,2021,W01001742,2021 super output areas - lower layer,151,No religion,908
12,2021,W01001742,2021 super output areas - lower layer,151,Christian,445
13,2021,W01001742,2021 super output areas - lower layer,151,Buddhist,13
14,2021,W01001742,2021 super output areas - lower layer,151,Hindu,0
15,2021,W01001742,2021 super output areas - lower layer,151,Jewish,1
16,2021,W01001742,2021 super output areas - lower layer,151,Muslim,97
17,2021,W01001742,2021 super output areas - lower layer,151,Sikh,0
18,2021,W01001742,2021 super output areas - lower layer,151,Other religion,19
19,2021,W01001742,2021 super output areas - lower layer,151,Not answered,120
20,2021,W01001743,2021 super output areas - lower layer,151,Total: All usual residents,1460
21,2021,W01001743,2021 super output areas - lower layer,151,No religion,531
22,2021,W01001743,2021 super output areas - lower layer,151,Christian,808
23,2021,W01001743,2021 super output areas - lower layer,151,Buddhist,16
24,2021,W01001743,2021 super output areas - lower layer,151,Hindu,0
25,2021,W01001743,2021 super output areas - lower layer,151,Jewish,0
26,2021,W01001743,2021 super output areas - lower layer,151,Muslim,27
27,2021,W01001743,2021 super output areas - lower layer,151,Sikh,0
28,2021,W01001743,2021 super output areas - lower layer,151,Other religion,7
29,2021,W01001743,2021 super output areas - lower layer,151,Not answered,71
30,2021,W01001744,2021 super output areas - lower layer,151,Total: All usual residents,1750
31,2021,W01001744,2021 super output areas - lower layer,151,No religion,879
32,2021,W01001744,2021 super output areas - lower layer,151,Christian,670
33,2021,W01001744,2021 super output areas - lower layer,151,Buddhist,4
34,2021,W01001744,2021 super output areas - lower layer,151,Hindu,0
35,2021,W01001744,2021 super output areas - lower layer,151,Jewish,0
36,2021,W01001744,2021 super output areas - lower layer,151,Muslim,76
37,2021,W01001744,2021 super output areas - lower layer,151,Sikh,2
38,2021,W01001744,2021 super output areas - lower layer,151,Other religion,1
39,2021,W01001744,2021 super output areas - lower layer,151,Not answered,118
40,2021,W01001745,2021 super output areas - lower layer,151,Total: All usual residents,1266
41,2021,W01001745,2021 super output areas - lower layer,151,No religion,426
42,2021,W01001745,2021 super output areas - lower layer,151,Christian,727
43,2021,W01001745,2021 super output areas - lower layer,151,Buddhist,5
44,2021,W01001745,2021 super output areas - lower layer,151,Hindu,10
45,2021,W01001745,2021 super output areas - lower layer,151,Jewish,0
46,2021,W01001745,2021 super output areas - lower layer,151,Muslim,6
47,2021,W01001745,2021 super output areas - lower layer,151,Sikh,1
48,2021,W01001745,2021 super output areas - lower layer,151,Other religion,10
49,2021,W01001745,2021 super output areas - lower layer,151,Not answered,81
50,2021,W01001764,2021 super output areas - lower layer,151,Total: All usual residents,2016
51,2021,W01001764,2021 super output areas - lower layer,151,No religion,580
52,2021,W01001764,2021 super output areas - lower layer,151,Christian,408
53,2021,W01001764,2021 super output areas - lower layer,151,Buddhist,11
54,2021,W01001764,2021 super output areas - lower layer,151,Hindu,149
55,2021,W01001764,2021 super output areas - lower layer,151,Jewish,6
56,2021,W01001764,2021 super output areas - lower layer,151,Muslim,675
57,2021,W01001764,2021 super output areas - lower layer,151,Sikh,13
58,2021,W01001764,2021 super output areas - lower layer,151,Other religion,14
59,2021,W01001764,2021 super output areas - lower layer,151,Not answered,160
60,2021,W01001765,2021 super output areas - lower layer,151,Total: All usual residents,1471
61,2021,W01001765,2021 super output areas - lower layer,151,No religion,365
62,2021,W01001765,2021 super output areas - lower layer,151,Christian,423
63,2021,W01001765,2021 super output areas - lower layer,151,Buddhist,2
64,2021,W01001765,2021 super output areas - lower layer,151,Hindu,114
65,2021,W01001765,2021 super output areas - lower layer,151,Jewish,0
66,2021,W01001765,2021 super output areas - lower layer,151,Muslim,487
67,2021,W01001765,2021 super output areas - lower layer,151,Sikh,5
68,2021,W01001765,2021 super output areas - lower layer,151,Other religion,4
69,2021,W01001765,2021 super output areas - lower layer,151,Not answered,71
70,2021,W01001766,2021 super output areas - lower layer,151,Total: All usual residents,1690
71,2021,W01001766,2021 super output areas - lower layer,151,No religion,476
72,2021,W01001766,2021 super output areas - lower layer,151,Christian,414
73,2021,W01001766,2021 super output areas - lower layer,151,Buddhist,3
74,2021,W01001766,2021 super output areas - lower layer,151,Hindu,109
75,2021,W01001766,2021 super output areas - lower layer,151,Jewish,0
76,2021,W01001766,2021 super output areas - lower layer,151,Muslim,572
77,2021,W01001766,2021 super output areas - lower layer,151,Sikh,8
78,2021,W01001766,2021 super output areas - lower layer,151,Other religion,5
79,2021,W01001766,2021 super output areas - lower layer,151,Not answered,103
80,2021,W01001767,2021 super output areas - lower layer,151,Total: All usual residents,1809
81,2021,W01001767,2021 super output areas - lower layer,151,No religion,473
82,2021,W01001767,2021 super output areas - lower layer,151,Christian,577
83,2021,W01001767,2021 super output areas - lower layer,151,Buddhist,13
84,2021,W01001767,2021 super output areas - lower layer,151,Hindu,58
85,2021,W01001767,2021 super output areas - lower layer,151,Jewish,0
86,2021,W01001767,2021 super output areas - lower layer,151,Muslim,546
87,2021,W01001767,2021 super output areas - lower layer,151,Sikh,22
88,2021,W01001767,2021 super output areas - lower layer,151,Other religion,9
89,2021,W01001767,2021 super output areas - lower layer,151,Not answered,111
90,2021,W01001768,2021 super output areas - lower layer,151,Total: All usual residents,1667
91,2021,W01001768,2021 super output areas - lower layer,151,No religion,332
92,2021,W01001768,2021 super output areas - lower layer,151,Christian,338
93,2021,W01001768,2021 super output areas - lower layer,151,Buddhist,7
94,2021,W01001768,2021 super output areas - lower layer,151,Hindu,21
95,2021,W01001768,2021 super output areas - lower layer,151,Jewish,1
96,2021,W01001768,2021 super output areas - lower layer,151,Muslim,877
97,2021,W01001768,2021 super output areas - lower layer,151,Sikh,4
98,2021,W01001768,2021 super output areas - lower layer,151,Other religion,6
99,2021,W01001768,2021 super output areas - lower layer,151,Not answered,81
100,2021,W01001702,2021 super output areas - lower layer,151,Total: All usual residents,1777
101,2021,W01001702,2021 super output areas - lower layer,151,No religion,842
102,2021,W01001702,2021 super output areas - lower layer,151,Christian,723
103,2021,W01001702,2021 super output areas - lower layer,151,Buddhist,10
104,2021,W01001702,2021 super output areas - lower layer,151,Hindu,11
105,2021,W01001702,2021 super output areas - lower layer,151,Jewish,1
106,2021,W01001702,2021 super output areas - lower layer,151,Muslim,72
107,2021,W01001702,2021 super output areas - lower layer,151,Sikh,20
108,2021,W01001702,2021 super output areas - lower layer,151,Other religion,0
109,2021,W01001702,2021 super output areas - lower layer,151,Not answered,98
110,2021,W01001703,2021 super output areas - lower layer,151,Total: All usual residents,1227
111,2021,W01001703,2021 super output areas - lower layer,151,No religion,702
112,2021,W01001703,2021 super output areas - lower layer,151,Christian,399
113,2021,W01001703,2021 super output areas - lower layer,151,Buddhist,3
114,2021,W01001703,2021 super output areas - lower layer,151,Hindu,4
115,2021,W01001703,2021 super output areas - lower layer,151,Jewish,1
116,2021,W01001703,2021 super output areas - lower layer,151,Muslim,22
117,2021,W01001703,2021 super output areas - lower layer,151,Sikh,0
118,2021,W01001703,2021 super output areas - lower layer,151,Other religion,3
119,2021,W01001703,2021 super output areas - lower layer,151,Not answered,93
120,2021,W01001705,2021 super output areas - lower layer,151,Total: All usual residents,1949
121,2021,W01001705,2021 super output areas - lower layer,151,No religion,944
122,2021,W01001705,2021 super output areas - lower layer,151,Christian,752
123,2021,W01001705,2021 super output areas - lower layer,151,Buddhist,2
124,2021,W01001705,2021 super output areas - lower layer,151,Hindu,7
125,2021,W01001705,2021 super output areas - lower layer,151,Jewish,1
126,2021,W01001705,2021 super output areas - lower layer,151,Muslim,116
127,2021,W01001705,2021 super output areas - lower layer,151,Sikh,3
128,2021,W01001705,2021 super output areas - lower layer,151,Other religion,8
129,2021,W01001705,2021 super output areas - lower layer,151,Not answered,116
130,2021,W01001708,2021 super output areas - lower layer,151,Total: All usual residents,1642
131,2021,W01001708,2021 super output areas - lower layer,151,No religion,789
132,2021,W01001708,2021 super output areas - lower layer,151,Christian,656
133,2021,W01001708,2021 super output areas - lower layer,151,Buddhist,0
134,2021,W01001708,2021 super output areas - lower layer,151,Hindu,10
135,2021,W01001708,2021 super output areas - lower layer,151,Jewish,2
136,2021,W01001708,2021 super output areas - lower layer,151,Muslim,65
137,2021,W01001708,2021 super output areas - lower layer,151,Sikh,0
138,2021,W01001708,2021 super output areas - lower layer,151,Other religion,8
139,2021,W01001708,2021 super output areas - lower layer,151,Not answered,112
140,2021,W01001759,2021 super output areas - lower layer,151,Total: All usual residents,1593
141,2021,W01001759,2021 super output areas - lower layer,151,No religion,535
142,2021,W01001759,2021 super output areas - lower layer,151,Christian,505
143,2021,W01001759,2021 super output areas - lower layer,151,Buddhist,5
144,2021,W01001759,2021 super output areas - lower layer,151,Hindu,111
145,2021,W01001759,2021 super output areas - lower layer,151,Jewish,0
146,2021,W01001759,2021 super output areas - lower layer,151,Muslim,312
147,2021,W01001759,2021 super output areas - lower layer,151,Sikh,13
148,2021,W01001759,2021 super output areas - lower layer,151,Other religion,14
149,2021,W01001759,2021 super output areas - lower layer,151,Not answered,98
150,2021,W01001760,2021 super output areas - lower layer,151,Total: All usual residents,1661
151,2021,W01001760,2021 super output areas - lower layer,151,No religion,511
152,2021,W01001760,2021 super output areas - lower layer,151,Christian,547
153,2021,W01001760,2021 super output areas - lower layer,151,Buddhist,10
154,2021,W01001760,2021 super output areas - lower layer,151,Hindu,43
155,2021,W01001760,2021 super output areas - lower layer,151,Jewish,2
156,2021,W01001760,2021 super output areas - lower layer,151,Muslim,467
157,2021,W01001760,2021 super output areas - lower layer,151,Sikh,1
158,2021,W01001760,2021 super output areas - lower layer,151,Other religion,4
159,2021,W01001760,2021 super output areas - lower layer,151,Not answered,76
160,2021,W01001761,2021 super output areas - lower layer,151,Total: All usual residents,1778
161,2021,W01001761,2021 super output areas - lower layer,151,No religion,471
162,2021,W01001761,2021 super output areas - lower layer,151,Christian,434
163,2021,W01001761,2021 super output areas - lower layer,151,Buddhist,14
164,2021,W01001761,2021 super output areas - lower layer,151,Hindu,18
165,2021,W01001761,2021 super output areas - lower layer,151,Jewish,1
166,2021,W01001761,2021 super output areas - lower layer,151,Muslim,657
167,2021,W01001761,2021 super output areas - lower layer,151,Sikh,8
168,2021,W01001761,2021 super output areas - lower layer,151,Other religion,26
169,2021,W01001761,2021 super output areas - lower layer,151,Not answered,149
170,2021,W01001762,2021 super output areas - lower layer,151,Total: All usual residents,1842
171,2021,W01001762,2021 super output areas - lower layer,151,No religion,497
172,2021,W01001762,2021 super output areas - lower layer,151,Christian,600
173,2021,W01001762,2021 super output areas - lower layer,151,Buddhist,2
174,2021,W01001762,2021 super output areas - lower layer,151,Hindu,20
175,2021,W01001762,2021 super output areas - lower layer,151,Jewish,2
176,2021,W01001762,2021 super output areas - lower layer,151,Muslim,594
177,2021,W01001762,2021 super output areas - lower layer,151,Sikh,25
178,2021,W01001762,2021 super output areas - lower layer,151,Other religion,11
179,2021,W01001762,2021 super output areas - lower layer,151,Not answered,91
180,2021,W01001940,2021 super output areas - lower layer,151,Total: All usual residents,1049
181,2021,W01001940,2021 super output areas - lower layer,151,No religion,494
182,2021,W01001940,2021 super output areas - lower layer,151,Christian,342
183,2021,W01001940,2021 super output areas - lower layer,151,Buddhist,4
184,2021,W01001940,2021 super output areas - lower layer,151,Hindu,29
185,2021,W01001940,2021 super output areas - lower layer,151,Jewish,9
186,2021,W01001940,2021 super output areas - lower layer,151,Muslim,91
187,2021,W01001940,2021 super output areas - lower layer,151,Sikh,0
188,2021,W01001940,2021 super output areas - lower layer,151,Other religion,5
189,2021,W01001940,2021 super output areas - lower layer,151,Not answered,75
190,2021,W01001943,2021 super output areas - lower layer,151,Total: All usual residents,1197
191,2021,W01001943,2021 super output areas - lower layer,151,No religion,588
192,2021,W01001943,2021 super output areas - lower layer,151,Christian,342
193,2021,W01001943,2021 super output areas - lower layer,151,Buddhist,5
194,2021,W01001943,2021 super output areas - lower layer,151,Hindu,23
195,2021,W01001943,2021 super output areas - lower layer,151,Jewish,2
196,2021,W01001943,2021 super output areas - lower layer,151,Muslim,168
197,2021,W01001943,2021 super output areas - lower layer,151,Sikh,0
198,2021,W01001943,2021 super output areas - lower layer,151,Other religion,10
199,2021,W01001943,2021 super output areas - lower layer,151,Not answered,59
200,2021,W01001944,2021 super output areas - lower layer,151,Total: All usual residents,1180
201,2021,W01001944,2021 super output areas - lower layer,151,No religion,606
202,2021,W01001944,2021 super output areas - lower layer,151,Christian,292
203,2021,W01001944,2021 super output areas - lower layer,151,Buddhist,11
204,2021,W01001944,2021 super output areas - lower layer,151,Hindu,37
205,2021,W01001944,2021 super output areas - lower layer,151,Jewish,0
206,2021,W01001944,2021 super output areas - lower layer,151,Muslim,163
207,2021,W01001944,2021 super output areas - lower layer,151,Sikh,4
208,2021,W01001944,2021 super output areas - lower layer,151,Other religion,6
209,2021,W01001944,2021 super output areas - lower layer,151,Not answered,61
210,2021,W01001947,2021 super output areas - lower layer,151,Total: All usual residents,1732
211,2021,W01001947,2021 super output areas - lower layer,151,No religion,763
212,2021,W01001947,2021 super output areas - lower layer,151,Christian,493
213,2021,W01001947,2021 super output areas - lower layer,151,Buddhist,12
214,2021,W01001947,2021 super output areas - lower layer,151,Hindu,133
215,2021,W01001947,2021 super output areas - lower layer,151,Jewish,3
216,2021,W01001947,2021 super output areas - lower layer,151,Muslim,224
217,2021,W01001947,2021 super output areas - lower layer,151,Sikh,6
218,2021,W01001947,2021 super output areas - lower layer,151,Other religion,25
219,2021,W01001947,2021 super output areas - lower layer,151,Not answered,73
220,2021,W01002024,2021 super output areas - lower layer,151,Total: All usual residents,1119
221,2021,W01002024,2021 super output areas - lower layer,151,No religion,542
222,2021,W01002024,2021 super output areas - lower layer,151,Christian,308
223,2021,W01002024,2021 super output areas - lower layer,151,Buddhist,6
224,2021,W01002024,2021 super output areas - lower layer,151,Hindu,56
225,2021,W01002024,2021 super output areas - lower layer,151,Jewish,3
226,2021,W01002024,2021 super output areas - lower layer,151,Muslim,116
227,2021,W01002024,2021 super output areas - lower layer,151,Sikh,6
228,2021,W01002024,2021 super output areas - lower layer,151,Other religion,4
229,2021,W01002024,2021 super output areas - lower layer,151,Not answered,78
230,2021,W01002025,2021 super output areas - lower layer,151,Total: All usual residents,1113
231,2021,W01002025,2021 super output areas - lower layer,151,No religion,497
232,2021,W01002025,2021 super output areas - lower layer,151,Christian,373
233,2021,W01002025,2021 super output areas - lower layer,151,Buddhist,5
234,2021,W01002025,2021 super output areas - lower layer,151,Hindu,20
235,2021,W01002025,2021 super output areas - lower layer,151,Jewish,0
236,2021,W01002025,2021 super output areas - lower layer,151,Muslim,150
237,2021,W01002025,2021 super output areas - lower layer,151,Sikh,0
238,2021,W01002025,2021 super output areas - lower layer,151,Other religion,17
239,2021,W01002025,2021 super output areas - lower layer,151,Not answered,51
240,2021,W01001699,2021 super output areas - lower layer,151,Total: All usual residents,2530
241,2021,W01001699,2021 super output areas - lower layer,151,No religion,532
242,2021,W01001699,2021 super output areas - lower layer,151,Christian,373
