,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANG_9_NAME,OBS_VALUE
0,2021,W01000003,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2370
1,2021,W01000003,2021 super output areas - lower layer,151,Can understand spoken Welsh only,278
2,2021,W01000003,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",1093
3,2021,W01000003,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,205
4,2021,W01000003,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,90
5,2021,W01000003,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,29
6,2021,W01000003,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,1
7,2021,W01000003,2021 super output areas - lower layer,151,Can read and write but cannot speak Welsh,41
8,2021,W01000003,2021 super output areas - lower layer,151,Can speak and other combinations of skills in Welsh,23
9,2021,W01000003,2021 super output areas - lower layer,151,No skills in Welsh,610
10,2021,W01000004,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1229
11,2021,W01000004,2021 super output areas - lower layer,151,Can understand spoken Welsh only,121
12,2021,W01000004,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",493
13,2021,W01000004,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,74
14,2021,W01000004,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,40
15,2021,W01000004,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,14
16,2021,W01000004,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,6
17,2021,W01000004,2021 super output areas - lower layer,151,Can read and write but cannot speak Welsh,11
18,2021,W01000004,2021 super output areas - lower layer,151,Can speak and other combinations of skills in Welsh,14
19,2021,W01000004,2021 super output areas - lower layer,151,No skills in Welsh,456
20,2021,W01000018,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1145
21,2021,W01000018,2021 super output areas - lower layer,151,Can understand spoken Welsh only,111
22,2021,W01000018,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",425
23,2021,W01000018,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,77
24,2021,W01000018,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,29
25,2021,W01000018,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,18
26,2021,W01000018,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,3
27,2021,W01000018,2021 super output areas - lower layer,151,Can read and write but cannot speak Welsh,11
28,2021,W01000018,2021 super output areas - lower layer,151,Can speak and other combinations of skills in Welsh,8
29,2021,W01000018,2021 super output areas - lower layer,151,No skills in Welsh,463
30,2021,W01000028,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1920
31,2021,W01000028,2021 super output areas - lower layer,151,Can understand spoken Welsh only,123
32,2021,W01000028,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",1112
33,2021,W01000028,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,123
34,2021,W01000028,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,39
35,2021,W01000028,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,23
36,2021,W01000028,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,7
37,2021,W01000028,2021 super output areas - lower layer,151,Can read and write but cannot speak Welsh,15
38,2021,W01000028,2021 super output areas - lower layer,151,Can speak and other combinations of skills in Welsh,15
39,2021,W01000028,2021 super output areas - lower layer,151,No skills in Welsh,463
40,2021,W01000031,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1514
41,2021,W01000031,2021 super output areas - lower layer,151,Can understand spoken Welsh only,116
42,2021,W01000031,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",738
43,2021,W01000031,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,77
44,2021,W01000031,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,33
45,2021,W01000031,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,21
46,2021,W01000031,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,2
47,2021,W01000031,2021 super output areas - lower layer,151,Can read and write but cannot speak Welsh,4
48,2021,W01000031,2021 super output areas - lower layer,151,Can speak and other combinations of skills in Welsh,6
49,2021,W01000031,2021 super output areas - lower layer,151,No skills in Welsh,517
50,2021,W01000010,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1775
51,2021,W01000010,2021 super output areas - lower layer,151,Can understand spoken Welsh only,164
52,2021,W01000010,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",730
53,2021,W01000010,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,81
54,2021,W01000010,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,46
55,2021,W01000010,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,15
56,2021,W01000010,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,0
57,2021,W01000010,2021 super output areas - lower layer,151,Can read and write but cannot speak Welsh,6
58,2021,W01000010,2021 super output areas - lower layer,151,Can speak and other combinations of skills in Welsh,8
59,2021,W01000010,2021 super output areas - lower layer,151,No skills in Welsh,725
60,2021,W01000021,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2268
61,2021,W01000021,2021 super output areas - lower layer,151,Can understand spoken Welsh only,190
62,2021,W01000021,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",983
63,2021,W01000021,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,136
64,2021,W01000021,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,54
65,2021,W01000021,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,30
66,2021,W01000021,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,6
67,2021,W01000021,2021 super output areas - lower layer,151,Can read and write but cannot speak Welsh,17
68,2021,W01000021,2021 super output areas - lower layer,151,Can speak and other combinations of skills in Welsh,20
69,2021,W01000021,2021 super output areas - lower layer,151,No skills in Welsh,832
70,2021,W01002005,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2193
71,2021,W01002005,2021 super output areas - lower layer,151,Can understand spoken Welsh only,173
72,2021,W01002005,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",1091
73,2021,W01002005,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,100
74,2021,W01002005,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,66
75,2021,W01002005,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,21
76,2021,W01002005,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,2
77,2021,W01002005,2021 super output areas - lower layer,151,Can read and write but cannot speak Welsh,3
78,2021,W01002005,2021 super output areas - lower layer,151,Can speak and other combinations of skills in Welsh,10
79,2021,W01002005,2021 super output areas - lower layer,151,No skills in Welsh,727
80,2021,W01000016,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1158
81,2021,W01000016,2021 super output areas - lower layer,151,Can understand spoken Welsh only,209
82,2021,W01000016,2021 super output areas - lower layer,151,"Can speak, read and write Welsh",317
83,2021,W01000016,2021 super output areas - lower layer,151,Can speak but cannot read or write Welsh,82
84,2021,W01000016,2021 super output areas - lower layer,151,Can speak and read but cannot write Welsh,34
85,2021,W01000016,2021 super output areas - lower layer,151,Can read but cannot speak or write Welsh,18
86,2021,W01000016,2021 super output areas - lower layer,151,Can write but cannot speak or read Welsh,1
