,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
0,2021,W01000003,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2370
1,2021,W01000003,2021 super output areas - lower layer,151,Cannot speak Welsh,959
2,2021,W01000003,2021 super output areas - lower layer,151,Can speak Welsh,1411
3,2021,W01000004,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1229
4,2021,W01000004,2021 super output areas - lower layer,151,Cannot speak Welsh,608
5,2021,W01000004,2021 super output areas - lower layer,151,Can speak Welsh,621
6,2021,W01000018,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1148
7,2021,W01000018,2021 super output areas - lower layer,151,Cannot speak Welsh,607
8,2021,W01000018,2021 super output areas - lower layer,151,Can speak Welsh,541
9,2021,W01000028,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1920
10,2021,W01000028,2021 super output areas - lower layer,151,Cannot speak Welsh,631
11,2021,W01000028,2021 super output areas - lower layer,151,Can speak Welsh,1289
12,2021,W01000031,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1512
13,2021,W01000031,2021 super output areas - lower layer,151,Cannot speak Welsh,658
14,2021,W01000031,2021 super output areas - lower layer,151,Can speak Welsh,854
15,2021,W01000010,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1775
16,2021,W01000010,2021 super output areas - lower layer,151,Cannot speak Welsh,910
17,2021,W01000010,2021 super output areas - lower layer,151,Can speak Welsh,865
18,2021,W01000021,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2266
19,2021,W01000021,2021 super output areas - lower layer,151,Cannot speak Welsh,1075
20,2021,W01000021,2021 super output areas - lower layer,151,Can speak Welsh,1191
21,2021,W01002005,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2190
22,2021,W01002005,2021 super output areas - lower layer,151,Cannot speak Welsh,923
23,2021,W01002005,2021 super output areas - lower layer,151,Can speak Welsh,1267
24,2021,W01000016,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1157
25,2021,W01000016,2021 super output areas - lower layer,151,Cannot speak Welsh,723
26,2021,W01000016,2021 super output areas - lower layer,151,Can speak Welsh,434
27,2021,W01000017,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1636
28,2021,W01000017,2021 super output areas - lower layer,151,Cannot speak Welsh,887
29,2021,W01000017,2021 super output areas - lower layer,151,Can speak Welsh,749
30,2021,W01000029,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1541
31,2021,W01000029,2021 super output areas - lower layer,151,Cannot speak Welsh,825
32,2021,W01000029,2021 super output areas - lower layer,151,Can speak Welsh,716
33,2021,W01000030,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2236
34,2021,W01000030,2021 super output areas - lower layer,151,Cannot speak Welsh,1320
35,2021,W01000030,2021 super output areas - lower layer,151,Can speak Welsh,916
36,2021,W01000033,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1504
37,2021,W01000033,2021 super output areas - lower layer,151,Cannot speak Welsh,936
38,2021,W01000033,2021 super output areas - lower layer,151,Can speak Welsh,568
