,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGW_3_NAME,OBS_VALUE
0,2021,W01000003,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2370
1,2021,W01000003,2021 super output areas - lower layer,151,Cannot write Welsh,1212
2,2021,W01000003,2021 super output areas - lower layer,151,Can write Welsh,1158
3,2021,W01000004,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1229
4,2021,W01000004,2021 super output areas - lower layer,151,Cannot write Welsh,705
5,2021,W01000004,2021 super output areas - lower layer,151,Can write Welsh,524
6,2021,W01000018,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1149
7,2021,W01000018,2021 super output areas - lower layer,151,Cannot write Welsh,700
8,2021,W01000018,2021 super output areas - lower layer,151,Can write Welsh,449
9,2021,W01000028,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1921
10,2021,W01000028,2021 super output areas - lower layer,151,Cannot write Welsh,772
11,2021,W01000028,2021 super output areas - lower layer,151,Can write Welsh,1149
12,2021,W01000031,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1512
13,2021,W01000031,2021 super output areas - lower layer,151,Cannot write Welsh,764
14,2021,W01000031,2021 super output areas - lower layer,151,Can write Welsh,748
15,2021,W01000010,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1775
16,2021,W01000010,2021 super output areas - lower layer,151,Cannot write Welsh,1031
17,2021,W01000010,2021 super output areas - lower layer,151,Can write Welsh,744
18,2021,W01000021,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2266
19,2021,W01000021,2021 super output areas - lower layer,151,Cannot write Welsh,1240
20,2021,W01000021,2021 super output areas - lower layer,151,Can write Welsh,1026
21,2021,W01002005,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2190
22,2021,W01002005,2021 super output areas - lower layer,151,Cannot write Welsh,1083
23,2021,W01002005,2021 super output areas - lower layer,151,Can write Welsh,1107
24,2021,W01000016,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1157
25,2021,W01000016,2021 super output areas - lower layer,151,Cannot write Welsh,827
26,2021,W01000016,2021 super output areas - lower layer,151,Can write Welsh,330
27,2021,W01000017,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1635
28,2021,W01000017,2021 super output areas - lower layer,151,Cannot write Welsh,1043
29,2021,W01000017,2021 super output areas - lower layer,151,Can write Welsh,592
30,2021,W01000029,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1541
31,2021,W01000029,2021 super output areas - lower layer,151,Cannot write Welsh,1021
32,2021,W01000029,2021 super output areas - lower layer,151,Can write Welsh,520
33,2021,W01000030,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2236
34,2021,W01000030,2021 super output areas - lower layer,151,Cannot write Welsh,1554
35,2021,W01000030,2021 super output areas - lower layer,151,Can write Welsh,682
36,2021,W01000033,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1504
37,2021,W01000033,2021 super output areas - lower layer,151,Cannot write Welsh,1110
38,2021,W01000033,2021 super output areas - lower layer,151,Can write Welsh,394
39,2021,W01000036,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1070
40,2021,W01000036,2021 super output areas - lower layer,151,Cannot write Welsh,807
41,2021,W01000036,2021 super output areas - lower layer,151,Can write Welsh,263
42,2021,W01000037,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1126
43,2021,W01000037,2021 super output areas - lower layer,151,Cannot write Welsh,784
44,2021,W01000037,2021 super output areas - lower layer,151,Can write Welsh,342
45,2021,W01000022,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1576
