,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGU_3_NAME,OBS_VALUE
0,2021,W01000003,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2370
1,2021,W01000003,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,761
2,2021,W01000003,2021 super output areas - lower layer,151,Can understand spoken Welsh,1609
3,2021,W01000004,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1229
4,2021,W01000004,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,535
5,2021,W01000004,2021 super output areas - lower layer,151,Can understand spoken Welsh,694
6,2021,W01000018,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1148
7,2021,W01000018,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,524
8,2021,W01000018,2021 super output areas - lower layer,151,Can understand spoken Welsh,624
9,2021,W01000028,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1921
10,2021,W01000028,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,587
11,2021,W01000028,2021 super output areas - lower layer,151,Can understand spoken Welsh,1334
12,2021,W01000031,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1512
13,2021,W01000031,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,612
14,2021,W01000031,2021 super output areas - lower layer,151,Can understand spoken Welsh,900
15,2021,W01000010,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1775
16,2021,W01000010,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,795
17,2021,W01000010,2021 super output areas - lower layer,151,Can understand spoken Welsh,980
18,2021,W01000021,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2266
19,2021,W01000021,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,931
20,2021,W01000021,2021 super output areas - lower layer,151,Can understand spoken Welsh,1335
21,2021,W01002005,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2190
22,2021,W01002005,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,832
23,2021,W01002005,2021 super output areas - lower layer,151,Can understand spoken Welsh,1358
24,2021,W01000016,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1157
25,2021,W01000016,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,546
26,2021,W01000016,2021 super output areas - lower layer,151,Can understand spoken Welsh,611
27,2021,W01000017,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1636
28,2021,W01000017,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,626
29,2021,W01000017,2021 super output areas - lower layer,151,Can understand spoken Welsh,1010
30,2021,W01000029,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1541
31,2021,W01000029,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,587
32,2021,W01000029,2021 super output areas - lower layer,151,Can understand spoken Welsh,954
33,2021,W01000030,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2236
34,2021,W01000030,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,920
35,2021,W01000030,2021 super output areas - lower layer,151,Can understand spoken Welsh,1316
36,2021,W01000033,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1504
37,2021,W01000033,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,654
38,2021,W01000033,2021 super output areas - lower layer,151,Can understand spoken Welsh,850
39,2021,W01000036,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1068
40,2021,W01000036,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,475
41,2021,W01000036,2021 super output areas - lower layer,151,Can understand spoken Welsh,593
42,2021,W01000037,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1124
43,2021,W01000037,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,442
44,2021,W01000037,2021 super output areas - lower layer,151,Can understand spoken Welsh,682
