,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_DISABILITY_5_NAME,OBS_VALUE
0,2021,E01032420,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,111
1,2021,E01032420,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,946
2,2021,E01032421,2021 super output areas - lower layer,151,Total: All usual residents,1155
3,2021,E01032421,2021 super output areas - lower layer,151,Disabled under the Equality Act,169
4,2021,E01032421,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,42
5,2021,E01032421,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,127
6,2021,E01032421,2021 super output areas - lower layer,151,Not disabled under the Equality Act,986
7,2021,E01032421,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,110
8,2021,E01032421,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,876
9,2021,E01032422,2021 super output areas - lower layer,151,Total: All usual residents,1438
10,2021,E01032422,2021 super output areas - lower layer,151,Disabled under the Equality Act,295
11,2021,E01032422,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,101
12,2021,E01032422,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,194
13,2021,E01032422,2021 super output areas - lower layer,151,Not disabled under the Equality Act,1143
14,2021,E01032422,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,82
15,2021,E01032422,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,1061
16,2021,E01032427,2021 super output areas - lower layer,151,Total: All usual residents,1527
17,2021,E01032427,2021 super output areas - lower layer,151,Disabled under the Equality Act,325
18,2021,E01032427,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,141
19,2021,E01032427,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,184
20,2021,E01032427,2021 super output areas - lower layer,151,Not disabled under the Equality Act,1202
21,2021,E01032427,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,146
22,2021,E01032427,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,1056
23,2021,E01032428,2021 super output areas - lower layer,151,Total: All usual residents,1548
24,2021,E01032428,2021 super output areas - lower layer,151,Disabled under the Equality Act,294
25,2021,E01032428,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,105
26,2021,E01032428,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,189
27,2021,E01032428,2021 super output areas - lower layer,151,Not disabled under the Equality Act,1254
28,2021,E01032428,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,161
29,2021,E01032428,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,1093
30,2021,E01032429,2021 super output areas - lower layer,151,Total: All usual residents,1459
31,2021,E01032429,2021 super output areas - lower layer,151,Disabled under the Equality Act,285
32,2021,E01032429,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,101
33,2021,E01032429,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,184
34,2021,E01032429,2021 super output areas - lower layer,151,Not disabled under the Equality Act,1174
35,2021,E01032429,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,150
