,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_CARER_7_NAME,OBS_VALUE
0,2021,E01023511,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,11
1,2021,E01023511,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,19
2,2021,E01023511,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,7
3,2021,E01023511,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,12
4,2021,E01023511,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,23
5,2021,E01023515,2021 super output areas - lower layer,151,Total: All usual residents aged 5 and over,1580
6,2021,E01023515,2021 super output areas - lower layer,151,Provides no unpaid care,1478
7,2021,E01023515,2021 super output areas - lower layer,151,Provides 19 hours or less unpaid care a week,71
8,2021,E01023515,2021 super output areas - lower layer,151,Provides 9 hours or less unpaid care a week,56
9,2021,E01023515,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,15
10,2021,E01023515,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,10
11,2021,E01023515,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,4
12,2021,E01023515,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,6
13,2021,E01023515,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,21
14,2021,E01023516,2021 super output areas - lower layer,151,Total: All usual residents aged 5 and over,1837
15,2021,E01023516,2021 super output areas - lower layer,151,Provides no unpaid care,1686
16,2021,E01023516,2021 super output areas - lower layer,151,Provides 19 hours or less unpaid care a week,95
17,2021,E01023516,2021 super output areas - lower layer,151,Provides 9 hours or less unpaid care a week,74
18,2021,E01023516,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,21
19,2021,E01023516,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,23
20,2021,E01023516,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,9
21,2021,E01023516,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,14
22,2021,E01023516,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,33
23,2021,E01023517,2021 super output areas - lower layer,151,Total: All usual residents aged 5 and over,1453
24,2021,E01023517,2021 super output areas - lower layer,151,Provides no unpaid care,1349
25,2021,E01023517,2021 super output areas - lower layer,151,Provides 19 hours or less unpaid care a week,64
26,2021,E01023517,2021 super output areas - lower layer,151,Provides 9 hours or less unpaid care a week,47
27,2021,E01023517,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,17
28,2021,E01023517,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,21
29,2021,E01023517,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,11
30,2021,E01023517,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,10
31,2021,E01023517,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,19
32,2021,E01023470,2021 super output areas - lower layer,151,Total: All usual residents aged 5 and over,1683
33,2021,E01023470,2021 super output areas - lower layer,151,Provides no unpaid care,1567
34,2021,E01023470,2021 super output areas - lower layer,151,Provides 19 hours or less unpaid care a week,80
35,2021,E01023470,2021 super output areas - lower layer,151,Provides 9 hours or less unpaid care a week,60
36,2021,E01023470,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,20
37,2021,E01023470,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,17
38,2021,E01023470,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,12
39,2021,E01023470,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,5
40,2021,E01023470,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,19
41,2021,E01023471,2021 super output areas - lower layer,151,Total: All usual residents aged 5 and over,1337
42,2021,E01023471,2021 super output areas - lower layer,151,Provides no unpaid care,1211
43,2021,E01023471,2021 super output areas - lower layer,151,Provides 19 hours or less unpaid care a week,84
