,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHDISABLED_4_NAME,OBS_VALUE
0,2021,E01016217,2021 super output areas - lower layer,151,Total: All households,568
1,2021,E01016217,2021 super output areas - lower layer,151,No people disabled under the Equality Act in household,402
2,2021,E01016217,2021 super output areas - lower layer,151,1 person disabled under the Equality Act in household,126
3,2021,E01016217,2021 super output areas - lower layer,151,2 or more people disabled under the Equality Act in household,40
4,2021,E01016218,2021 super output areas - lower layer,151,Total: All households,636
5,2021,E01016218,2021 super output areas - lower layer,151,No people disabled under the Equality Act in household,435
6,2021,E01016218,2021 super output areas - lower layer,151,1 person disabled under the Equality Act in household,165
7,2021,E01016218,2021 super output areas - lower layer,151,2 or more people disabled under the Equality Act in household,36
8,2021,E01016231,2021 super output areas - lower layer,151,Total: All households,735
9,2021,E01016231,2021 super output areas - lower layer,151,No people disabled under the Equality Act in household,520
10,2021,E01016231,2021 super output areas - lower layer,151,1 person disabled under the Equality Act in household,159
11,2021,E01016231,2021 super output areas - lower layer,151,2 or more people disabled under the Equality Act in household,56
12,2021,E01016232,2021 super output areas - lower layer,151,Total: All households,595
13,2021,E01016232,2021 super output areas - lower layer,151,No people disabled under the Equality Act in household,395
14,2021,E01016232,2021 super output areas - lower layer,151,1 person disabled under the Equality Act in household,156
15,2021,E01016232,2021 super output areas - lower layer,151,2 or more people disabled under the Equality Act in household,44
16,2021,E01016212,2021 super output areas - lower layer,151,Total: All households,496
17,2021,E01016212,2021 super output areas - lower layer,151,No people disabled under the Equality Act in household,333
18,2021,E01016212,2021 super output areas - lower layer,151,1 person disabled under the Equality Act in household,120
19,2021,E01016212,2021 super output areas - lower layer,151,2 or more people disabled under the Equality Act in household,43
20,2021,E01016216,2021 super output areas - lower layer,151,Total: All households,550
21,2021,E01016216,2021 super output areas - lower layer,151,No people disabled under the Equality Act in household,390
22,2021,E01016216,2021 super output areas - lower layer,151,1 person disabled under the Equality Act in household,132
23,2021,E01016216,2021 super output areas - lower layer,151,2 or more people disabled under the Equality Act in household,28
24,2021,E01016219,2021 super output areas - lower layer,151,Total: All households,542
