,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HH_1_NAME,OBS_VALUE
0,2021,E01016217,2021 super output areas - lower layer,151,Number of households,568
1,2021,E01016218,2021 super output areas - lower layer,151,Number of households,634
2,2021,E01016231,2021 super output areas - lower layer,151,Number of households,735
3,2021,E01016232,2021 super output areas - lower layer,151,Number of households,595
4,2021,E01016212,2021 super output areas - lower layer,151,Number of households,495
5,2021,E01016216,2021 super output areas - lower layer,151,Number of households,550
6,2021,E01016219,2021 super output areas - lower layer,151,Number of households,541
7,2021,E01016220,2021 super output areas - lower layer,151,Number of households,575
8,2021,E01016221,2021 super output areas - lower layer,151,Number of households,573
9,2021,E01016206,2021 super output areas - lower layer,151,Number of households,855
10,2021,E01016208,2021 super output areas - lower layer,151,Number of households,908
11,2021,E01016229,2021 super output areas - lower layer,151,Number of households,489
12,2021,E01016230,2021 super output areas - lower layer,151,Number of households,420
13,2021,E01016207,2021 super output areas - lower layer,151,Number of households,730
14,2021,E01016234,2021 super output areas - lower layer,151,Number of households,450
15,2021,E01016235,2021 super output areas - lower layer,151,Number of households,485
16,2021,E01016236,2021 super output areas - lower layer,151,Number of households,575
17,2021,E01016237,2021 super output areas - lower layer,151,Number of households,472
18,2021,E01016192,2021 super output areas - lower layer,151,Number of households,606
19,2021,E01016194,2021 super output areas - lower layer,151,Number of households,502
20,2021,E01016195,2021 super output areas - lower layer,151,Number of households,484
21,2021,E01016227,2021 super output areas - lower layer,151,Number of households,477
22,2021,E01016228,2021 super output areas - lower layer,151,Number of households,678
23,2021,E01016193,2021 super output areas - lower layer,151,Number of households,532
24,2021,E01016196,2021 super output areas - lower layer,151,Number of households,499
25,2021,E01016197,2021 super output areas - lower layer,151,Number of households,505
26,2021,E01016198,2021 super output areas - lower layer,151,Number of households,516
27,2021,E01016199,2021 super output areas - lower layer,151,Number of households,468
28,2021,E01016277,2021 super output areas - lower layer,151,Number of households,543
29,2021,E01016286,2021 super output areas - lower layer,151,Number of households,651
30,2021,E01016287,2021 super output areas - lower layer,151,Number of households,586
31,2021,E01016288,2021 super output areas - lower layer,151,Number of households,696
32,2021,E01016303,2021 super output areas - lower layer,151,Number of households,632
33,2021,E01016304,2021 super output areas - lower layer,151,Number of households,709
34,2021,E01016305,2021 super output areas - lower layer,151,Number of households,612
35,2021,E01016306,2021 super output areas - lower layer,151,Number of households,554
36,2021,E01016256,2021 super output areas - lower layer,151,Number of households,697
37,2021,E01016257,2021 super output areas - lower layer,151,Number of households,516
38,2021,E01016313,2021 super output areas - lower layer,151,Number of households,751
39,2021,E01016314,2021 super output areas - lower layer,151,Number of households,602
40,2021,E01016315,2021 super output areas - lower layer,151,Number of households,725
41,2021,E01016316,2021 super output areas - lower layer,151,Number of households,800
42,2021,E01016317,2021 super output areas - lower layer,151,Number of households,565
43,2021,E01016318,2021 super output areas - lower layer,151,Number of households,629
44,2021,E01016258,2021 super output areas - lower layer,151,Number of households,684
45,2021,E01016261,2021 super output areas - lower layer,151,Number of households,591
46,2021,E01016349,2021 super output areas - lower layer,151,Number of households,482
47,2021,E01016350,2021 super output areas - lower layer,151,Number of households,587
48,2021,E01016259,2021 super output areas - lower layer,151,Number of households,607
49,2021,E01016260,2021 super output areas - lower layer,151,Number of households,644
50,2021,E01016262,2021 super output areas - lower layer,151,Number of households,535
51,2021,E01016272,2021 super output areas - lower layer,151,Number of households,613
52,2021,E01016273,2021 super output areas - lower layer,151,Number of households,694
53,2021,E01016263,2021 super output areas - lower layer,151,Number of households,895
54,2021,E01016284,2021 super output areas - lower layer,151,Number of households,529
55,2021,E01016285,2021 super output areas - lower layer,151,Number of households,638
56,2021,E01033851,2021 super output areas - lower layer,151,Number of households,981
57,2021,E01016271,2021 super output areas - lower layer,151,Number of households,646
58,2021,E01016274,2021 super output areas - lower layer,151,Number of households,568
59,2021,E01016275,2021 super output areas - lower layer,151,Number of households,655
60,2021,E01016276,2021 super output areas - lower layer,151,Number of households,582
61,2021,E01016327,2021 super output areas - lower layer,151,Number of households,498
62,2021,E01016328,2021 super output areas - lower layer,151,Number of households,796
63,2021,E01016344,2021 super output areas - lower layer,151,Number of households,781
64,2021,E01016345,2021 super output areas - lower layer,151,Number of households,617
65,2021,E01016296,2021 super output areas - lower layer,151,Number of households,748
66,2021,E01016297,2021 super output areas - lower layer,151,Number of households,718
67,2021,E01016298,2021 super output areas - lower layer,151,Number of households,565
68,2021,E01016299,2021 super output areas - lower layer,151,Number of households,661
69,2021,E01016254,2021 super output areas - lower layer,151,Number of households,693
70,2021,E01016255,2021 super output areas - lower layer,151,Number of households,583
71,2021,E01016264,2021 super output areas - lower layer,151,Number of households,415
72,2021,E01016265,2021 super output areas - lower layer,151,Number of households,602
73,2021,E01016266,2021 super output areas - lower layer,151,Number of households,541
74,2021,E01016339,2021 super output areas - lower layer,151,Number of households,1138
75,2021,E01016310,2021 super output areas - lower layer,151,Number of households,883
76,2021,E01016311,2021 super output areas - lower layer,151,Number of households,867
77,2021,E01016323,2021 super output areas - lower layer,151,Number of households,602
78,2021,E01016324,2021 super output areas - lower layer,151,Number of households,591
