,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
0,2021,E01000780,2021 super output areas - lower layer,151,30km to less than 40km,6
1,2021,E01000780,2021 super output areas - lower layer,151,40km to less than 60km,3
2,2021,E01000780,2021 super output areas - lower layer,151,60km and over,3
3,2021,E01000780,2021 super output areas - lower layer,151,Works mainly from home,261
4,2021,E01000780,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",148
5,2021,E01000781,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,699
6,2021,E01000781,2021 super output areas - lower layer,151,Less than 2km,35
7,2021,E01000781,2021 super output areas - lower layer,151,2km to less than 5km,91
8,2021,E01000781,2021 super output areas - lower layer,151,5km to less than 10km,101
9,2021,E01000781,2021 super output areas - lower layer,151,10km to less than 20km,112
10,2021,E01000781,2021 super output areas - lower layer,151,20km to less than 30km,14
11,2021,E01000781,2021 super output areas - lower layer,151,30km to less than 40km,3
12,2021,E01000781,2021 super output areas - lower layer,151,40km to less than 60km,2
13,2021,E01000781,2021 super output areas - lower layer,151,60km and over,4
14,2021,E01000781,2021 super output areas - lower layer,151,Works mainly from home,194
15,2021,E01000781,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",143
16,2021,E01000782,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,679
17,2021,E01000782,2021 super output areas - lower layer,151,Less than 2km,22
18,2021,E01000782,2021 super output areas - lower layer,151,2km to less than 5km,74
19,2021,E01000782,2021 super output areas - lower layer,151,5km to less than 10km,115
20,2021,E01000782,2021 super output areas - lower layer,151,10km to less than 20km,106
21,2021,E01000782,2021 super output areas - lower layer,151,20km to less than 30km,8
22,2021,E01000782,2021 super output areas - lower layer,151,30km to less than 40km,6
23,2021,E01000782,2021 super output areas - lower layer,151,40km to less than 60km,2
24,2021,E01000782,2021 super output areas - lower layer,151,60km and over,4
25,2021,E01000782,2021 super output areas - lower layer,151,Works mainly from home,192
26,2021,E01000782,2021 super output areas - lower layer,151,"Works mainly at an offshore installation, in no fixed place, or outside the UK",150
27,2021,E01000783,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,742
28,2021,E01000783,2021 super output areas - lower layer,151,Less than 2km,33
29,2021,E01000783,2021 super output areas - lower layer,151,2km to less than 5km,102
30,2021,E01000783,2021 super output areas - lower layer,151,5km to less than 10km,98
31,2021,E01000783,2021 super output areas - lower layer,151,10km to less than 20km,137
32,2021,E01000783,2021 super output areas - lower layer,151,20km to less than 30km,11
33,2021,E01000783,2021 super output areas - lower layer,151,30km to less than 40km,2
34,2021,E01000783,2021 super output areas - lower layer,151,40km to less than 60km,2
35,2021,E01000783,2021 super output areas - lower layer,151,60km and over,5
36,2021,E01000783,2021 super output areas - lower layer,151,Works mainly from home,230
