,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HOURS_5_NAME,OBS_VALUE
0,2021,E01016217,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,777
1,2021,E01016217,2021 super output areas - lower layer,151,Part-time,202
2,2021,E01016217,2021 super output areas - lower layer,151,Part-time: 15 hours or less worked,77
3,2021,E01016217,2021 super output areas - lower layer,151,Part-time: 16 to 30 hours worked,125
4,2021,E01016217,2021 super output areas - lower layer,151,Full-time,575
5,2021,E01016217,2021 super output areas - lower layer,151,Full-time: 31 to 48 hours worked,505
6,2021,E01016217,2021 super output areas - lower layer,151,Full-time: 49 or more hours worked,70
7,2021,E01016218,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,716
8,2021,E01016218,2021 super output areas - lower layer,151,Part-time,196
9,2021,E01016218,2021 super output areas - lower layer,151,Part-time: 15 hours or less worked,62
10,2021,E01016218,2021 super output areas - lower layer,151,Part-time: 16 to 30 hours worked,134
11,2021,E01016218,2021 super output areas - lower layer,151,Full-time,520
12,2021,E01016218,2021 super output areas - lower layer,151,Full-time: 31 to 48 hours worked,457
13,2021,E01016218,2021 super output areas - lower layer,151,Full-time: 49 or more hours worked,63
14,2021,E01016231,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1064
15,2021,E01016231,2021 super output areas - lower layer,151,Part-time,256
16,2021,E01016231,2021 super output areas - lower layer,151,Part-time: 15 hours or less worked,84
17,2021,E01016231,2021 super output areas - lower layer,151,Part-time: 16 to 30 hours worked,172
18,2021,E01016231,2021 super output areas - lower layer,151,Full-time,808
19,2021,E01016231,2021 super output areas - lower layer,151,Full-time: 31 to 48 hours worked,690
20,2021,E01016231,2021 super output areas - lower layer,151,Full-time: 49 or more hours worked,118
21,2021,E01016232,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,752
22,2021,E01016232,2021 super output areas - lower layer,151,Part-time,208
23,2021,E01016232,2021 super output areas - lower layer,151,Part-time: 15 hours or less worked,62
24,2021,E01016232,2021 super output areas - lower layer,151,Part-time: 16 to 30 hours worked,146
25,2021,E01016232,2021 super output areas - lower layer,151,Full-time,544
26,2021,E01016232,2021 super output areas - lower layer,151,Full-time: 31 to 48 hours worked,472
27,2021,E01016232,2021 super output areas - lower layer,151,Full-time: 49 or more hours worked,72
28,2021,E01016212,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,662
29,2021,E01016212,2021 super output areas - lower layer,151,Part-time,192
30,2021,E01016212,2021 super output areas - lower layer,151,Part-time: 15 hours or less worked,54
31,2021,E01016212,2021 super output areas - lower layer,151,Part-time: 16 to 30 hours worked,138
32,2021,E01016212,2021 super output areas - lower layer,151,Full-time,470
33,2021,E01016212,2021 super output areas - lower layer,151,Full-time: 31 to 48 hours worked,403
