,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWMETH_12_NAME,OBS_VALUE
0,2021,E01017393,2021 super output areas - lower layer,151,Passenger in a car or van,30
1,2021,E01017393,2021 super output areas - lower layer,151,Bicycle,9
2,2021,E01017393,2021 super output areas - lower layer,151,On foot,33
3,2021,E01017393,2021 super output areas - lower layer,151,Other method of travel to work,5
4,2021,E01017442,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1475
5,2021,E01017442,2021 super output areas - lower layer,151,Work mainly at or from home,582
6,2021,E01017442,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",1
7,2021,E01017442,2021 super output areas - lower layer,151,Train,28
8,2021,E01017442,2021 super output areas - lower layer,151,"Bus, minibus or coach",10
9,2021,E01017442,2021 super output areas - lower layer,151,Taxi,0
10,2021,E01017442,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",7
11,2021,E01017442,2021 super output areas - lower layer,151,Driving a car or van,736
12,2021,E01017442,2021 super output areas - lower layer,151,Passenger in a car or van,45
13,2021,E01017442,2021 super output areas - lower layer,151,Bicycle,5
14,2021,E01017442,2021 super output areas - lower layer,151,On foot,41
15,2021,E01017442,2021 super output areas - lower layer,151,Other method of travel to work,20
16,2021,E01017443,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,915
17,2021,E01017443,2021 super output areas - lower layer,151,Work mainly at or from home,339
18,2021,E01017443,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
19,2021,E01017443,2021 super output areas - lower layer,151,Train,16
20,2021,E01017443,2021 super output areas - lower layer,151,"Bus, minibus or coach",5
21,2021,E01017443,2021 super output areas - lower layer,151,Taxi,1
22,2021,E01017443,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",2
23,2021,E01017443,2021 super output areas - lower layer,151,Driving a car or van,448
24,2021,E01017443,2021 super output areas - lower layer,151,Passenger in a car or van,21
25,2021,E01017443,2021 super output areas - lower layer,151,Bicycle,12
26,2021,E01017443,2021 super output areas - lower layer,151,On foot,65
27,2021,E01017443,2021 super output areas - lower layer,151,Other method of travel to work,6
28,2021,E01017446,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,927
29,2021,E01017446,2021 super output areas - lower layer,151,Work mainly at or from home,273
30,2021,E01017446,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
31,2021,E01017446,2021 super output areas - lower layer,151,Train,13
32,2021,E01017446,2021 super output areas - lower layer,151,"Bus, minibus or coach",3
33,2021,E01017446,2021 super output areas - lower layer,151,Taxi,6
34,2021,E01017446,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",1
35,2021,E01017446,2021 super output areas - lower layer,151,Driving a car or van,525
36,2021,E01017446,2021 super output areas - lower layer,151,Passenger in a car or van,36
37,2021,E01017446,2021 super output areas - lower layer,151,Bicycle,12
38,2021,E01017446,2021 super output areas - lower layer,151,On foot,52
39,2021,E01017446,2021 super output areas - lower layer,151,Other method of travel to work,6
40,2021,E01017447,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1340
41,2021,E01017447,2021 super output areas - lower layer,151,Work mainly at or from home,471
42,2021,E01017447,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
43,2021,E01017447,2021 super output areas - lower layer,151,Train,23
44,2021,E01017447,2021 super output areas - lower layer,151,"Bus, minibus or coach",7
45,2021,E01017447,2021 super output areas - lower layer,151,Taxi,1
46,2021,E01017447,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",1
47,2021,E01017447,2021 super output areas - lower layer,151,Driving a car or van,727
48,2021,E01017447,2021 super output areas - lower layer,151,Passenger in a car or van,36
49,2021,E01017447,2021 super output areas - lower layer,151,Bicycle,9
50,2021,E01017447,2021 super output areas - lower layer,151,On foot,60
51,2021,E01017447,2021 super output areas - lower layer,151,Other method of travel to work,5
52,2021,E01017449,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1097
53,2021,E01017449,2021 super output areas - lower layer,151,Work mainly at or from home,423
54,2021,E01017449,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
55,2021,E01017449,2021 super output areas - lower layer,151,Train,20
56,2021,E01017449,2021 super output areas - lower layer,151,"Bus, minibus or coach",5
57,2021,E01017449,2021 super output areas - lower layer,151,Taxi,1
58,2021,E01017449,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",4
59,2021,E01017449,2021 super output areas - lower layer,151,Driving a car or van,559
60,2021,E01017449,2021 super output areas - lower layer,151,Passenger in a car or van,33
61,2021,E01017449,2021 super output areas - lower layer,151,Bicycle,15
62,2021,E01017449,2021 super output areas - lower layer,151,On foot,31
63,2021,E01017449,2021 super output areas - lower layer,151,Other method of travel to work,6
64,2021,E01033188,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,744
65,2021,E01033188,2021 super output areas - lower layer,151,Work mainly at or from home,281
66,2021,E01033188,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
67,2021,E01033188,2021 super output areas - lower layer,151,Train,16
68,2021,E01033188,2021 super output areas - lower layer,151,"Bus, minibus or coach",1
69,2021,E01033188,2021 super output areas - lower layer,151,Taxi,0
70,2021,E01033188,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",3
71,2021,E01033188,2021 super output areas - lower layer,151,Driving a car or van,381
72,2021,E01033188,2021 super output areas - lower layer,151,Passenger in a car or van,27
73,2021,E01033188,2021 super output areas - lower layer,151,Bicycle,12
74,2021,E01033188,2021 super output areas - lower layer,151,On foot,20
75,2021,E01033188,2021 super output areas - lower layer,151,Other method of travel to work,3
76,2021,E01033189,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1560
77,2021,E01033189,2021 super output areas - lower layer,151,Work mainly at or from home,710
78,2021,E01033189,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",3
79,2021,E01033189,2021 super output areas - lower layer,151,Train,51
80,2021,E01033189,2021 super output areas - lower layer,151,"Bus, minibus or coach",5
81,2021,E01033189,2021 super output areas - lower layer,151,Taxi,2
82,2021,E01033189,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",3
83,2021,E01033189,2021 super output areas - lower layer,151,Driving a car or van,680
84,2021,E01033189,2021 super output areas - lower layer,151,Passenger in a car or van,38
85,2021,E01033189,2021 super output areas - lower layer,151,Bicycle,7
86,2021,E01033189,2021 super output areas - lower layer,151,On foot,49
87,2021,E01033189,2021 super output areas - lower layer,151,Other method of travel to work,12
88,2021,E01033190,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,841
89,2021,E01033190,2021 super output areas - lower layer,151,Work mainly at or from home,408
90,2021,E01033190,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",5
91,2021,E01033190,2021 super output areas - lower layer,151,Train,40
92,2021,E01033190,2021 super output areas - lower layer,151,"Bus, minibus or coach",7
93,2021,E01033190,2021 super output areas - lower layer,151,Taxi,1
94,2021,E01033190,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",4
95,2021,E01033190,2021 super output areas - lower layer,151,Driving a car or van,323
96,2021,E01033190,2021 super output areas - lower layer,151,Passenger in a car or van,14
97,2021,E01033190,2021 super output areas - lower layer,151,Bicycle,5
98,2021,E01033190,2021 super output areas - lower layer,151,On foot,27
99,2021,E01033190,2021 super output areas - lower layer,151,Other method of travel to work,7
100,2021,E01017399,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,841
101,2021,E01017399,2021 super output areas - lower layer,151,Work mainly at or from home,301
102,2021,E01017399,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
103,2021,E01017399,2021 super output areas - lower layer,151,Train,32
104,2021,E01017399,2021 super output areas - lower layer,151,"Bus, minibus or coach",4
105,2021,E01017399,2021 super output areas - lower layer,151,Taxi,1
106,2021,E01017399,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",1
107,2021,E01017399,2021 super output areas - lower layer,151,Driving a car or van,444
108,2021,E01017399,2021 super output areas - lower layer,151,Passenger in a car or van,20
109,2021,E01017399,2021 super output areas - lower layer,151,Bicycle,6
110,2021,E01017399,2021 super output areas - lower layer,151,On foot,25
111,2021,E01017399,2021 super output areas - lower layer,151,Other method of travel to work,7
112,2021,E01017400,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,677
113,2021,E01017400,2021 super output areas - lower layer,151,Work mainly at or from home,157
114,2021,E01017400,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",1
115,2021,E01017400,2021 super output areas - lower layer,151,Train,23
116,2021,E01017400,2021 super output areas - lower layer,151,"Bus, minibus or coach",7
117,2021,E01017400,2021 super output areas - lower layer,151,Taxi,3
118,2021,E01017400,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",5
119,2021,E01017400,2021 super output areas - lower layer,151,Driving a car or van,344
120,2021,E01017400,2021 super output areas - lower layer,151,Passenger in a car or van,35
121,2021,E01017400,2021 super output areas - lower layer,151,Bicycle,6
122,2021,E01017400,2021 super output areas - lower layer,151,On foot,82
123,2021,E01017400,2021 super output areas - lower layer,151,Other method of travel to work,14
124,2021,E01017401,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,669
125,2021,E01017401,2021 super output areas - lower layer,151,Work mainly at or from home,277
126,2021,E01017401,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
127,2021,E01017401,2021 super output areas - lower layer,151,Train,30
128,2021,E01017401,2021 super output areas - lower layer,151,"Bus, minibus or coach",3
129,2021,E01017401,2021 super output areas - lower layer,151,Taxi,0
130,2021,E01017401,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",1
131,2021,E01017401,2021 super output areas - lower layer,151,Driving a car or van,298
132,2021,E01017401,2021 super output areas - lower layer,151,Passenger in a car or van,22
133,2021,E01017401,2021 super output areas - lower layer,151,Bicycle,5
134,2021,E01017401,2021 super output areas - lower layer,151,On foot,28
135,2021,E01017401,2021 super output areas - lower layer,151,Other method of travel to work,5
136,2021,E01017402,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,753
137,2021,E01017402,2021 super output areas - lower layer,151,Work mainly at or from home,294
138,2021,E01017402,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",3
139,2021,E01017402,2021 super output areas - lower layer,151,Train,24
140,2021,E01017402,2021 super output areas - lower layer,151,"Bus, minibus or coach",10
141,2021,E01017402,2021 super output areas - lower layer,151,Taxi,0
142,2021,E01017402,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",3
143,2021,E01017402,2021 super output areas - lower layer,151,Driving a car or van,347
144,2021,E01017402,2021 super output areas - lower layer,151,Passenger in a car or van,26
145,2021,E01017402,2021 super output areas - lower layer,151,Bicycle,8
146,2021,E01017402,2021 super output areas - lower layer,151,On foot,35
147,2021,E01017402,2021 super output areas - lower layer,151,Other method of travel to work,3
148,2021,E01017403,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,733
149,2021,E01017403,2021 super output areas - lower layer,151,Work mainly at or from home,226
150,2021,E01017403,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",1
151,2021,E01017403,2021 super output areas - lower layer,151,Train,27
152,2021,E01017403,2021 super output areas - lower layer,151,"Bus, minibus or coach",6
153,2021,E01017403,2021 super output areas - lower layer,151,Taxi,1
154,2021,E01017403,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",4
155,2021,E01017403,2021 super output areas - lower layer,151,Driving a car or van,389
156,2021,E01017403,2021 super output areas - lower layer,151,Passenger in a car or van,20
157,2021,E01017403,2021 super output areas - lower layer,151,Bicycle,1
158,2021,E01017403,2021 super output areas - lower layer,151,On foot,50
159,2021,E01017403,2021 super output areas - lower layer,151,Other method of travel to work,8
160,2021,E01017404,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,619
161,2021,E01017404,2021 super output areas - lower layer,151,Work mainly at or from home,283
162,2021,E01017404,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
163,2021,E01017404,2021 super output areas - lower layer,151,Train,20
164,2021,E01017404,2021 super output areas - lower layer,151,"Bus, minibus or coach",0
165,2021,E01017404,2021 super output areas - lower layer,151,Taxi,0
166,2021,E01017404,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",0
167,2021,E01017404,2021 super output areas - lower layer,151,Driving a car or van,269
168,2021,E01017404,2021 super output areas - lower layer,151,Passenger in a car or van,13
169,2021,E01017404,2021 super output areas - lower layer,151,Bicycle,5
170,2021,E01017404,2021 super output areas - lower layer,151,On foot,25
171,2021,E01017404,2021 super output areas - lower layer,151,Other method of travel to work,4
172,2021,E01017405,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,780
173,2021,E01017405,2021 super output areas - lower layer,151,Work mainly at or from home,252
174,2021,E01017405,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
175,2021,E01017405,2021 super output areas - lower layer,151,Train,33
176,2021,E01017405,2021 super output areas - lower layer,151,"Bus, minibus or coach",8
177,2021,E01017405,2021 super output areas - lower layer,151,Taxi,0
178,2021,E01017405,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",4
179,2021,E01017405,2021 super output areas - lower layer,151,Driving a car or van,405
180,2021,E01017405,2021 super output areas - lower layer,151,Passenger in a car or van,15
181,2021,E01017405,2021 super output areas - lower layer,151,Bicycle,7
182,2021,E01017405,2021 super output areas - lower layer,151,On foot,50
183,2021,E01017405,2021 super output areas - lower layer,151,Other method of travel to work,6
184,2021,E01017406,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1534
185,2021,E01017406,2021 super output areas - lower layer,151,Work mainly at or from home,628
186,2021,E01017406,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",2
187,2021,E01017406,2021 super output areas - lower layer,151,Train,69
188,2021,E01017406,2021 super output areas - lower layer,151,"Bus, minibus or coach",8
189,2021,E01017406,2021 super output areas - lower layer,151,Taxi,2
190,2021,E01017406,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",5
191,2021,E01017406,2021 super output areas - lower layer,151,Driving a car or van,705
192,2021,E01017406,2021 super output areas - lower layer,151,Passenger in a car or van,38
193,2021,E01017406,2021 super output areas - lower layer,151,Bicycle,5
194,2021,E01017406,2021 super output areas - lower layer,151,On foot,58
195,2021,E01017406,2021 super output areas - lower layer,151,Other method of travel to work,14
196,2021,E01017407,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,851
197,2021,E01017407,2021 super output areas - lower layer,151,Work mainly at or from home,330
198,2021,E01017407,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",1
199,2021,E01017407,2021 super output areas - lower layer,151,Train,44
200,2021,E01017407,2021 super output areas - lower layer,151,"Bus, minibus or coach",5
201,2021,E01017407,2021 super output areas - lower layer,151,Taxi,1
202,2021,E01017407,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",2
203,2021,E01017407,2021 super output areas - lower layer,151,Driving a car or van,381
204,2021,E01017407,2021 super output areas - lower layer,151,Passenger in a car or van,32
205,2021,E01017407,2021 super output areas - lower layer,151,Bicycle,4
206,2021,E01017407,2021 super output areas - lower layer,151,On foot,46
207,2021,E01017407,2021 super output areas - lower layer,151,Other method of travel to work,5
208,2021,E01017398,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,1264
209,2021,E01017398,2021 super output areas - lower layer,151,Work mainly at or from home,579
210,2021,E01017398,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",2
211,2021,E01017398,2021 super output areas - lower layer,151,Train,24
212,2021,E01017398,2021 super output areas - lower layer,151,"Bus, minibus or coach",3
213,2021,E01017398,2021 super output areas - lower layer,151,Taxi,0
214,2021,E01017398,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",1
215,2021,E01017398,2021 super output areas - lower layer,151,Driving a car or van,565
216,2021,E01017398,2021 super output areas - lower layer,151,Passenger in a car or van,35
217,2021,E01017398,2021 super output areas - lower layer,151,Bicycle,8
218,2021,E01017398,2021 super output areas - lower layer,151,On foot,34
219,2021,E01017398,2021 super output areas - lower layer,151,Other method of travel to work,13
220,2021,E01017408,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,554
221,2021,E01017408,2021 super output areas - lower layer,151,Work mainly at or from home,246
222,2021,E01017408,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
223,2021,E01017408,2021 super output areas - lower layer,151,Train,24
224,2021,E01017408,2021 super output areas - lower layer,151,"Bus, minibus or coach",2
225,2021,E01017408,2021 super output areas - lower layer,151,Taxi,0
226,2021,E01017408,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",0
227,2021,E01017408,2021 super output areas - lower layer,151,Driving a car or van,247
228,2021,E01017408,2021 super output areas - lower layer,151,Passenger in a car or van,5
229,2021,E01017408,2021 super output areas - lower layer,151,Bicycle,4
230,2021,E01017408,2021 super output areas - lower layer,151,On foot,20
231,2021,E01017408,2021 super output areas - lower layer,151,Other method of travel to work,6
232,2021,E01017409,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,576
233,2021,E01017409,2021 super output areas - lower layer,151,Work mainly at or from home,232
234,2021,E01017409,2021 super output areas - lower layer,151,"Underground, metro, light rail, tram",0
235,2021,E01017409,2021 super output areas - lower layer,151,Train,26
236,2021,E01017409,2021 super output areas - lower layer,151,"Bus, minibus or coach",2
237,2021,E01017409,2021 super output areas - lower layer,151,Taxi,0
238,2021,E01017409,2021 super output areas - lower layer,151,"Motorcycle, scooter or moped",0
