,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCC_10_NAME,OBS_VALUE
0,2021,E01013883,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,596
1,2021,E01013883,2021 super output areas - lower layer,151,"1. Managers, directors and senior officials",50
2,2021,E01013883,2021 super output areas - lower layer,151,2. Professional occupations,52
3,2021,E01013883,2021 super output areas - lower layer,151,3. Associate professional and technical occupations,50
4,2021,E01013883,2021 super output areas - lower layer,151,4. Administrative and secretarial occupations,56
5,2021,E01013883,2021 super output areas - lower layer,151,5. Skilled trades occupations,64
6,2021,E01013883,2021 super output areas - lower layer,151,"6. Caring, leisure and other service occupations",88
7,2021,E01013883,2021 super output areas - lower layer,151,7. Sales and customer service occupations,65
8,2021,E01013883,2021 super output areas - lower layer,151,"8. Process, plant and machine operatives",58
9,2021,E01013883,2021 super output areas - lower layer,151,9. Elementary occupations,113
10,2021,E01013884,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,586
11,2021,E01013884,2021 super output areas - lower layer,151,"1. Managers, directors and senior officials",30
12,2021,E01013884,2021 super output areas - lower layer,151,2. Professional occupations,47
13,2021,E01013884,2021 super output areas - lower layer,151,3. Associate professional and technical occupations,58
14,2021,E01013884,2021 super output areas - lower layer,151,4. Administrative and secretarial occupations,50
15,2021,E01013884,2021 super output areas - lower layer,151,5. Skilled trades occupations,64
16,2021,E01013884,2021 super output areas - lower layer,151,"6. Caring, leisure and other service occupations",88
17,2021,E01013884,2021 super output areas - lower layer,151,7. Sales and customer service occupations,63
18,2021,E01013884,2021 super output areas - lower layer,151,"8. Process, plant and machine operatives",62
19,2021,E01013884,2021 super output areas - lower layer,151,9. Elementary occupations,124
20,2021,E01013853,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,642
21,2021,E01013853,2021 super output areas - lower layer,151,"1. Managers, directors and senior officials",46
22,2021,E01013853,2021 super output areas - lower layer,151,2. Professional occupations,97
23,2021,E01013853,2021 super output areas - lower layer,151,3. Associate professional and technical occupations,55
24,2021,E01013853,2021 super output areas - lower layer,151,4. Administrative and secretarial occupations,54
25,2021,E01013853,2021 super output areas - lower layer,151,5. Skilled trades occupations,72
26,2021,E01013853,2021 super output areas - lower layer,151,"6. Caring, leisure and other service occupations",94
27,2021,E01013853,2021 super output areas - lower layer,151,7. Sales and customer service occupations,54
28,2021,E01013853,2021 super output areas - lower layer,151,"8. Process, plant and machine operatives",57
29,2021,E01013853,2021 super output areas - lower layer,151,9. Elementary occupations,113
30,2021,E01013854,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,631
31,2021,E01013854,2021 super output areas - lower layer,151,"1. Managers, directors and senior officials",54
32,2021,E01013854,2021 super output areas - lower layer,151,2. Professional occupations,60
33,2021,E01013854,2021 super output areas - lower layer,151,3. Associate professional and technical occupations,61
34,2021,E01013854,2021 super output areas - lower layer,151,4. Administrative and secretarial occupations,44
35,2021,E01013854,2021 super output areas - lower layer,151,5. Skilled trades occupations,84
36,2021,E01013854,2021 super output areas - lower layer,151,"6. Caring, leisure and other service occupations",107
37,2021,E01013854,2021 super output areas - lower layer,151,7. Sales and customer service occupations,53
38,2021,E01013854,2021 super output areas - lower layer,151,"8. Process, plant and machine operatives",46
39,2021,E01013854,2021 super output areas - lower layer,151,9. Elementary occupations,122
40,2021,E01013855,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,579
41,2021,E01013855,2021 super output areas - lower layer,151,"1. Managers, directors and senior officials",26
42,2021,E01013855,2021 super output areas - lower layer,151,2. Professional occupations,39
43,2021,E01013855,2021 super output areas - lower layer,151,3. Associate professional and technical occupations,44
44,2021,E01013855,2021 super output areas - lower layer,151,4. Administrative and secretarial occupations,38
45,2021,E01013855,2021 super output areas - lower layer,151,5. Skilled trades occupations,46
46,2021,E01013855,2021 super output areas - lower layer,151,"6. Caring, leisure and other service occupations",122
47,2021,E01013855,2021 super output areas - lower layer,151,7. Sales and customer service occupations,76
48,2021,E01013855,2021 super output areas - lower layer,151,"8. Process, plant and machine operatives",60
49,2021,E01013855,2021 super output areas - lower layer,151,9. Elementary occupations,128
50,2021,E01013856,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,728
51,2021,E01013856,2021 super output areas - lower layer,151,"1. Managers, directors and senior officials",54
52,2021,E01013856,2021 super output areas - lower layer,151,2. Professional occupations,94
53,2021,E01013856,2021 super output areas - lower layer,151,3. Associate professional and technical occupations,75
54,2021,E01013856,2021 super output areas - lower layer,151,4. Administrative and secretarial occupations,61
55,2021,E01013856,2021 super output areas - lower layer,151,5. Skilled trades occupations,68
56,2021,E01013856,2021 super output areas - lower layer,151,"6. Caring, leisure and other service occupations",99
57,2021,E01013856,2021 super output areas - lower layer,151,7. Sales and customer service occupations,82
58,2021,E01013856,2021 super output areas - lower layer,151,"8. Process, plant and machine operatives",69
59,2021,E01013856,2021 super output areas - lower layer,151,9. Elementary occupations,126
60,2021,E01033397,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over in employment the week before the census,899
