,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_STUDENT_3_NAME,OBS_VALUE
0,2021,E01010599,2021 super output areas - lower layer,151,Student,339
1,2021,E01010599,2021 super output areas - lower layer,151,Not a student,942
2,2021,E01010600,2021 super output areas - lower layer,151,Total,1355
3,2021,E01010600,2021 super output areas - lower layer,151,Student,366
4,2021,E01010600,2021 super output areas - lower layer,151,Not a student,989
5,2021,E01010602,2021 super output areas - lower layer,151,Total,1529
6,2021,E01010602,2021 super output areas - lower layer,151,Student,359
7,2021,E01010602,2021 super output areas - lower layer,151,Not a student,1170
8,2021,E01010670,2021 super output areas - lower layer,151,Total,1726
9,2021,E01010670,2021 super output areas - lower layer,151,Student,480
10,2021,E01010670,2021 super output areas - lower layer,151,Not a student,1246
11,2021,E01010671,2021 super output areas - lower layer,151,Total,1593
12,2021,E01010671,2021 super output areas - lower layer,151,Student,462
13,2021,E01010671,2021 super output areas - lower layer,151,Not a student,1131
14,2021,E01010673,2021 super output areas - lower layer,151,Total,1814
15,2021,E01010673,2021 super output areas - lower layer,151,Student,560
16,2021,E01010673,2021 super output areas - lower layer,151,Not a student,1254
17,2021,E01010675,2021 super output areas - lower layer,151,Total,2032
18,2021,E01010675,2021 super output areas - lower layer,151,Student,514
19,2021,E01010675,2021 super output areas - lower layer,151,Not a student,1518
20,2021,E01010669,2021 super output areas - lower layer,151,Total,2033
21,2021,E01010669,2021 super output areas - lower layer,151,Student,685
22,2021,E01010669,2021 super output areas - lower layer,151,Not a student,1348
23,2021,E01010674,2021 super output areas - lower layer,151,Total,2056
24,2021,E01010674,2021 super output areas - lower layer,151,Student,779
25,2021,E01010674,2021 super output areas - lower layer,151,Not a student,1277
26,2021,E01010805,2021 super output areas - lower layer,151,Total,1692
27,2021,E01010805,2021 super output areas - lower layer,151,Student,475
28,2021,E01010805,2021 super output areas - lower layer,151,Not a student,1217
29,2021,E01033898,2021 super output areas - lower layer,151,Total,1397
30,2021,E01033898,2021 super output areas - lower layer,151,Student,446
31,2021,E01033898,2021 super output areas - lower layer,151,Not a student,951
32,2021,E01033899,2021 super output areas - lower layer,151,Total,1420
33,2021,E01033899,2021 super output areas - lower layer,151,Student,608
34,2021,E01033899,2021 super output areas - lower layer,151,Not a student,812
35,2021,E01010590,2021 super output areas - lower layer,151,Total,2071
36,2021,E01010590,2021 super output areas - lower layer,151,Student,351
37,2021,E01010590,2021 super output areas - lower layer,151,Not a student,1720
38,2021,E01010592,2021 super output areas - lower layer,151,Total,1591
39,2021,E01010592,2021 super output areas - lower layer,151,Student,271
40,2021,E01010592,2021 super output areas - lower layer,151,Not a student,1320
41,2021,E01010594,2021 super output areas - lower layer,151,Total,1603
42,2021,E01010594,2021 super output areas - lower layer,151,Student,292
43,2021,E01010594,2021 super output areas - lower layer,151,Not a student,1311
44,2021,E01010595,2021 super output areas - lower layer,151,Total,2011
45,2021,E01010595,2021 super output areas - lower layer,151,Student,415
46,2021,E01010595,2021 super output areas - lower layer,151,Not a student,1596
47,2021,E01010601,2021 super output areas - lower layer,151,Total,1688
48,2021,E01010601,2021 super output areas - lower layer,151,Student,405
49,2021,E01010601,2021 super output areas - lower layer,151,Not a student,1283
50,2021,E01010651,2021 super output areas - lower layer,151,Total,1560
51,2021,E01010651,2021 super output areas - lower layer,151,Student,363
52,2021,E01010651,2021 super output areas - lower layer,151,Not a student,1197
53,2021,E01010825,2021 super output areas - lower layer,151,Total,1422
54,2021,E01010825,2021 super output areas - lower layer,151,Student,349
55,2021,E01010825,2021 super output areas - lower layer,151,Not a student,1073
56,2021,E01010827,2021 super output areas - lower layer,151,Total,1450
57,2021,E01010827,2021 super output areas - lower layer,151,Student,417
58,2021,E01010827,2021 super output areas - lower layer,151,Not a student,1033
59,2021,E01010804,2021 super output areas - lower layer,151,Total,2132
60,2021,E01010804,2021 super output areas - lower layer,151,Student,611
61,2021,E01010804,2021 super output areas - lower layer,151,Not a student,1521
62,2021,E01010806,2021 super output areas - lower layer,151,Total,1544
63,2021,E01010806,2021 super output areas - lower layer,151,Student,461
64,2021,E01010806,2021 super output areas - lower layer,151,Not a student,1083
65,2021,E01010807,2021 super output areas - lower layer,151,Total,2135
66,2021,E01010807,2021 super output areas - lower layer,151,Student,611
67,2021,E01010807,2021 super output areas - lower layer,151,Not a student,1524
68,2021,E01010808,2021 super output areas - lower layer,151,Total,2157
69,2021,E01010808,2021 super output areas - lower layer,151,Student,774
70,2021,E01010808,2021 super output areas - lower layer,151,Not a student,1383
71,2021,E01010809,2021 super output areas - lower layer,151,Total,1995
72,2021,E01010809,2021 super output areas - lower layer,151,Student,603
73,2021,E01010809,2021 super output areas - lower layer,151,Not a student,1392
74,2021,E01010676,2021 super output areas - lower layer,151,Total,2247
75,2021,E01010676,2021 super output areas - lower layer,151,Student,675
76,2021,E01010676,2021 super output areas - lower layer,151,Not a student,1572
77,2021,E01010679,2021 super output areas - lower layer,151,Total,1986
78,2021,E01010679,2021 super output areas - lower layer,151,Student,592
79,2021,E01010679,2021 super output areas - lower layer,151,Not a student,1394
80,2021,E01010824,2021 super output areas - lower layer,151,Total,1759
81,2021,E01010824,2021 super output areas - lower layer,151,Student,425
82,2021,E01010824,2021 super output areas - lower layer,151,Not a student,1334
83,2021,E01010840,2021 super output areas - lower layer,151,Total,1720
84,2021,E01010840,2021 super output areas - lower layer,151,Student,487
85,2021,E01010840,2021 super output areas - lower layer,151,Not a student,1233
86,2021,E01010841,2021 super output areas - lower layer,151,Total,1709
87,2021,E01010841,2021 super output areas - lower layer,151,Student,502
88,2021,E01010841,2021 super output areas - lower layer,151,Not a student,1207
89,2021,E01010828,2021 super output areas - lower layer,151,Total,1530
90,2021,E01010828,2021 super output areas - lower layer,151,Student,360
91,2021,E01010828,2021 super output areas - lower layer,151,Not a student,1170
92,2021,E01010829,2021 super output areas - lower layer,151,Total,1563
93,2021,E01010829,2021 super output areas - lower layer,151,Student,460
94,2021,E01010829,2021 super output areas - lower layer,151,Not a student,1103
95,2021,E01010830,2021 super output areas - lower layer,151,Total,2226
96,2021,E01010830,2021 super output areas - lower layer,151,Student,888
97,2021,E01010830,2021 super output areas - lower layer,151,Not a student,1338
98,2021,E01010831,2021 super output areas - lower layer,151,Total,2006
99,2021,E01010831,2021 super output areas - lower layer,151,Student,639
100,2021,E01010831,2021 super output areas - lower layer,151,Not a student,1367
101,2021,E01010832,2021 super output areas - lower layer,151,Total,2280
102,2021,E01010832,2021 super output areas - lower layer,151,Student,853
103,2021,E01010832,2021 super output areas - lower layer,151,Not a student,1427
104,2021,E01010672,2021 super output areas - lower layer,151,Total,1271
105,2021,E01010672,2021 super output areas - lower layer,151,Student,275
106,2021,E01010672,2021 super output areas - lower layer,151,Not a student,996
107,2021,E01010678,2021 super output areas - lower layer,151,Total,1304
108,2021,E01010678,2021 super output areas - lower layer,151,Student,298
109,2021,E01010678,2021 super output areas - lower layer,151,Not a student,1006
110,2021,E01010799,2021 super output areas - lower layer,151,Total,1485
111,2021,E01010799,2021 super output areas - lower layer,151,Student,345
112,2021,E01010799,2021 super output areas - lower layer,151,Not a student,1140
113,2021,E01010800,2021 super output areas - lower layer,151,Total,1693
114,2021,E01010800,2021 super output areas - lower layer,151,Student,519
115,2021,E01010800,2021 super output areas - lower layer,151,Not a student,1174
116,2021,E01010801,2021 super output areas - lower layer,151,Total,1864
117,2021,E01010801,2021 super output areas - lower layer,151,Student,560
118,2021,E01010801,2021 super output areas - lower layer,151,Not a student,1304
119,2021,E01010802,2021 super output areas - lower layer,151,Total,1841
120,2021,E01010802,2021 super output areas - lower layer,151,Student,512
121,2021,E01010802,2021 super output areas - lower layer,151,Not a student,1329
122,2021,E01010803,2021 super output areas - lower layer,151,Total,1711
123,2021,E01010803,2021 super output areas - lower layer,151,Student,497
124,2021,E01010803,2021 super output areas - lower layer,151,Not a student,1214
125,2021,E01010810,2021 super output areas - lower layer,151,Total,2058
126,2021,E01010810,2021 super output areas - lower layer,151,Student,679
127,2021,E01010810,2021 super output areas - lower layer,151,Not a student,1379
128,2021,E01010811,2021 super output areas - lower layer,151,Total,2053
129,2021,E01010811,2021 super output areas - lower layer,151,Student,731
130,2021,E01010811,2021 super output areas - lower layer,151,Not a student,1322
131,2021,E01010813,2021 super output areas - lower layer,151,Total,1756
132,2021,E01010813,2021 super output areas - lower layer,151,Student,577
133,2021,E01010813,2021 super output areas - lower layer,151,Not a student,1179
134,2021,E01010618,2021 super output areas - lower layer,151,Total,1654
135,2021,E01010618,2021 super output areas - lower layer,151,Student,529
136,2021,E01010618,2021 super output areas - lower layer,151,Not a student,1125
137,2021,E01010619,2021 super output areas - lower layer,151,Total,2019
138,2021,E01010619,2021 super output areas - lower layer,151,Student,658
139,2021,E01010619,2021 super output areas - lower layer,151,Not a student,1361
140,2021,E01010625,2021 super output areas - lower layer,151,Total,1692
141,2021,E01010625,2021 super output areas - lower layer,151,Student,640
142,2021,E01010625,2021 super output areas - lower layer,151,Not a student,1052
143,2021,E01010626,2021 super output areas - lower layer,151,Total,1954
144,2021,E01010626,2021 super output areas - lower layer,151,Student,688
145,2021,E01010626,2021 super output areas - lower layer,151,Not a student,1266
146,2021,E01010627,2021 super output areas - lower layer,151,Total,1514
147,2021,E01010627,2021 super output areas - lower layer,151,Student,419
148,2021,E01010627,2021 super output areas - lower layer,151,Not a student,1095
149,2021,E01010628,2021 super output areas - lower layer,151,Total,1721
150,2021,E01010628,2021 super output areas - lower layer,151,Student,412
151,2021,E01010628,2021 super output areas - lower layer,151,Not a student,1309
152,2021,E01010629,2021 super output areas - lower layer,151,Total,2171
153,2021,E01010629,2021 super output areas - lower layer,151,Student,699
154,2021,E01010629,2021 super output areas - lower layer,151,Not a student,1472
155,2021,E01010630,2021 super output areas - lower layer,151,Total,1747
156,2021,E01010630,2021 super output areas - lower layer,151,Student,537
157,2021,E01010630,2021 super output areas - lower layer,151,Not a student,1210
158,2021,E01010631,2021 super output areas - lower layer,151,Total,1492
159,2021,E01010631,2021 super output areas - lower layer,151,Student,477
160,2021,E01010631,2021 super output areas - lower layer,151,Not a student,1015
161,2021,E01010632,2021 super output areas - lower layer,151,Total,1373
162,2021,E01010632,2021 super output areas - lower layer,151,Student,417
163,2021,E01010632,2021 super output areas - lower layer,151,Not a student,956
164,2021,E01010658,2021 super output areas - lower layer,151,Total,1830
165,2021,E01010658,2021 super output areas - lower layer,151,Student,610
166,2021,E01010658,2021 super output areas - lower layer,151,Not a student,1220
167,2021,E01010812,2021 super output areas - lower layer,151,Total,1856
168,2021,E01010812,2021 super output areas - lower layer,151,Student,595
169,2021,E01010812,2021 super output areas - lower layer,151,Not a student,1261
170,2021,E01010833,2021 super output areas - lower layer,151,Total,1626
171,2021,E01010833,2021 super output areas - lower layer,151,Student,537
172,2021,E01010833,2021 super output areas - lower layer,151,Not a student,1089
173,2021,E01010843,2021 super output areas - lower layer,151,Total,1913
174,2021,E01010843,2021 super output areas - lower layer,151,Student,670
175,2021,E01010843,2021 super output areas - lower layer,151,Not a student,1243
176,2021,E01010620,2021 super output areas - lower layer,151,Total,1864
177,2021,E01010620,2021 super output areas - lower layer,151,Student,610
178,2021,E01010620,2021 super output areas - lower layer,151,Not a student,1254
179,2021,E01010621,2021 super output areas - lower layer,151,Total,2175
180,2021,E01010621,2021 super output areas - lower layer,151,Student,812
181,2021,E01010621,2021 super output areas - lower layer,151,Not a student,1363
182,2021,E01010622,2021 super output areas - lower layer,151,Total,2384
183,2021,E01010622,2021 super output areas - lower layer,151,Student,829
184,2021,E01010622,2021 super output areas - lower layer,151,Not a student,1555
185,2021,E01010623,2021 super output areas - lower layer,151,Total,1573
186,2021,E01010623,2021 super output areas - lower layer,151,Student,493
187,2021,E01010623,2021 super output areas - lower layer,151,Not a student,1080
188,2021,E01010624,2021 super output areas - lower layer,151,Total,2037
189,2021,E01010624,2021 super output areas - lower layer,151,Student,662
190,2021,E01010624,2021 super output areas - lower layer,151,Not a student,1375
191,2021,E01010794,2021 super output areas - lower layer,151,Total,1878
192,2021,E01010794,2021 super output areas - lower layer,151,Student,388
193,2021,E01010794,2021 super output areas - lower layer,151,Not a student,1490
