,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_LARPUK11_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All categories: Living arrangements,5127
1,2001,E02002559,2001 super output areas - middle layer,305,Living in a couple,3668
2,2001,E02002559,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3240
3,2001,E02002559,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,428
4,2001,E02002559,2001 super output areas - middle layer,305,Not living in a couple,1459
5,2001,E02002559,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),832
6,2001,E02002559,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,29
7,2001,E02002559,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),68
8,2001,E02002559,2001 super output areas - middle layer,305,Not living in a couple: Divorced,218
9,2001,E02002559,2001 super output areas - middle layer,305,Not living in a couple: Widowed,312
10,2001,E02002560,2001 super output areas - middle layer,305,All categories: Living arrangements,4670
11,2001,E02002560,2001 super output areas - middle layer,305,Living in a couple,3200
12,2001,E02002560,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2642
13,2001,E02002560,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,558
14,2001,E02002560,2001 super output areas - middle layer,305,Not living in a couple,1470
15,2001,E02002560,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),818
16,2001,E02002560,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,17
17,2001,E02002560,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),84
18,2001,E02002560,2001 super output areas - middle layer,305,Not living in a couple: Divorced,246
19,2001,E02002560,2001 super output areas - middle layer,305,Not living in a couple: Widowed,305
20,2001,E02002561,2001 super output areas - middle layer,305,All categories: Living arrangements,4773
21,2001,E02002561,2001 super output areas - middle layer,305,Living in a couple,3260
22,2001,E02002561,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2820
23,2001,E02002561,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,440
24,2001,E02002561,2001 super output areas - middle layer,305,Not living in a couple,1513
25,2001,E02002561,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),867
26,2001,E02002561,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,13
27,2001,E02002561,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),83
28,2001,E02002561,2001 super output areas - middle layer,305,Not living in a couple: Divorced,290
29,2001,E02002561,2001 super output areas - middle layer,305,Not living in a couple: Widowed,260
30,2001,E02002562,2001 super output areas - middle layer,305,All categories: Living arrangements,4677
31,2001,E02002562,2001 super output areas - middle layer,305,Living in a couple,2606
32,2001,E02002562,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2030
33,2001,E02002562,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,576
34,2001,E02002562,2001 super output areas - middle layer,305,Not living in a couple,2071
35,2001,E02002562,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1042
36,2001,E02002562,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,25
37,2001,E02002562,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),164
38,2001,E02002562,2001 super output areas - middle layer,305,Not living in a couple: Divorced,397
39,2001,E02002562,2001 super output areas - middle layer,305,Not living in a couple: Widowed,443
40,2001,E02002563,2001 super output areas - middle layer,305,All categories: Living arrangements,4350
41,2001,E02002563,2001 super output areas - middle layer,305,Living in a couple,2662
42,2001,E02002563,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2212
43,2001,E02002563,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,450
44,2001,E02002563,2001 super output areas - middle layer,305,Not living in a couple,1688
45,2001,E02002563,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),826
46,2001,E02002563,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,15
47,2001,E02002563,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),95
48,2001,E02002563,2001 super output areas - middle layer,305,Not living in a couple: Divorced,322
49,2001,E02002563,2001 super output areas - middle layer,305,Not living in a couple: Widowed,430
50,2001,E02002564,2001 super output areas - middle layer,305,All categories: Living arrangements,7188
51,2001,E02002564,2001 super output areas - middle layer,305,Living in a couple,4252
52,2001,E02002564,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3560
53,2001,E02002564,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,692
54,2001,E02002564,2001 super output areas - middle layer,305,Not living in a couple,2936
55,2001,E02002564,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1469
56,2001,E02002564,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,46
57,2001,E02002564,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),171
58,2001,E02002564,2001 super output areas - middle layer,305,Not living in a couple: Divorced,518
