,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_LARPUK11_NAME,OBS_VALUE
0,2001,E02005892,2001 super output areas - middle layer,305,All categories: Living arrangements,7365
1,2001,E02005892,2001 super output areas - middle layer,305,Living in a couple,5278
2,2001,E02005892,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4722
3,2001,E02005892,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,556
4,2001,E02005892,2001 super output areas - middle layer,305,Not living in a couple,2087
5,2001,E02005892,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1137
6,2001,E02005892,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,25
7,2001,E02005892,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),90
8,2001,E02005892,2001 super output areas - middle layer,305,Not living in a couple: Divorced,264
9,2001,E02005892,2001 super output areas - middle layer,305,Not living in a couple: Widowed,571
10,2001,E02005893,2001 super output areas - middle layer,305,All categories: Living arrangements,7780
11,2001,E02005893,2001 super output areas - middle layer,305,Living in a couple,5006
12,2001,E02005893,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4236
13,2001,E02005893,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,770
14,2001,E02005893,2001 super output areas - middle layer,305,Not living in a couple,2774
15,2001,E02005893,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1454
16,2001,E02005893,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,38
17,2001,E02005893,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),142
18,2001,E02005893,2001 super output areas - middle layer,305,Not living in a couple: Divorced,466
19,2001,E02005893,2001 super output areas - middle layer,305,Not living in a couple: Widowed,674
20,2001,E02005894,2001 super output areas - middle layer,305,All categories: Living arrangements,6674
21,2001,E02005894,2001 super output areas - middle layer,305,Living in a couple,4528
22,2001,E02005894,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3878
23,2001,E02005894,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,650
24,2001,E02005894,2001 super output areas - middle layer,305,Not living in a couple,2146
25,2001,E02005894,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1112
26,2001,E02005894,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,39
27,2001,E02005894,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),134
28,2001,E02005894,2001 super output areas - middle layer,305,Not living in a couple: Divorced,318
29,2001,E02005894,2001 super output areas - middle layer,305,Not living in a couple: Widowed,543
30,2001,E02005895,2001 super output areas - middle layer,305,All categories: Living arrangements,6213
31,2001,E02005895,2001 super output areas - middle layer,305,Living in a couple,4506
32,2001,E02005895,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3946
33,2001,E02005895,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,560
34,2001,E02005895,2001 super output areas - middle layer,305,Not living in a couple,1707
35,2001,E02005895,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),917
36,2001,E02005895,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,38
37,2001,E02005895,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),74
38,2001,E02005895,2001 super output areas - middle layer,305,Not living in a couple: Divorced,240
39,2001,E02005895,2001 super output areas - middle layer,305,Not living in a couple: Widowed,438
40,2001,E02005896,2001 super output areas - middle layer,305,All categories: Living arrangements,5367
41,2001,E02005896,2001 super output areas - middle layer,305,Living in a couple,3748
42,2001,E02005896,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3360
43,2001,E02005896,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,388
44,2001,E02005896,2001 super output areas - middle layer,305,Not living in a couple,1619
45,2001,E02005896,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),823
46,2001,E02005896,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,31
47,2001,E02005896,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),69
48,2001,E02005896,2001 super output areas - middle layer,305,Not living in a couple: Divorced,230
49,2001,E02005896,2001 super output areas - middle layer,305,Not living in a couple: Widowed,466
50,2001,E02005897,2001 super output areas - middle layer,305,All categories: Living arrangements,6515
51,2001,E02005897,2001 super output areas - middle layer,305,Living in a couple,4603
52,2001,E02005897,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4002
53,2001,E02005897,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,601
54,2001,E02005897,2001 super output areas - middle layer,305,Not living in a couple,1912
55,2001,E02005897,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),972
56,2001,E02005897,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,40
57,2001,E02005897,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),102
58,2001,E02005897,2001 super output areas - middle layer,305,Not living in a couple: Divorced,291
59,2001,E02005897,2001 super output areas - middle layer,305,Not living in a couple: Widowed,507
60,2001,E02005898,2001 super output areas - middle layer,305,All categories: Living arrangements,8400
61,2001,E02005898,2001 super output areas - middle layer,305,Living in a couple,5540
62,2001,E02005898,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4514
63,2001,E02005898,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,1026
64,2001,E02005898,2001 super output areas - middle layer,305,Not living in a couple,2860
65,2001,E02005898,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1519
66,2001,E02005898,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,46
67,2001,E02005898,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),168
68,2001,E02005898,2001 super output areas - middle layer,305,Not living in a couple: Divorced,509
69,2001,E02005898,2001 super output areas - middle layer,305,Not living in a couple: Widowed,618
70,2001,E02005899,2001 super output areas - middle layer,305,All categories: Living arrangements,7741
71,2001,E02005899,2001 super output areas - middle layer,305,Living in a couple,4382
72,2001,E02005899,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3290
73,2001,E02005899,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,1092
74,2001,E02005899,2001 super output areas - middle layer,305,Not living in a couple,3359
75,2001,E02005899,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1740
76,2001,E02005899,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,61
77,2001,E02005899,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),185
78,2001,E02005899,2001 super output areas - middle layer,305,Not living in a couple: Divorced,674
79,2001,E02005899,2001 super output areas - middle layer,305,Not living in a couple: Widowed,699
80,2001,E02005900,2001 super output areas - middle layer,305,All categories: Living arrangements,5251
81,2001,E02005900,2001 super output areas - middle layer,305,Living in a couple,3490
82,2001,E02005900,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3186
83,2001,E02005900,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,304
84,2001,E02005900,2001 super output areas - middle layer,305,Not living in a couple,1761
85,2001,E02005900,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),926
86,2001,E02005900,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,26
87,2001,E02005900,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),73
88,2001,E02005900,2001 super output areas - middle layer,305,Not living in a couple: Divorced,247
89,2001,E02005900,2001 super output areas - middle layer,305,Not living in a couple: Widowed,489
90,2001,E02005901,2001 super output areas - middle layer,305,All categories: Living arrangements,5922
91,2001,E02005901,2001 super output areas - middle layer,305,Living in a couple,3892
92,2001,E02005901,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3106
93,2001,E02005901,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,786
94,2001,E02005901,2001 super output areas - middle layer,305,Not living in a couple,2030
95,2001,E02005901,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1076
96,2001,E02005901,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,26
97,2001,E02005901,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),113
98,2001,E02005901,2001 super output areas - middle layer,305,Not living in a couple: Divorced,389
99,2001,E02005901,2001 super output areas - middle layer,305,Not living in a couple: Widowed,426
100,2001,E02005902,2001 super output areas - middle layer,305,All categories: Living arrangements,6198
101,2001,E02005902,2001 super output areas - middle layer,305,Living in a couple,3864
102,2001,E02005902,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3220
103,2001,E02005902,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,644
104,2001,E02005902,2001 super output areas - middle layer,305,Not living in a couple,2334
105,2001,E02005902,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1161
106,2001,E02005902,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,33
107,2001,E02005902,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),126
108,2001,E02005902,2001 super output areas - middle layer,305,Not living in a couple: Divorced,393
109,2001,E02005902,2001 super output areas - middle layer,305,Not living in a couple: Widowed,621
110,2001,E02005903,2001 super output areas - middle layer,305,All categories: Living arrangements,7978
111,2001,E02005903,2001 super output areas - middle layer,305,Living in a couple,5416
112,2001,E02005903,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4588
113,2001,E02005903,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,828
114,2001,E02005903,2001 super output areas - middle layer,305,Not living in a couple,2562
115,2001,E02005903,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1302
116,2001,E02005903,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,33
117,2001,E02005903,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),124
118,2001,E02005903,2001 super output areas - middle layer,305,Not living in a couple: Divorced,452
119,2001,E02005903,2001 super output areas - middle layer,305,Not living in a couple: Widowed,651
120,2001,E02005904,2001 super output areas - middle layer,305,All categories: Living arrangements,4925
121,2001,E02005904,2001 super output areas - middle layer,305,Living in a couple,3498
122,2001,E02005904,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3098
123,2001,E02005904,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,400
124,2001,E02005904,2001 super output areas - middle layer,305,Not living in a couple,1427
125,2001,E02005904,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),733
126,2001,E02005904,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,17
127,2001,E02005904,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),85
128,2001,E02005904,2001 super output areas - middle layer,305,Not living in a couple: Divorced,203
129,2001,E02005904,2001 super output areas - middle layer,305,Not living in a couple: Widowed,389
130,2001,E02005905,2001 super output areas - middle layer,305,All categories: Living arrangements,4561
131,2001,E02005905,2001 super output areas - middle layer,305,Living in a couple,3284
132,2001,E02005905,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2932
133,2001,E02005905,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,352
134,2001,E02005905,2001 super output areas - middle layer,305,Not living in a couple,1277
135,2001,E02005905,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),691
136,2001,E02005905,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,25
137,2001,E02005905,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),54
138,2001,E02005905,2001 super output areas - middle layer,305,Not living in a couple: Divorced,173
139,2001,E02005905,2001 super output areas - middle layer,305,Not living in a couple: Widowed,334
140,2001,E02005906,2001 super output areas - middle layer,305,All categories: Living arrangements,4743
141,2001,E02005906,2001 super output areas - middle layer,305,Living in a couple,3470
142,2001,E02005906,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3048
143,2001,E02005906,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,422
144,2001,E02005906,2001 super output areas - middle layer,305,Not living in a couple,1273
145,2001,E02005906,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),667
146,2001,E02005906,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,27
147,2001,E02005906,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),64
148,2001,E02005906,2001 super output areas - middle layer,305,Not living in a couple: Divorced,214
149,2001,E02005906,2001 super output areas - middle layer,305,Not living in a couple: Widowed,301
150,2001,E02005907,2001 super output areas - middle layer,305,All categories: Living arrangements,6796
151,2001,E02005907,2001 super output areas - middle layer,305,Living in a couple,4592
152,2001,E02005907,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3840
153,2001,E02005907,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,752
154,2001,E02005907,2001 super output areas - middle layer,305,Not living in a couple,2204
155,2001,E02005907,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1186
156,2001,E02005907,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,28
157,2001,E02005907,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),157
158,2001,E02005907,2001 super output areas - middle layer,305,Not living in a couple: Divorced,358
159,2001,E02005907,2001 super output areas - middle layer,305,Not living in a couple: Widowed,475
160,2001,E02005908,2001 super output areas - middle layer,305,All categories: Living arrangements,6709
161,2001,E02005908,2001 super output areas - middle layer,305,Living in a couple,4628
162,2001,E02005908,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4044
163,2001,E02005908,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,584
