,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_ETHPUK11_NAME,OBS_VALUE
0,2001,E02005438,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,3
1,2001,E02005438,2001 super output areas - middle layer,305,Black/Black British: Black African,0
2,2001,E02005438,2001 super output areas - middle layer,305,Black/Black British: Other,0
3,2001,E02005438,2001 super output areas - middle layer,305,Chinese/Other,14
4,2001,E02005438,2001 super output areas - middle layer,305,Chinese/Other: Chinese,0
5,2001,E02005438,2001 super output areas - middle layer,305,Chinese/Other: Other,14
6,2001,E02005439,2001 super output areas - middle layer,305,All categories: Ethnic group,9516
7,2001,E02005439,2001 super output areas - middle layer,305,White,9424
8,2001,E02005439,2001 super output areas - middle layer,305,White: British,9269
9,2001,E02005439,2001 super output areas - middle layer,305,White: Irish,50
10,2001,E02005439,2001 super output areas - middle layer,305,White: Other,105
11,2001,E02005439,2001 super output areas - middle layer,305,Mixed,46
12,2001,E02005439,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,9
13,2001,E02005439,2001 super output areas - middle layer,305,Mixed: White and Black African,8
14,2001,E02005439,2001 super output areas - middle layer,305,Mixed: White and Asian,18
15,2001,E02005439,2001 super output areas - middle layer,305,Mixed: Other,11
16,2001,E02005439,2001 super output areas - middle layer,305,Asian/Asian British,14
17,2001,E02005439,2001 super output areas - middle layer,305,Asian/Asian British: Indian,7
18,2001,E02005439,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,4
19,2001,E02005439,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,3
20,2001,E02005439,2001 super output areas - middle layer,305,Asian/Asian British: Other,0
21,2001,E02005439,2001 super output areas - middle layer,305,Black/Black British,12
22,2001,E02005439,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,5
23,2001,E02005439,2001 super output areas - middle layer,305,Black/Black British: Black African,4
24,2001,E02005439,2001 super output areas - middle layer,305,Black/Black British: Other,3
25,2001,E02005439,2001 super output areas - middle layer,305,Chinese/Other,20
26,2001,E02005439,2001 super output areas - middle layer,305,Chinese/Other: Chinese,17
27,2001,E02005439,2001 super output areas - middle layer,305,Chinese/Other: Other,3
28,2001,E02005440,2001 super output areas - middle layer,305,All categories: Ethnic group,5265
29,2001,E02005440,2001 super output areas - middle layer,305,White,5196
30,2001,E02005440,2001 super output areas - middle layer,305,White: British,5156
31,2001,E02005440,2001 super output areas - middle layer,305,White: Irish,17
32,2001,E02005440,2001 super output areas - middle layer,305,White: Other,23
33,2001,E02005440,2001 super output areas - middle layer,305,Mixed,41
34,2001,E02005440,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,21
35,2001,E02005440,2001 super output areas - middle layer,305,Mixed: White and Black African,0
36,2001,E02005440,2001 super output areas - middle layer,305,Mixed: White and Asian,12
37,2001,E02005440,2001 super output areas - middle layer,305,Mixed: Other,8
38,2001,E02005440,2001 super output areas - middle layer,305,Asian/Asian British,10
39,2001,E02005440,2001 super output areas - middle layer,305,Asian/Asian British: Indian,10
40,2001,E02005440,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,0
41,2001,E02005440,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
42,2001,E02005440,2001 super output areas - middle layer,305,Asian/Asian British: Other,0
43,2001,E02005440,2001 super output areas - middle layer,305,Black/Black British,7
44,2001,E02005440,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,3
45,2001,E02005440,2001 super output areas - middle layer,305,Black/Black British: Black African,4
46,2001,E02005440,2001 super output areas - middle layer,305,Black/Black British: Other,0
47,2001,E02005440,2001 super output areas - middle layer,305,Chinese/Other,11
48,2001,E02005440,2001 super output areas - middle layer,305,Chinese/Other: Chinese,6
49,2001,E02005440,2001 super output areas - middle layer,305,Chinese/Other: Other,5
50,2001,E02005441,2001 super output areas - middle layer,305,All categories: Ethnic group,8283
51,2001,E02005441,2001 super output areas - middle layer,305,White,8196
52,2001,E02005441,2001 super output areas - middle layer,305,White: British,8098
53,2001,E02005441,2001 super output areas - middle layer,305,White: Irish,38
54,2001,E02005441,2001 super output areas - middle layer,305,White: Other,60
55,2001,E02005441,2001 super output areas - middle layer,305,Mixed,25
56,2001,E02005441,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,10
57,2001,E02005441,2001 super output areas - middle layer,305,Mixed: White and Black African,3
58,2001,E02005441,2001 super output areas - middle layer,305,Mixed: White and Asian,8
59,2001,E02005441,2001 super output areas - middle layer,305,Mixed: Other,4
60,2001,E02005441,2001 super output areas - middle layer,305,Asian/Asian British,40
61,2001,E02005441,2001 super output areas - middle layer,305,Asian/Asian British: Indian,20
62,2001,E02005441,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,17
63,2001,E02005441,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
64,2001,E02005441,2001 super output areas - middle layer,305,Asian/Asian British: Other,3
65,2001,E02005441,2001 super output areas - middle layer,305,Black/Black British,12
66,2001,E02005441,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,0
67,2001,E02005441,2001 super output areas - middle layer,305,Black/Black British: Black African,9
68,2001,E02005441,2001 super output areas - middle layer,305,Black/Black British: Other,3
69,2001,E02005441,2001 super output areas - middle layer,305,Chinese/Other,10
70,2001,E02005441,2001 super output areas - middle layer,305,Chinese/Other: Chinese,3
71,2001,E02005441,2001 super output areas - middle layer,305,Chinese/Other: Other,7
72,2001,E02005442,2001 super output areas - middle layer,305,All categories: Ethnic group,5925
73,2001,E02005442,2001 super output areas - middle layer,305,White,5872
74,2001,E02005442,2001 super output areas - middle layer,305,White: British,5786
75,2001,E02005442,2001 super output areas - middle layer,305,White: Irish,60
76,2001,E02005442,2001 super output areas - middle layer,305,White: Other,26
77,2001,E02005442,2001 super output areas - middle layer,305,Mixed,26
78,2001,E02005442,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,13
79,2001,E02005442,2001 super output areas - middle layer,305,Mixed: White and Black African,5
80,2001,E02005442,2001 super output areas - middle layer,305,Mixed: White and Asian,5
81,2001,E02005442,2001 super output areas - middle layer,305,Mixed: Other,3
82,2001,E02005442,2001 super output areas - middle layer,305,Asian/Asian British,21
83,2001,E02005442,2001 super output areas - middle layer,305,Asian/Asian British: Indian,12
84,2001,E02005442,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,3
85,2001,E02005442,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
86,2001,E02005442,2001 super output areas - middle layer,305,Asian/Asian British: Other,6
87,2001,E02005442,2001 super output areas - middle layer,305,Black/Black British,3
88,2001,E02005442,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,0
89,2001,E02005442,2001 super output areas - middle layer,305,Black/Black British: Black African,3
90,2001,E02005442,2001 super output areas - middle layer,305,Black/Black British: Other,0
91,2001,E02005442,2001 super output areas - middle layer,305,Chinese/Other,3
92,2001,E02005442,2001 super output areas - middle layer,305,Chinese/Other: Chinese,3
93,2001,E02005442,2001 super output areas - middle layer,305,Chinese/Other: Other,0
94,2001,E02005443,2001 super output areas - middle layer,305,All categories: Ethnic group,5749
95,2001,E02005443,2001 super output areas - middle layer,305,White,5566
96,2001,E02005443,2001 super output areas - middle layer,305,White: British,5464
97,2001,E02005443,2001 super output areas - middle layer,305,White: Irish,52
98,2001,E02005443,2001 super output areas - middle layer,305,White: Other,50
99,2001,E02005443,2001 super output areas - middle layer,305,Mixed,32
100,2001,E02005443,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,11
101,2001,E02005443,2001 super output areas - middle layer,305,Mixed: White and Black African,0
102,2001,E02005443,2001 super output areas - middle layer,305,Mixed: White and Asian,9
103,2001,E02005443,2001 super output areas - middle layer,305,Mixed: Other,12
104,2001,E02005443,2001 super output areas - middle layer,305,Asian/Asian British,51
105,2001,E02005443,2001 super output areas - middle layer,305,Asian/Asian British: Indian,23
106,2001,E02005443,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,12
107,2001,E02005443,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,3
108,2001,E02005443,2001 super output areas - middle layer,305,Asian/Asian British: Other,13
109,2001,E02005443,2001 super output areas - middle layer,305,Black/Black British,23
110,2001,E02005443,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,6
111,2001,E02005443,2001 super output areas - middle layer,305,Black/Black British: Black African,9
112,2001,E02005443,2001 super output areas - middle layer,305,Black/Black British: Other,8
113,2001,E02005443,2001 super output areas - middle layer,305,Chinese/Other,77
114,2001,E02005443,2001 super output areas - middle layer,305,Chinese/Other: Chinese,64
115,2001,E02005443,2001 super output areas - middle layer,305,Chinese/Other: Other,13
116,2001,E02005444,2001 super output areas - middle layer,305,All categories: Ethnic group,10874
117,2001,E02005444,2001 super output areas - middle layer,305,White,10565
118,2001,E02005444,2001 super output areas - middle layer,305,White: British,10252
119,2001,E02005444,2001 super output areas - middle layer,305,White: Irish,102
120,2001,E02005444,2001 super output areas - middle layer,305,White: Other,211
121,2001,E02005444,2001 super output areas - middle layer,305,Mixed,110
122,2001,E02005444,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,33
123,2001,E02005444,2001 super output areas - middle layer,305,Mixed: White and Black African,10
124,2001,E02005444,2001 super output areas - middle layer,305,Mixed: White and Asian,45
125,2001,E02005444,2001 super output areas - middle layer,305,Mixed: Other,22
126,2001,E02005444,2001 super output areas - middle layer,305,Asian/Asian British,115
127,2001,E02005444,2001 super output areas - middle layer,305,Asian/Asian British: Indian,49
128,2001,E02005444,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,36
129,2001,E02005444,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,7
130,2001,E02005444,2001 super output areas - middle layer,305,Asian/Asian British: Other,23
131,2001,E02005444,2001 super output areas - middle layer,305,Black/Black British,36
132,2001,E02005444,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,15
133,2001,E02005444,2001 super output areas - middle layer,305,Black/Black British: Black African,10
134,2001,E02005444,2001 super output areas - middle layer,305,Black/Black British: Other,11
135,2001,E02005444,2001 super output areas - middle layer,305,Chinese/Other,48
136,2001,E02005444,2001 super output areas - middle layer,305,Chinese/Other: Chinese,28
137,2001,E02005444,2001 super output areas - middle layer,305,Chinese/Other: Other,20
138,2001,E02005445,2001 super output areas - middle layer,305,All categories: Ethnic group,9808
139,2001,E02005445,2001 super output areas - middle layer,305,White,9476
140,2001,E02005445,2001 super output areas - middle layer,305,White: British,9226
141,2001,E02005445,2001 super output areas - middle layer,305,White: Irish,112
142,2001,E02005445,2001 super output areas - middle layer,305,White: Other,138
143,2001,E02005445,2001 super output areas - middle layer,305,Mixed,79
144,2001,E02005445,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,43
145,2001,E02005445,2001 super output areas - middle layer,305,Mixed: White and Black African,10
146,2001,E02005445,2001 super output areas - middle layer,305,Mixed: White and Asian,12
147,2001,E02005445,2001 super output areas - middle layer,305,Mixed: Other,14
148,2001,E02005445,2001 super output areas - middle layer,305,Asian/Asian British,130
149,2001,E02005445,2001 super output areas - middle layer,305,Asian/Asian British: Indian,83
150,2001,E02005445,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,10
151,2001,E02005445,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,18
152,2001,E02005445,2001 super output areas - middle layer,305,Asian/Asian British: Other,19
153,2001,E02005445,2001 super output areas - middle layer,305,Black/Black British,35
154,2001,E02005445,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,14
155,2001,E02005445,2001 super output areas - middle layer,305,Black/Black British: Black African,17
156,2001,E02005445,2001 super output areas - middle layer,305,Black/Black British: Other,4
157,2001,E02005445,2001 super output areas - middle layer,305,Chinese/Other,88
158,2001,E02005445,2001 super output areas - middle layer,305,Chinese/Other: Chinese,52
159,2001,E02005445,2001 super output areas - middle layer,305,Chinese/Other: Other,36
160,2001,E02005446,2001 super output areas - middle layer,305,All categories: Ethnic group,5856
161,2001,E02005446,2001 super output areas - middle layer,305,White,5656
162,2001,E02005446,2001 super output areas - middle layer,305,White: British,5423
163,2001,E02005446,2001 super output areas - middle layer,305,White: Irish,90
164,2001,E02005446,2001 super output areas - middle layer,305,White: Other,143
165,2001,E02005446,2001 super output areas - middle layer,305,Mixed,65
166,2001,E02005446,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,21
167,2001,E02005446,2001 super output areas - middle layer,305,Mixed: White and Black African,6
168,2001,E02005446,2001 super output areas - middle layer,305,Mixed: White and Asian,17
169,2001,E02005446,2001 super output areas - middle layer,305,Mixed: Other,21
170,2001,E02005446,2001 super output areas - middle layer,305,Asian/Asian British,52
171,2001,E02005446,2001 super output areas - middle layer,305,Asian/Asian British: Indian,31
172,2001,E02005446,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,15
173,2001,E02005446,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,0
174,2001,E02005446,2001 super output areas - middle layer,305,Asian/Asian British: Other,6
175,2001,E02005446,2001 super output areas - middle layer,305,Black/Black British,29
176,2001,E02005446,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,14
177,2001,E02005446,2001 super output areas - middle layer,305,Black/Black British: Black African,11
178,2001,E02005446,2001 super output areas - middle layer,305,Black/Black British: Other,4
179,2001,E02005446,2001 super output areas - middle layer,305,Chinese/Other,54
