,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_RELPUK11_NAME,OBS_VALUE
0,2001,E02005892,2001 super output areas - middle layer,305,All categories: Religion,8818
1,2001,E02005892,2001 super output areas - middle layer,305,Christian,7018
2,2001,E02005892,2001 super output areas - middle layer,305,Buddhist,16
3,2001,E02005892,2001 super output areas - middle layer,305,Hindu,75
4,2001,E02005892,2001 super output areas - middle layer,305,Jewish,0
5,2001,E02005892,2001 super output areas - middle layer,305,Muslim,32
6,2001,E02005892,2001 super output areas - middle layer,305,Sikh,12
7,2001,E02005892,2001 super output areas - middle layer,305,Other religion,11
8,2001,E02005892,2001 super output areas - middle layer,305,No religion,981
9,2001,E02005892,2001 super output areas - middle layer,305,Religion not stated,673
10,2001,E02005893,2001 super output areas - middle layer,305,All categories: Religion,10097
11,2001,E02005893,2001 super output areas - middle layer,305,Christian,8078
12,2001,E02005893,2001 super output areas - middle layer,305,Buddhist,9
13,2001,E02005893,2001 super output areas - middle layer,305,Hindu,0
14,2001,E02005893,2001 super output areas - middle layer,305,Jewish,0
15,2001,E02005893,2001 super output areas - middle layer,305,Muslim,3
16,2001,E02005893,2001 super output areas - middle layer,305,Sikh,9
17,2001,E02005893,2001 super output areas - middle layer,305,Other religion,13
18,2001,E02005893,2001 super output areas - middle layer,305,No religion,1370
19,2001,E02005893,2001 super output areas - middle layer,305,Religion not stated,615
20,2001,E02005894,2001 super output areas - middle layer,305,All categories: Religion,8426
21,2001,E02005894,2001 super output areas - middle layer,305,Christian,6714
22,2001,E02005894,2001 super output areas - middle layer,305,Buddhist,7
23,2001,E02005894,2001 super output areas - middle layer,305,Hindu,3
24,2001,E02005894,2001 super output areas - middle layer,305,Jewish,0
25,2001,E02005894,2001 super output areas - middle layer,305,Muslim,20
26,2001,E02005894,2001 super output areas - middle layer,305,Sikh,12
27,2001,E02005894,2001 super output areas - middle layer,305,Other religion,13
28,2001,E02005894,2001 super output areas - middle layer,305,No religion,1025
29,2001,E02005894,2001 super output areas - middle layer,305,Religion not stated,632
30,2001,E02005895,2001 super output areas - middle layer,305,All categories: Religion,7669
31,2001,E02005895,2001 super output areas - middle layer,305,Christian,6342
32,2001,E02005895,2001 super output areas - middle layer,305,Buddhist,8
33,2001,E02005895,2001 super output areas - middle layer,305,Hindu,0
34,2001,E02005895,2001 super output areas - middle layer,305,Jewish,4
35,2001,E02005895,2001 super output areas - middle layer,305,Muslim,3
36,2001,E02005895,2001 super output areas - middle layer,305,Sikh,0
37,2001,E02005895,2001 super output areas - middle layer,305,Other religion,6
38,2001,E02005895,2001 super output areas - middle layer,305,No religion,742
