,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HOURS_NAME,OBS_VALUE
0,2001,E02002129,2001 super output areas - middle layer,305,All males aged 16-74 in employment,1583.0
1,2001,E02002129,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,5.0
2,2001,E02002129,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,26.0
3,2001,E02002129,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,70.0
4,2001,E02002129,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,269.0
5,2001,E02002129,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,904.0
6,2001,E02002129,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,309.0
7,2001,E02002129,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1267.0
8,2001,E02002129,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,15.0
9,2001,E02002129,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,180.0
10,2001,E02002129,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,393.0
11,2001,E02002129,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,317.0
12,2001,E02002129,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,315.0
13,2001,E02002129,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,47.0
14,2001,E02002129,2001 super output areas - middle layer,305,Male - Mean hours worked,41.96
15,2001,E02002129,2001 super output areas - middle layer,305,Female - Mean hours worked,29.87
16,2001,E02002130,2001 super output areas - middle layer,305,All males aged 16-74 in employment,1363.0
17,2001,E02002130,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,6.0
18,2001,E02002130,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,26.0
19,2001,E02002130,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,63.0
20,2001,E02002130,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,206.0
21,2001,E02002130,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,797.0
22,2001,E02002130,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,265.0
23,2001,E02002130,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1050.0
24,2001,E02002130,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,19.0
25,2001,E02002130,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,129.0
26,2001,E02002130,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,332.0
27,2001,E02002130,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,236.0
28,2001,E02002130,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,303.0
29,2001,E02002130,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,31.0
30,2001,E02002130,2001 super output areas - middle layer,305,Male - Mean hours worked,41.79
