,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_OCCPUK11_2_NAME,OBS_VALUE
0,2001,E02005892,2001 super output areas - middle layer,305,All categories: Occupation,2274
1,2001,E02005892,2001 super output areas - middle layer,305,1. Managers and senior officials,542
2,2001,E02005892,2001 super output areas - middle layer,305,2. Professional occupations,340
3,2001,E02005892,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,347
4,2001,E02005892,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,110
5,2001,E02005892,2001 super output areas - middle layer,305,5. Skilled trades occupations,416
6,2001,E02005892,2001 super output areas - middle layer,305,6. Personal service occupations,35
7,2001,E02005892,2001 super output areas - middle layer,305,7. Sales and customer service occupations,82
8,2001,E02005892,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",245
9,2001,E02005892,2001 super output areas - middle layer,305,9. Elementary occupations,157
10,2001,E02005893,2001 super output areas - middle layer,305,All categories: Occupation,2164
11,2001,E02005893,2001 super output areas - middle layer,305,1. Managers and senior officials,222
12,2001,E02005893,2001 super output areas - middle layer,305,2. Professional occupations,86
13,2001,E02005893,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,174
14,2001,E02005893,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,45
15,2001,E02005893,2001 super output areas - middle layer,305,5. Skilled trades occupations,519
16,2001,E02005893,2001 super output areas - middle layer,305,6. Personal service occupations,61
17,2001,E02005893,2001 super output areas - middle layer,305,7. Sales and customer service occupations,53
18,2001,E02005893,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",532
19,2001,E02005893,2001 super output areas - middle layer,305,9. Elementary occupations,472
20,2001,E02005894,2001 super output areas - middle layer,305,All categories: Occupation,1857
21,2001,E02005894,2001 super output areas - middle layer,305,1. Managers and senior officials,276
22,2001,E02005894,2001 super output areas - middle layer,305,2. Professional occupations,120
23,2001,E02005894,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,194
24,2001,E02005894,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,90
25,2001,E02005894,2001 super output areas - middle layer,305,5. Skilled trades occupations,427
26,2001,E02005894,2001 super output areas - middle layer,305,6. Personal service occupations,53
27,2001,E02005894,2001 super output areas - middle layer,305,7. Sales and customer service occupations,66
28,2001,E02005894,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",367
29,2001,E02005894,2001 super output areas - middle layer,305,9. Elementary occupations,264
30,2001,E02005895,2001 super output areas - middle layer,305,All categories: Occupation,2053
31,2001,E02005895,2001 super output areas - middle layer,305,1. Managers and senior officials,505
32,2001,E02005895,2001 super output areas - middle layer,305,2. Professional occupations,254
33,2001,E02005895,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,201
34,2001,E02005895,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,57
35,2001,E02005895,2001 super output areas - middle layer,305,5. Skilled trades occupations,511
36,2001,E02005895,2001 super output areas - middle layer,305,6. Personal service occupations,30
37,2001,E02005895,2001 super output areas - middle layer,305,7. Sales and customer service occupations,50
38,2001,E02005895,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",248
39,2001,E02005895,2001 super output areas - middle layer,305,9. Elementary occupations,197
40,2001,E02005896,2001 super output areas - middle layer,305,All categories: Occupation,1676
41,2001,E02005896,2001 super output areas - middle layer,305,1. Managers and senior officials,416
42,2001,E02005896,2001 super output areas - middle layer,305,2. Professional occupations,229
43,2001,E02005896,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,194
44,2001,E02005896,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,64
45,2001,E02005896,2001 super output areas - middle layer,305,5. Skilled trades occupations,364
46,2001,E02005896,2001 super output areas - middle layer,305,6. Personal service occupations,17
47,2001,E02005896,2001 super output areas - middle layer,305,7. Sales and customer service occupations,39
48,2001,E02005896,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",212
49,2001,E02005896,2001 super output areas - middle layer,305,9. Elementary occupations,141
