,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_NSSEC_NAME,OBS_VALUE
0,2001,E02005942,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",819
1,2001,E02005942,2001 super output areas - middle layer,305,Intermediate occupations,187
2,2001,E02005942,2001 super output areas - middle layer,305,Small employers and own account workers,130
3,2001,E02005942,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,55
4,2001,E02005942,2001 super output areas - middle layer,305,Semi-routine occupations,121
5,2001,E02005942,2001 super output areas - middle layer,305,Routine occupations,95
6,2001,E02005942,2001 super output areas - middle layer,305,Never worked,57
7,2001,E02005942,2001 super output areas - middle layer,305,Long-term unemployed,25
8,2001,E02005942,2001 super output areas - middle layer,305,Full-time students,1870
9,2001,E02005942,2001 super output areas - middle layer,305,Not classifiable for other reasons,360
10,2001,E02005943,2001 super output areas - middle layer,305,All categories: NS-SeC,4648
11,2001,E02005943,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,136
12,2001,E02005943,2001 super output areas - middle layer,305,Higher professional occupations,574
13,2001,E02005943,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",858
14,2001,E02005943,2001 super output areas - middle layer,305,Intermediate occupations,403
15,2001,E02005943,2001 super output areas - middle layer,305,Small employers and own account workers,229
16,2001,E02005943,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,293
17,2001,E02005943,2001 super output areas - middle layer,305,Semi-routine occupations,423
18,2001,E02005943,2001 super output areas - middle layer,305,Routine occupations,360
19,2001,E02005943,2001 super output areas - middle layer,305,Never worked,83
20,2001,E02005943,2001 super output areas - middle layer,305,Long-term unemployed,25
21,2001,E02005943,2001 super output areas - middle layer,305,Full-time students,546
22,2001,E02005943,2001 super output areas - middle layer,305,Not classifiable for other reasons,718
23,2001,E02005944,2001 super output areas - middle layer,305,All categories: NS-SeC,4047
24,2001,E02005944,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,97
25,2001,E02005944,2001 super output areas - middle layer,305,Higher professional occupations,211
26,2001,E02005944,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",604
27,2001,E02005944,2001 super output areas - middle layer,305,Intermediate occupations,353
28,2001,E02005944,2001 super output areas - middle layer,305,Small employers and own account workers,204
