,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_NSSEC_NAME,OBS_VALUE
0,2001,E02002448,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,20
1,2001,E02002448,2001 super output areas - middle layer,305,Higher professional occupations,17
2,2001,E02002448,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",270
3,2001,E02002448,2001 super output areas - middle layer,305,Intermediate occupations,237
4,2001,E02002448,2001 super output areas - middle layer,305,Small employers and own account workers,47
5,2001,E02002448,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,144
6,2001,E02002448,2001 super output areas - middle layer,305,Semi-routine occupations,634
7,2001,E02002448,2001 super output areas - middle layer,305,Routine occupations,407
8,2001,E02002448,2001 super output areas - middle layer,305,Never worked,130
9,2001,E02002448,2001 super output areas - middle layer,305,Long-term unemployed,29
10,2001,E02002448,2001 super output areas - middle layer,305,Full-time students,115
11,2001,E02002448,2001 super output areas - middle layer,305,Not classifiable for other reasons,738
12,2001,E02002449,2001 super output areas - middle layer,305,All categories: NS-SeC,2802
13,2001,E02002449,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,42
14,2001,E02002449,2001 super output areas - middle layer,305,Higher professional occupations,41
15,2001,E02002449,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",469
16,2001,E02002449,2001 super output areas - middle layer,305,Intermediate occupations,398
17,2001,E02002449,2001 super output areas - middle layer,305,Small employers and own account workers,69
18,2001,E02002449,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,152
19,2001,E02002449,2001 super output areas - middle layer,305,Semi-routine occupations,570
20,2001,E02002449,2001 super output areas - middle layer,305,Routine occupations,292
21,2001,E02002449,2001 super output areas - middle layer,305,Never worked,62
22,2001,E02002449,2001 super output areas - middle layer,305,Long-term unemployed,17
23,2001,E02002449,2001 super output areas - middle layer,305,Full-time students,114
24,2001,E02002449,2001 super output areas - middle layer,305,Not classifiable for other reasons,576
25,2001,E02002450,2001 super output areas - middle layer,305,All categories: NS-SeC,2177
26,2001,E02002450,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,34
27,2001,E02002450,2001 super output areas - middle layer,305,Higher professional occupations,35
28,2001,E02002450,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",346
29,2001,E02002450,2001 super output areas - middle layer,305,Intermediate occupations,336
30,2001,E02002450,2001 super output areas - middle layer,305,Small employers and own account workers,60
31,2001,E02002450,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,106
32,2001,E02002450,2001 super output areas - middle layer,305,Semi-routine occupations,381
33,2001,E02002450,2001 super output areas - middle layer,305,Routine occupations,275
34,2001,E02002450,2001 super output areas - middle layer,305,Never worked,45
35,2001,E02002450,2001 super output areas - middle layer,305,Long-term unemployed,9
36,2001,E02002450,2001 super output areas - middle layer,305,Full-time students,113
37,2001,E02002450,2001 super output areas - middle layer,305,Not classifiable for other reasons,437
