,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHCHUK11_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All households,2664.0
1,2001,E02002559,2001 super output areas - middle layer,305,Average household size,2.35
2,2001,E02002559,2001 super output areas - middle layer,305,Average number of rooms per household,6.12
3,2001,E02002559,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,48.0
4,2001,E02002559,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2570.0
5,2001,E02002559,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,5.0
6,2001,E02002559,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,88.0
7,2001,E02002559,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,3.0
8,2001,E02002559,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,28.0
9,2001,E02002559,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2583.0
10,2001,E02002559,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,53.0
11,2001,E02002559,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
12,2001,E02002560,2001 super output areas - middle layer,305,All households,2422.0
13,2001,E02002560,2001 super output areas - middle layer,305,Average household size,2.42
14,2001,E02002560,2001 super output areas - middle layer,305,Average number of rooms per household,5.4
15,2001,E02002560,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,61.0
16,2001,E02002560,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2210.0
17,2001,E02002560,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
18,2001,E02002560,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,209.0
19,2001,E02002560,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,3.0
20,2001,E02002560,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,7.0
21,2001,E02002560,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2380.0
22,2001,E02002560,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,35.0
23,2001,E02002560,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
24,2001,E02002561,2001 super output areas - middle layer,305,All households,2468.0
25,2001,E02002561,2001 super output areas - middle layer,305,Average household size,2.42
26,2001,E02002561,2001 super output areas - middle layer,305,Average number of rooms per household,5.43
27,2001,E02002561,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,65.0
28,2001,E02002561,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2395.0
29,2001,E02002561,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,3.0
30,2001,E02002561,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,72.0
31,2001,E02002561,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,0.0
32,2001,E02002561,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,3.0
33,2001,E02002561,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2364.0
34,2001,E02002561,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,102.0
35,2001,E02002561,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
36,2001,E02002562,2001 super output areas - middle layer,305,All households,2816.0
37,2001,E02002562,2001 super output areas - middle layer,305,Average household size,2.13
38,2001,E02002562,2001 super output areas - middle layer,305,Average number of rooms per household,4.76
39,2001,E02002562,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,170.0
40,2001,E02002562,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2467.0
41,2001,E02002562,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,3.0
42,2001,E02002562,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,344.0
43,2001,E02002562,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,0.0
44,2001,E02002562,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,13.0
45,2001,E02002562,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2479.0
46,2001,E02002562,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,324.0
47,2001,E02002562,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
48,2001,E02002563,2001 super output areas - middle layer,305,All households,2368.0
49,2001,E02002563,2001 super output areas - middle layer,305,Average household size,2.3
50,2001,E02002563,2001 super output areas - middle layer,305,Average number of rooms per household,5.08
51,2001,E02002563,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,99.0
52,2001,E02002563,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2284.0
53,2001,E02002563,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
54,2001,E02002563,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,81.0
55,2001,E02002563,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,3.0
56,2001,E02002563,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,8.0
57,2001,E02002563,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),2176.0
58,2001,E02002563,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,183.0
59,2001,E02002563,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,0.0
60,2001,E02002564,2001 super output areas - middle layer,305,All households,3968.0
61,2001,E02002564,2001 super output areas - middle layer,305,Average household size,2.33
62,2001,E02002564,2001 super output areas - middle layer,305,Average number of rooms per household,5.05
63,2001,E02002564,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,183.0
64,2001,E02002564,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,3859.0
65,2001,E02002564,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
66,2001,E02002564,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,105.0
67,2001,E02002564,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
68,2001,E02002564,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,5.0
69,2001,E02002564,2001 super output areas - middle layer,305,Lowest floor level - Ground level (street level),3690.0
70,2001,E02002564,2001 super output areas - middle layer,305,Lowest floor level - first to fourth floor,272.0
71,2001,E02002564,2001 super output areas - middle layer,305,Lowest floor level - fifth floor or higher,3.0
72,2001,E02002565,2001 super output areas - middle layer,305,All households,2597.0
73,2001,E02002565,2001 super output areas - middle layer,305,Average household size,2.12
74,2001,E02002565,2001 super output areas - middle layer,305,Average number of rooms per household,5.14
75,2001,E02002565,2001 super output areas - middle layer,305,Occupancy rating of -1 or less,72.0
76,2001,E02002565,2001 super output areas - middle layer,305,With central heating and sole use of bath/shower and toilet,2265.0
77,2001,E02002565,2001 super output areas - middle layer,305,Without central heating or sole use of bath/shower and toilet,0.0
78,2001,E02002565,2001 super output areas - middle layer,305,Without central heating; with sole use of bath/shower and toilet,327.0
79,2001,E02002565,2001 super output areas - middle layer,305,With central heating; without sole use of bath/shower and toilet,4.0
80,2001,E02002565,2001 super output areas - middle layer,305,Lowest floor level - Basement or semi-basement,15.0
