,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,DEPCHILD_NAME,OBS_VALUE
0,2001,E02000626,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,501
1,2001,E02000626,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,992
2,2001,E02000627,2001 super output areas - middle layer,305,All households,3182
3,2001,E02000627,2001 super output areas - middle layer,305,No adults in employment - with dependent children,289
4,2001,E02000627,2001 super output areas - middle layer,305,No adults in employment - without dependent children,725
5,2001,E02000627,2001 super output areas - middle layer,305,With dependent children - all ages,857
6,2001,E02000627,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,395
7,2001,E02000627,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,850
8,2001,E02000628,2001 super output areas - middle layer,305,All households,3447
9,2001,E02000628,2001 super output areas - middle layer,305,No adults in employment - with dependent children,442
10,2001,E02000628,2001 super output areas - middle layer,305,No adults in employment - without dependent children,909
11,2001,E02000628,2001 super output areas - middle layer,305,With dependent children - all ages,1190
12,2001,E02000628,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,549
13,2001,E02000628,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1007
14,2001,E02000629,2001 super output areas - middle layer,305,All households,3359
15,2001,E02000629,2001 super output areas - middle layer,305,No adults in employment - with dependent children,211
16,2001,E02000629,2001 super output areas - middle layer,305,No adults in employment - without dependent children,628
17,2001,E02000629,2001 super output areas - middle layer,305,With dependent children - all ages,733
18,2001,E02000629,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,360
19,2001,E02000629,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,709
20,2001,E02000630,2001 super output areas - middle layer,305,All households,3377
21,2001,E02000630,2001 super output areas - middle layer,305,No adults in employment - with dependent children,230
22,2001,E02000630,2001 super output areas - middle layer,305,No adults in employment - without dependent children,721
23,2001,E02000630,2001 super output areas - middle layer,305,With dependent children - all ages,746
24,2001,E02000630,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,362
25,2001,E02000630,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,740
26,2001,E02000631,2001 super output areas - middle layer,305,All households,3288
27,2001,E02000631,2001 super output areas - middle layer,305,No adults in employment - with dependent children,164
28,2001,E02000631,2001 super output areas - middle layer,305,No adults in employment - without dependent children,792
