,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,100
1,2001,E02002559,2001 super output areas - middle layer,305,Male lone parent: Total,6
2,2001,E02002559,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
3,2001,E02002559,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,4
4,2001,E02002559,2001 super output areas - middle layer,305,Female lone parent: Total,94
5,2001,E02002559,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,29
6,2001,E02002559,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,35
7,2001,E02002560,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,128
8,2001,E02002560,2001 super output areas - middle layer,305,Male lone parent: Total,7
9,2001,E02002560,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
10,2001,E02002560,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,4
11,2001,E02002560,2001 super output areas - middle layer,305,Female lone parent: Total,121
12,2001,E02002560,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,39
13,2001,E02002560,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,41
14,2001,E02002561,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,136
15,2001,E02002561,2001 super output areas - middle layer,305,Male lone parent: Total,15
16,2001,E02002561,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
17,2001,E02002561,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,11
18,2001,E02002561,2001 super output areas - middle layer,305,Female lone parent: Total,121
19,2001,E02002561,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,45
20,2001,E02002561,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,35
21,2001,E02002562,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,254
22,2001,E02002562,2001 super output areas - middle layer,305,Male lone parent: Total,22
23,2001,E02002562,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,3
24,2001,E02002562,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,10
25,2001,E02002562,2001 super output areas - middle layer,305,Female lone parent: Total,232
26,2001,E02002562,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,67
27,2001,E02002562,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,29
28,2001,E02002563,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,186
29,2001,E02002563,2001 super output areas - middle layer,305,Male lone parent: Total,16
30,2001,E02002563,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
31,2001,E02002563,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,7
32,2001,E02002563,2001 super output areas - middle layer,305,Female lone parent: Total,170
33,2001,E02002563,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,59
34,2001,E02002563,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,29
35,2001,E02002564,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,359
36,2001,E02002564,2001 super output areas - middle layer,305,Male lone parent: Total,24
37,2001,E02002564,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,3
38,2001,E02002564,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,16
39,2001,E02002564,2001 super output areas - middle layer,305,Female lone parent: Total,335
40,2001,E02002564,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,114
41,2001,E02002564,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,59
42,2001,E02002565,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,241
43,2001,E02002565,2001 super output areas - middle layer,305,Male lone parent: Total,13
44,2001,E02002565,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
45,2001,E02002565,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,9
46,2001,E02002565,2001 super output areas - middle layer,305,Female lone parent: Total,228
47,2001,E02002565,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,67
48,2001,E02002565,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,56
49,2001,E02002566,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,260
50,2001,E02002566,2001 super output areas - middle layer,305,Male lone parent: Total,20
51,2001,E02002566,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
52,2001,E02002566,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,9
53,2001,E02002566,2001 super output areas - middle layer,305,Female lone parent: Total,240
54,2001,E02002566,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,66
55,2001,E02002566,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,46
56,2001,E02002567,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,315
57,2001,E02002567,2001 super output areas - middle layer,305,Male lone parent: Total,28
58,2001,E02002567,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
59,2001,E02002567,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,12
60,2001,E02002567,2001 super output areas - middle layer,305,Female lone parent: Total,287
61,2001,E02002567,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,91
62,2001,E02002567,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,34
63,2001,E02002568,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,74
64,2001,E02002568,2001 super output areas - middle layer,305,Male lone parent: Total,11
65,2001,E02002568,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,3
66,2001,E02002568,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,9
67,2001,E02002568,2001 super output areas - middle layer,305,Female lone parent: Total,63
68,2001,E02002568,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,20
69,2001,E02002568,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,25
70,2001,E02002569,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,109
71,2001,E02002569,2001 super output areas - middle layer,305,Male lone parent: Total,14
72,2001,E02002569,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
73,2001,E02002569,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,13
74,2001,E02002569,2001 super output areas - middle layer,305,Female lone parent: Total,95
75,2001,E02002569,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,34
76,2001,E02002569,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,43
77,2001,E02002570,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,303
78,2001,E02002570,2001 super output areas - middle layer,305,Male lone parent: Total,25
79,2001,E02002570,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
80,2001,E02002570,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,11
81,2001,E02002570,2001 super output areas - middle layer,305,Female lone parent: Total,278
82,2001,E02002570,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,98
83,2001,E02002570,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,38
84,2001,E02002571,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,267
85,2001,E02002571,2001 super output areas - middle layer,305,Male lone parent: Total,25
86,2001,E02002571,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
87,2001,E02002571,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,7
88,2001,E02002571,2001 super output areas - middle layer,305,Female lone parent: Total,242
89,2001,E02002571,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,74
90,2001,E02002571,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,19
91,2001,E02002572,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,318
92,2001,E02002572,2001 super output areas - middle layer,305,Male lone parent: Total,26
93,2001,E02002572,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
94,2001,E02002572,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,10
95,2001,E02002572,2001 super output areas - middle layer,305,Female lone parent: Total,292
96,2001,E02002572,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,74
97,2001,E02002572,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,36
98,2001,E02002573,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,120
99,2001,E02002573,2001 super output areas - middle layer,305,Male lone parent: Total,15
100,2001,E02002573,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
101,2001,E02002573,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,14
102,2001,E02002573,2001 super output areas - middle layer,305,Female lone parent: Total,105
103,2001,E02002573,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,44
104,2001,E02002573,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,32
105,2001,E02002483,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,191
106,2001,E02002483,2001 super output areas - middle layer,305,Male lone parent: Total,12
107,2001,E02002483,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,3
108,2001,E02002483,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,5
109,2001,E02002483,2001 super output areas - middle layer,305,Female lone parent: Total,179
110,2001,E02002483,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,60
111,2001,E02002483,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,39
112,2001,E02002484,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,457
113,2001,E02002484,2001 super output areas - middle layer,305,Male lone parent: Total,35
114,2001,E02002484,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,5
115,2001,E02002484,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,7
116,2001,E02002484,2001 super output areas - middle layer,305,Female lone parent: Total,422
117,2001,E02002484,2001 super output areas - middle layer,305,Female lone parent: In part-time employment,115
118,2001,E02002484,2001 super output areas - middle layer,305,Female lone parent: In full-time employment,37
119,2001,E02002485,2001 super output areas - middle layer,305,All lone parent housholds with dependent children,387
120,2001,E02002485,2001 super output areas - middle layer,305,Male lone parent: Total,22
121,2001,E02002485,2001 super output areas - middle layer,305,Male lone parent: In part-time employment,0
122,2001,E02002485,2001 super output areas - middle layer,305,Male lone parent: In full-time employment,4
123,2001,E02002485,2001 super output areas - middle layer,305,Female lone parent: Total,365
