,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2001,W02000314,2001 super output areas - middle layer,305,All people aged 3 and over,6937
1,2001,W02000314,2001 super output areas - middle layer,305,Understands spoken Welsh only,174
2,2001,W02000314,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,131
3,2001,W02000314,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,44
4,2001,W02000314,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",504
5,2001,W02000314,2001 super output areas - middle layer,305,Other combination of skills,167
6,2001,W02000314,2001 super output areas - middle layer,305,No knowledge of Welsh,5917
7,2001,W02000315,2001 super output areas - middle layer,305,All people aged 3 and over,5418
8,2001,W02000315,2001 super output areas - middle layer,305,Understands spoken Welsh only,167
9,2001,W02000315,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,97
10,2001,W02000315,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,23
11,2001,W02000315,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",367
12,2001,W02000315,2001 super output areas - middle layer,305,Other combination of skills,148
13,2001,W02000315,2001 super output areas - middle layer,305,No knowledge of Welsh,4616
14,2001,W02000316,2001 super output areas - middle layer,305,All people aged 3 and over,6849
15,2001,W02000316,2001 super output areas - middle layer,305,Understands spoken Welsh only,158
16,2001,W02000316,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,110
17,2001,W02000316,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,47
18,2001,W02000316,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",471
19,2001,W02000316,2001 super output areas - middle layer,305,Other combination of skills,152
20,2001,W02000316,2001 super output areas - middle layer,305,No knowledge of Welsh,5911
21,2001,W02000317,2001 super output areas - middle layer,305,All people aged 3 and over,7679
22,2001,W02000317,2001 super output areas - middle layer,305,Understands spoken Welsh only,160
23,2001,W02000317,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,131
24,2001,W02000317,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,40
25,2001,W02000317,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",454
26,2001,W02000317,2001 super output areas - middle layer,305,Other combination of skills,148
27,2001,W02000317,2001 super output areas - middle layer,305,No knowledge of Welsh,6746
28,2001,W02000318,2001 super output areas - middle layer,305,All people aged 3 and over,8808
29,2001,W02000318,2001 super output areas - middle layer,305,Understands spoken Welsh only,188
30,2001,W02000318,2001 super output areas - middle layer,305,Speaks but does not read or write Welsh,174
31,2001,W02000318,2001 super output areas - middle layer,305,Speaks and reads but does not write Welsh,48
32,2001,W02000318,2001 super output areas - middle layer,305,"Speaks, reads and writes Welsh",610
