,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2011,E02002559,2011 super output areas - middle layer,297,All categories: Dwelling type,3813
1,2011,E02002559,2011 super output areas - middle layer,297,Unshared dwelling,3811
2,2011,E02002559,2011 super output areas - middle layer,297,Shared dwelling,2
3,2011,E02002559,2011 super output areas - middle layer,297,All categories: Household spaces,3816
4,2011,E02002559,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,3646
5,2011,E02002559,2011 super output areas - middle layer,297,Household spaces with no usual residents,170
6,2011,E02002559,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,1724
7,2011,E02002559,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,1178
8,2011,E02002559,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),718
9,2011,E02002559,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",139
10,2011,E02002559,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",11
11,2011,E02002559,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: In a commercial building",27
12,2011,E02002559,2011 super output areas - middle layer,297,Caravan or other mobile or temporary structure,19
13,2011,E02002560,2011 super output areas - middle layer,297,All categories: Dwelling type,2596
14,2011,E02002560,2011 super output areas - middle layer,297,Unshared dwelling,2596
15,2011,E02002560,2011 super output areas - middle layer,297,Shared dwelling,0
16,2011,E02002560,2011 super output areas - middle layer,297,All categories: Household spaces,2596
17,2011,E02002560,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,2511
18,2011,E02002560,2011 super output areas - middle layer,297,Household spaces with no usual residents,85
19,2011,E02002560,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,379
20,2011,E02002560,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,1481
21,2011,E02002560,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),700
22,2011,E02002560,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",9
23,2011,E02002560,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",10
24,2011,E02002560,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: In a commercial building",16
25,2011,E02002560,2011 super output areas - middle layer,297,Caravan or other mobile or temporary structure,1
26,2011,E02002561,2011 super output areas - middle layer,297,All categories: Dwelling type,2567
27,2011,E02002561,2011 super output areas - middle layer,297,Unshared dwelling,2567
28,2011,E02002561,2011 super output areas - middle layer,297,Shared dwelling,0
29,2011,E02002561,2011 super output areas - middle layer,297,All categories: Household spaces,2567
30,2011,E02002561,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,2507
31,2011,E02002561,2011 super output areas - middle layer,297,Household spaces with no usual residents,60
32,2011,E02002561,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,897
33,2011,E02002561,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,947
34,2011,E02002561,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),497
35,2011,E02002561,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",217
36,2011,E02002561,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",5
37,2011,E02002561,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: In a commercial building",4
38,2011,E02002561,2011 super output areas - middle layer,297,Caravan or other mobile or temporary structure,0
39,2011,E02002562,2011 super output areas - middle layer,297,All categories: Dwelling type,3111
40,2011,E02002562,2011 super output areas - middle layer,297,Unshared dwelling,3111
41,2011,E02002562,2011 super output areas - middle layer,297,Shared dwelling,0
42,2011,E02002562,2011 super output areas - middle layer,297,All categories: Household spaces,3111
43,2011,E02002562,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,2933
44,2011,E02002562,2011 super output areas - middle layer,297,Household spaces with no usual residents,178
45,2011,E02002562,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,347
46,2011,E02002562,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,495
47,2011,E02002562,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),1548
48,2011,E02002562,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",632
49,2011,E02002562,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",58
50,2011,E02002562,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: In a commercial building",29
51,2011,E02002562,2011 super output areas - middle layer,297,Caravan or other mobile or temporary structure,2
52,2011,E02002563,2011 super output areas - middle layer,297,All categories: Dwelling type,2393
53,2011,E02002563,2011 super output areas - middle layer,297,Unshared dwelling,2393
54,2011,E02002563,2011 super output areas - middle layer,297,Shared dwelling,0
55,2011,E02002563,2011 super output areas - middle layer,297,All categories: Household spaces,2393
56,2011,E02002563,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,2343
57,2011,E02002563,2011 super output areas - middle layer,297,Household spaces with no usual residents,50
58,2011,E02002563,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,408
59,2011,E02002563,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,1303
60,2011,E02002563,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),373
61,2011,E02002563,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",277
62,2011,E02002563,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",27
63,2011,E02002563,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: In a commercial building",5
64,2011,E02002563,2011 super output areas - middle layer,297,Caravan or other mobile or temporary structure,0
65,2011,E02002564,2011 super output areas - middle layer,297,All categories: Dwelling type,4273
66,2011,E02002564,2011 super output areas - middle layer,297,Unshared dwelling,4273
67,2011,E02002564,2011 super output areas - middle layer,297,Shared dwelling,0
68,2011,E02002564,2011 super output areas - middle layer,297,All categories: Household spaces,4273
69,2011,E02002564,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,4137
70,2011,E02002564,2011 super output areas - middle layer,297,Household spaces with no usual residents,136
71,2011,E02002564,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,388
72,2011,E02002564,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,2303
73,2011,E02002564,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),995
74,2011,E02002564,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",532
75,2011,E02002564,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",38
76,2011,E02002564,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: In a commercial building",17
77,2011,E02002564,2011 super output areas - middle layer,297,Caravan or other mobile or temporary structure,0
78,2011,E02002565,2011 super output areas - middle layer,297,All categories: Dwelling type,2830
79,2011,E02002565,2011 super output areas - middle layer,297,Unshared dwelling,2829
80,2011,E02002565,2011 super output areas - middle layer,297,Shared dwelling,1
81,2011,E02002565,2011 super output areas - middle layer,297,All categories: Household spaces,2833
82,2011,E02002565,2011 super output areas - middle layer,297,Household spaces with at least one usual resident,2667
83,2011,E02002565,2011 super output areas - middle layer,297,Household spaces with no usual residents,166
84,2011,E02002565,2011 super output areas - middle layer,297,Whole house or bungalow: Detached,68
85,2011,E02002565,2011 super output areas - middle layer,297,Whole house or bungalow: Semi-detached,634
86,2011,E02002565,2011 super output areas - middle layer,297,Whole house or bungalow: Terraced (including end-terrace),1976
87,2011,E02002565,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",67
88,2011,E02002565,2011 super output areas - middle layer,297,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",59
