,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESTYPE_3_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,10239
1,2021,E02002483,2021 super output areas - middle layer,152,Lives in a household,10239
2,2021,E02002483,2021 super output areas - middle layer,152,Lives in a communal establishment,0
3,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,10278
4,2021,E02002484,2021 super output areas - middle layer,152,Lives in a household,10100
5,2021,E02002484,2021 super output areas - middle layer,152,Lives in a communal establishment,178
6,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,8001
7,2021,E02002485,2021 super output areas - middle layer,152,Lives in a household,7954
8,2021,E02002485,2021 super output areas - middle layer,152,Lives in a communal establishment,47
9,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,7125
10,2021,E02002489,2021 super output areas - middle layer,152,Lives in a household,6934
11,2021,E02002489,2021 super output areas - middle layer,152,Lives in a communal establishment,191
12,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents,5805
13,2021,E02002490,2021 super output areas - middle layer,152,Lives in a household,5777
14,2021,E02002490,2021 super output areas - middle layer,152,Lives in a communal establishment,28
15,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents,6473
16,2021,E02002491,2021 super output areas - middle layer,152,Lives in a household,6422
17,2021,E02002491,2021 super output areas - middle layer,152,Lives in a communal establishment,51
18,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents,6774
19,2021,E02002492,2021 super output areas - middle layer,152,Lives in a household,6676
20,2021,E02002492,2021 super output areas - middle layer,152,Lives in a communal establishment,98
21,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents,6751
22,2021,E02002493,2021 super output areas - middle layer,152,Lives in a household,6642
23,2021,E02002493,2021 super output areas - middle layer,152,Lives in a communal establishment,109
24,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents,7673
25,2021,E02002494,2021 super output areas - middle layer,152,Lives in a household,7622
26,2021,E02002494,2021 super output areas - middle layer,152,Lives in a communal establishment,51
27,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents,12688
28,2021,E02006909,2021 super output areas - middle layer,152,Lives in a household,12615
29,2021,E02006909,2021 super output areas - middle layer,152,Lives in a communal establishment,73
30,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents,10532
31,2021,E02007059,2021 super output areas - middle layer,152,Lives in a household,10490
32,2021,E02007059,2021 super output areas - middle layer,152,Lives in a communal establishment,42
33,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents,11864
34,2021,E02002496,2021 super output areas - middle layer,152,Lives in a household,10685
35,2021,E02002496,2021 super output areas - middle layer,152,Lives in a communal establishment,1179
36,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents,6112
37,2021,E02002497,2021 super output areas - middle layer,152,Lives in a household,6076
38,2021,E02002497,2021 super output areas - middle layer,152,Lives in a communal establishment,36
39,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents,8505
40,2021,E02002498,2021 super output areas - middle layer,152,Lives in a household,8439
41,2021,E02002498,2021 super output areas - middle layer,152,Lives in a communal establishment,66
42,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents,7680
43,2021,E02002499,2021 super output areas - middle layer,152,Lives in a household,7589
44,2021,E02002499,2021 super output areas - middle layer,152,Lives in a communal establishment,91
45,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents,5907
46,2021,E02002500,2021 super output areas - middle layer,152,Lives in a household,5800
47,2021,E02002500,2021 super output areas - middle layer,152,Lives in a communal establishment,107
48,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents,6266
49,2021,E02002501,2021 super output areas - middle layer,152,Lives in a household,6165
50,2021,E02002501,2021 super output areas - middle layer,152,Lives in a communal establishment,101
51,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents,9792
52,2021,E02002502,2021 super output areas - middle layer,152,Lives in a household,9753
53,2021,E02002502,2021 super output areas - middle layer,152,Lives in a communal establishment,39
54,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents,6835
55,2021,E02002503,2021 super output areas - middle layer,152,Lives in a household,6835
56,2021,E02002503,2021 super output areas - middle layer,152,Lives in a communal establishment,0
57,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents,9756
