,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
0,2021,E02000141,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,509
1,2021,E02000141,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,507
2,2021,E02000141,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,2
3,2021,E02000141,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,230
4,2021,E02000141,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,229
5,2021,E02000141,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,1
6,2021,E02000142,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7008
7,2021,E02000142,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,2479
8,2021,E02000142,2021 super output areas - middle layer,152,Married or in a registered civil partnership,3514
9,2021,E02000142,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,3498
10,2021,E02000142,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,3475
11,2021,E02000142,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,23
12,2021,E02000142,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,16
13,2021,E02000142,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,4
14,2021,E02000142,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,12
15,2021,E02000142,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",134
16,2021,E02000142,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",134
17,2021,E02000142,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
18,2021,E02000142,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,483
19,2021,E02000142,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,483
20,2021,E02000142,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,0
21,2021,E02000142,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,398
22,2021,E02000142,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,398
23,2021,E02000142,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
24,2021,E02000144,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8106
25,2021,E02000144,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,3216
26,2021,E02000144,2021 super output areas - middle layer,152,Married or in a registered civil partnership,3835
27,2021,E02000144,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,3820
28,2021,E02000144,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,3791
29,2021,E02000144,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,29
30,2021,E02000144,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,15
31,2021,E02000144,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,4
32,2021,E02000144,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,11
33,2021,E02000144,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",154
34,2021,E02000144,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",154
35,2021,E02000144,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
36,2021,E02000144,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,552
37,2021,E02000144,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,547
38,2021,E02000144,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,5
39,2021,E02000144,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,349
40,2021,E02000144,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,349
41,2021,E02000144,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
42,2021,E02000145,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6679
43,2021,E02000145,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,2957
44,2021,E02000145,2021 super output areas - middle layer,152,Married or in a registered civil partnership,2488
45,2021,E02000145,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,2481
46,2021,E02000145,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,2473
47,2021,E02000145,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,8
48,2021,E02000145,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,7
49,2021,E02000145,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,6
50,2021,E02000145,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,1
51,2021,E02000145,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",201
52,2021,E02000145,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",201
53,2021,E02000145,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
54,2021,E02000145,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,650
55,2021,E02000145,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,649
56,2021,E02000145,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,1
57,2021,E02000145,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,383
58,2021,E02000145,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,383
59,2021,E02000145,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
60,2021,E02000146,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7737
61,2021,E02000146,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,2931
62,2021,E02000146,2021 super output areas - middle layer,152,Married or in a registered civil partnership,3449
63,2021,E02000146,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,3424
64,2021,E02000146,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,3389
65,2021,E02000146,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,35
66,2021,E02000146,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,25
67,2021,E02000146,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,8
68,2021,E02000146,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Same sex,17
69,2021,E02000146,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership",167
70,2021,E02000146,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",164
71,2021,E02000146,2021 super output areas - middle layer,152,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",3
72,2021,E02000146,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved,708
73,2021,E02000146,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Divorced,706
74,2021,E02000146,2021 super output areas - middle layer,152,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,2
75,2021,E02000146,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner,482
76,2021,E02000146,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Widowed,482
77,2021,E02000146,2021 super output areas - middle layer,152,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,0
78,2021,E02000147,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6565
79,2021,E02000147,2021 super output areas - middle layer,152,Never married and never registered a civil partnership,1877
80,2021,E02000147,2021 super output areas - middle layer,152,Married or in a registered civil partnership,3854
81,2021,E02000147,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married,3843
82,2021,E02000147,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Opposite sex,3810
83,2021,E02000147,2021 super output areas - middle layer,152,Married or in a registered civil partnership: Married: Same sex,33
84,2021,E02000147,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership,11
85,2021,E02000147,2021 super output areas - middle layer,152,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,5
