,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHCOMP_15_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,One-person household,1183
2,2021,E02002483,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,568
3,2021,E02002483,2021 super output areas - middle layer,152,One-person household: Other,615
4,2021,E02002483,2021 super output areas - middle layer,152,Single family household,3040
5,2021,E02002483,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,411
6,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,1463
7,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,499
8,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,647
9,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,317
10,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,649
11,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,274
12,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,335
13,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,40
14,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Lone parent family,507
15,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,354
16,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,153
17,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Other single family household,10
18,2021,E02002483,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,10
19,2021,E02002483,2021 super output areas - middle layer,152,Other household types,107
20,2021,E02002483,2021 super output areas - middle layer,152,Other household types: With dependent children,53
21,2021,E02002483,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",54
22,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4592
23,2021,E02002484,2021 super output areas - middle layer,152,One-person household,1655
24,2021,E02002484,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,612
25,2021,E02002484,2021 super output areas - middle layer,152,One-person household: Other,1043
26,2021,E02002484,2021 super output areas - middle layer,152,Single family household,2778
27,2021,E02002484,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,257
28,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,1055
29,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,459
30,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,370
31,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,226
32,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,595
33,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,255
34,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,286
35,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,54
36,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Lone parent family,838
37,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,611
38,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,227
39,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Other single family household,33
40,2021,E02002484,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,33
41,2021,E02002484,2021 super output areas - middle layer,152,Other household types,159
42,2021,E02002484,2021 super output areas - middle layer,152,Other household types: With dependent children,68
43,2021,E02002484,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",91
44,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3542
45,2021,E02002485,2021 super output areas - middle layer,152,One-person household,1202
46,2021,E02002485,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,516
47,2021,E02002485,2021 super output areas - middle layer,152,One-person household: Other,686
48,2021,E02002485,2021 super output areas - middle layer,152,Single family household,2222
49,2021,E02002485,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,226
50,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,839
51,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,325
52,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,304
53,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,210
54,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,447
55,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,186
56,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,220
57,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,41
58,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Lone parent family,684
59,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,498
60,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,186
61,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Other single family household,26
62,2021,E02002485,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,26
63,2021,E02002485,2021 super output areas - middle layer,152,Other household types,118
64,2021,E02002485,2021 super output areas - middle layer,152,Other household types: With dependent children,63
65,2021,E02002485,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",55
