,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COB_12_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,10239
1,2021,E02002483,2021 super output areas - middle layer,152,Europe,10131
2,2021,E02002483,2021 super output areas - middle layer,152,Europe: United Kingdom,10023
3,2021,E02002483,2021 super output areas - middle layer,152,Europe: EU countries,96
4,2021,E02002483,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,51
5,2021,E02002483,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,33
6,2021,E02002483,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,4
7,2021,E02002483,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,8
8,2021,E02002483,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,12
9,2021,E02002483,2021 super output areas - middle layer,152,Africa,19
10,2021,E02002483,2021 super output areas - middle layer,152,Middle East and Asia,64
11,2021,E02002483,2021 super output areas - middle layer,152,The Americas and the Caribbean,13
12,2021,E02002483,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,12
13,2021,E02002483,2021 super output areas - middle layer,152,British Overseas,0
14,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,10278
15,2021,E02002484,2021 super output areas - middle layer,152,Europe,10101
16,2021,E02002484,2021 super output areas - middle layer,152,Europe: United Kingdom,9895
17,2021,E02002484,2021 super output areas - middle layer,152,Europe: EU countries,194
18,2021,E02002484,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,81
19,2021,E02002484,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,97
20,2021,E02002484,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,10
21,2021,E02002484,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,6
22,2021,E02002484,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,12
23,2021,E02002484,2021 super output areas - middle layer,152,Africa,61
24,2021,E02002484,2021 super output areas - middle layer,152,Middle East and Asia,98
25,2021,E02002484,2021 super output areas - middle layer,152,The Americas and the Caribbean,12
26,2021,E02002484,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,6
27,2021,E02002484,2021 super output areas - middle layer,152,British Overseas,0
28,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,8004
29,2021,E02002485,2021 super output areas - middle layer,152,Europe,7810
30,2021,E02002485,2021 super output areas - middle layer,152,Europe: United Kingdom,7654
31,2021,E02002485,2021 super output areas - middle layer,152,Europe: EU countries,144
32,2021,E02002485,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,48
33,2021,E02002485,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,80
34,2021,E02002485,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,12
35,2021,E02002485,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,4
36,2021,E02002485,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,12
37,2021,E02002485,2021 super output areas - middle layer,152,Africa,41
38,2021,E02002485,2021 super output areas - middle layer,152,Middle East and Asia,130
39,2021,E02002485,2021 super output areas - middle layer,152,The Americas and the Caribbean,18
40,2021,E02002485,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,5
41,2021,E02002485,2021 super output areas - middle layer,152,British Overseas,0
42,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,7124
43,2021,E02002489,2021 super output areas - middle layer,152,Europe,6832
44,2021,E02002489,2021 super output areas - middle layer,152,Europe: United Kingdom,6662
45,2021,E02002489,2021 super output areas - middle layer,152,Europe: EU countries,149
46,2021,E02002489,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,63
47,2021,E02002489,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,77
48,2021,E02002489,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,7
49,2021,E02002489,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,2
50,2021,E02002489,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,21
51,2021,E02002489,2021 super output areas - middle layer,152,Africa,64
52,2021,E02002489,2021 super output areas - middle layer,152,Middle East and Asia,203
53,2021,E02002489,2021 super output areas - middle layer,152,The Americas and the Caribbean,19
54,2021,E02002489,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,5
55,2021,E02002489,2021 super output areas - middle layer,152,British Overseas,1
56,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents,5805
57,2021,E02002490,2021 super output areas - middle layer,152,Europe,5591
58,2021,E02002490,2021 super output areas - middle layer,152,Europe: United Kingdom,5394
59,2021,E02002490,2021 super output areas - middle layer,152,Europe: EU countries,177
60,2021,E02002490,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,33
61,2021,E02002490,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,139
62,2021,E02002490,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,4
63,2021,E02002490,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,1
64,2021,E02002490,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,20
65,2021,E02002490,2021 super output areas - middle layer,152,Africa,69
66,2021,E02002490,2021 super output areas - middle layer,152,Middle East and Asia,111
67,2021,E02002490,2021 super output areas - middle layer,152,The Americas and the Caribbean,24
68,2021,E02002490,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,7
69,2021,E02002490,2021 super output areas - middle layer,152,British Overseas,3
70,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents,6472
71,2021,E02002491,2021 super output areas - middle layer,152,Europe,6317
72,2021,E02002491,2021 super output areas - middle layer,152,Europe: United Kingdom,6249
73,2021,E02002491,2021 super output areas - middle layer,152,Europe: EU countries,64
74,2021,E02002491,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,37
75,2021,E02002491,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,20
