,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_102_NAME,OBS_VALUE
0,2021,E02001344,2021 super output areas - middle layer,152,Aged 17 years,61
1,2021,E02001344,2021 super output areas - middle layer,152,Aged 18 years,58
2,2021,E02001344,2021 super output areas - middle layer,152,Aged 19 years,40
3,2021,E02001344,2021 super output areas - middle layer,152,Aged 20 to 24 years,294
4,2021,E02001344,2021 super output areas - middle layer,152,Aged 20 years,54
5,2021,E02001344,2021 super output areas - middle layer,152,Aged 21 years,63
6,2021,E02001344,2021 super output areas - middle layer,152,Aged 22 years,54
7,2021,E02001344,2021 super output areas - middle layer,152,Aged 23 years,55
8,2021,E02001344,2021 super output areas - middle layer,152,Aged 24 years,68
9,2021,E02001344,2021 super output areas - middle layer,152,Aged 25 to 34 years,736
10,2021,E02001344,2021 super output areas - middle layer,152,Aged 25 years,56
11,2021,E02001344,2021 super output areas - middle layer,152,Aged 26 years,77
12,2021,E02001344,2021 super output areas - middle layer,152,Aged 27 years,81
13,2021,E02001344,2021 super output areas - middle layer,152,Aged 28 years,75
14,2021,E02001344,2021 super output areas - middle layer,152,Aged 29 years,70
15,2021,E02001344,2021 super output areas - middle layer,152,Aged 30 years,82
16,2021,E02001344,2021 super output areas - middle layer,152,Aged 31 years,72
17,2021,E02001344,2021 super output areas - middle layer,152,Aged 32 years,69
18,2021,E02001344,2021 super output areas - middle layer,152,Aged 33 years,86
19,2021,E02001344,2021 super output areas - middle layer,152,Aged 34 years,68
20,2021,E02001344,2021 super output areas - middle layer,152,Aged 35 to 49 years,951
21,2021,E02001344,2021 super output areas - middle layer,152,Aged 35 years,74
22,2021,E02001344,2021 super output areas - middle layer,152,Aged 36 years,77
23,2021,E02001344,2021 super output areas - middle layer,152,Aged 37 years,73
24,2021,E02001344,2021 super output areas - middle layer,152,Aged 38 years,61
25,2021,E02001344,2021 super output areas - middle layer,152,Aged 39 years,77
26,2021,E02001344,2021 super output areas - middle layer,152,Aged 40 years,69
27,2021,E02001344,2021 super output areas - middle layer,152,Aged 41 years,63
28,2021,E02001344,2021 super output areas - middle layer,152,Aged 42 years,68
29,2021,E02001344,2021 super output areas - middle layer,152,Aged 43 years,47
30,2021,E02001344,2021 super output areas - middle layer,152,Aged 44 years,41
31,2021,E02001344,2021 super output areas - middle layer,152,Aged 45 years,57
32,2021,E02001344,2021 super output areas - middle layer,152,Aged 46 years,48
33,2021,E02001344,2021 super output areas - middle layer,152,Aged 47 years,61
34,2021,E02001344,2021 super output areas - middle layer,152,Aged 48 years,63
35,2021,E02001344,2021 super output areas - middle layer,152,Aged 49 years,72
36,2021,E02001344,2021 super output areas - middle layer,152,Aged 50 to 64 years,1347
37,2021,E02001344,2021 super output areas - middle layer,152,Aged 50 years,90
38,2021,E02001344,2021 super output areas - middle layer,152,Aged 51 years,79
39,2021,E02001344,2021 super output areas - middle layer,152,Aged 52 years,69
40,2021,E02001344,2021 super output areas - middle layer,152,Aged 53 years,80
41,2021,E02001344,2021 super output areas - middle layer,152,Aged 54 years,79
42,2021,E02001344,2021 super output areas - middle layer,152,Aged 55 years,96
43,2021,E02001344,2021 super output areas - middle layer,152,Aged 56 years,94
44,2021,E02001344,2021 super output areas - middle layer,152,Aged 57 years,88
45,2021,E02001344,2021 super output areas - middle layer,152,Aged 58 years,92
46,2021,E02001344,2021 super output areas - middle layer,152,Aged 59 years,94
47,2021,E02001344,2021 super output areas - middle layer,152,Aged 60 years,113
48,2021,E02001344,2021 super output areas - middle layer,152,Aged 61 years,102
