,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_19_NAME,OBS_VALUE
0,2021,E02004268,2021 super output areas - middle layer,152,Aged 85 years and over,551
1,2021,E02004269,2021 super output areas - middle layer,152,Total,10364
2,2021,E02004269,2021 super output areas - middle layer,152,Aged 4 years and under,386
3,2021,E02004269,2021 super output areas - middle layer,152,Aged 5 to 9 years,441
4,2021,E02004269,2021 super output areas - middle layer,152,Aged 10 to 14 years,727
5,2021,E02004269,2021 super output areas - middle layer,152,Aged 15 to 19 years,1016
6,2021,E02004269,2021 super output areas - middle layer,152,Aged 20 to 24 years,351
7,2021,E02004269,2021 super output areas - middle layer,152,Aged 25 to 29 years,417
8,2021,E02004269,2021 super output areas - middle layer,152,Aged 30 to 34 years,478
9,2021,E02004269,2021 super output areas - middle layer,152,Aged 35 to 39 years,406
10,2021,E02004269,2021 super output areas - middle layer,152,Aged 40 to 44 years,417
11,2021,E02004269,2021 super output areas - middle layer,152,Aged 45 to 49 years,510
12,2021,E02004269,2021 super output areas - middle layer,152,Aged 50 to 54 years,608
13,2021,E02004269,2021 super output areas - middle layer,152,Aged 55 to 59 years,663
14,2021,E02004269,2021 super output areas - middle layer,152,Aged 60 to 64 years,624
15,2021,E02004269,2021 super output areas - middle layer,152,Aged 65 to 69 years,634
16,2021,E02004269,2021 super output areas - middle layer,152,Aged 70 to 74 years,774
17,2021,E02004269,2021 super output areas - middle layer,152,Aged 75 to 79 years,695
18,2021,E02004269,2021 super output areas - middle layer,152,Aged 80 to 84 years,544
19,2021,E02004269,2021 super output areas - middle layer,152,Aged 85 years and over,673
20,2021,E02004270,2021 super output areas - middle layer,152,Total,7792
21,2021,E02004270,2021 super output areas - middle layer,152,Aged 4 years and under,261
22,2021,E02004270,2021 super output areas - middle layer,152,Aged 5 to 9 years,347
23,2021,E02004270,2021 super output areas - middle layer,152,Aged 10 to 14 years,416
24,2021,E02004270,2021 super output areas - middle layer,152,Aged 15 to 19 years,348
25,2021,E02004270,2021 super output areas - middle layer,152,Aged 20 to 24 years,270
26,2021,E02004270,2021 super output areas - middle layer,152,Aged 25 to 29 years,242
27,2021,E02004270,2021 super output areas - middle layer,152,Aged 30 to 34 years,339
28,2021,E02004270,2021 super output areas - middle layer,152,Aged 35 to 39 years,345
29,2021,E02004270,2021 super output areas - middle layer,152,Aged 40 to 44 years,304
30,2021,E02004270,2021 super output areas - middle layer,152,Aged 45 to 49 years,410
31,2021,E02004270,2021 super output areas - middle layer,152,Aged 50 to 54 years,557
32,2021,E02004270,2021 super output areas - middle layer,152,Aged 55 to 59 years,704
33,2021,E02004270,2021 super output areas - middle layer,152,Aged 60 to 64 years,709
34,2021,E02004270,2021 super output areas - middle layer,152,Aged 65 to 69 years,632
35,2021,E02004270,2021 super output areas - middle layer,152,Aged 70 to 74 years,704
36,2021,E02004270,2021 super output areas - middle layer,152,Aged 75 to 79 years,533
37,2021,E02004270,2021 super output areas - middle layer,152,Aged 80 to 84 years,374
38,2021,E02004270,2021 super output areas - middle layer,152,Aged 85 years and over,297
39,2021,E02004271,2021 super output areas - middle layer,152,Total,10042
40,2021,E02004271,2021 super output areas - middle layer,152,Aged 4 years and under,337
41,2021,E02004271,2021 super output areas - middle layer,152,Aged 5 to 9 years,446
42,2021,E02004271,2021 super output areas - middle layer,152,Aged 10 to 14 years,497
43,2021,E02004271,2021 super output areas - middle layer,152,Aged 15 to 19 years,437
44,2021,E02004271,2021 super output areas - middle layer,152,Aged 20 to 24 years,380
45,2021,E02004271,2021 super output areas - middle layer,152,Aged 25 to 29 years,356
46,2021,E02004271,2021 super output areas - middle layer,152,Aged 30 to 34 years,373
47,2021,E02004271,2021 super output areas - middle layer,152,Aged 35 to 39 years,394
48,2021,E02004271,2021 super output areas - middle layer,152,Aged 40 to 44 years,457
49,2021,E02004271,2021 super output areas - middle layer,152,Aged 45 to 49 years,545
50,2021,E02004271,2021 super output areas - middle layer,152,Aged 50 to 54 years,749
51,2021,E02004271,2021 super output areas - middle layer,152,Aged 55 to 59 years,831
52,2021,E02004271,2021 super output areas - middle layer,152,Aged 60 to 64 years,885
53,2021,E02004271,2021 super output areas - middle layer,152,Aged 65 to 69 years,863
54,2021,E02004271,2021 super output areas - middle layer,152,Aged 70 to 74 years,915
55,2021,E02004271,2021 super output areas - middle layer,152,Aged 75 to 79 years,717
56,2021,E02004271,2021 super output areas - middle layer,152,Aged 80 to 84 years,469
57,2021,E02004271,2021 super output areas - middle layer,152,Aged 85 years and over,391
58,2021,E02004272,2021 super output areas - middle layer,152,Total,12205
