,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LIVING_11_NAME,OBS_VALUE
0,2021,E02004193,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),1823
1,2021,E02004193,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,41
2,2021,E02004193,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),146
3,2021,E02004193,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,670
4,2021,E02004193,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,583
5,2021,E02004194,2021 super output areas - middle layer,152,Total: All usual residents,5996
6,2021,E02004194,2021 super output areas - middle layer,152,Living in a couple,3854
7,2021,E02004194,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,3067
8,2021,E02004194,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,3047
9,2021,E02004194,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,20
10,2021,E02004194,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",1
11,2021,E02004194,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,786
12,2021,E02004194,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,754
13,2021,E02004194,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,32
14,2021,E02004194,2021 super output areas - middle layer,152,Not living in a couple,2142
15,2021,E02004194,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),1215
16,2021,E02004194,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,60
17,2021,E02004194,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),106
18,2021,E02004194,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,436
19,2021,E02004194,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,325
20,2021,E02004195,2021 super output areas - middle layer,152,Total: All usual residents,4411
21,2021,E02004195,2021 super output areas - middle layer,152,Living in a couple,2679
22,2021,E02004195,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,2067
23,2021,E02004195,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,2044
24,2021,E02004195,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,23
25,2021,E02004195,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",3
26,2021,E02004195,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,609
27,2021,E02004195,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,595
28,2021,E02004195,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,14
29,2021,E02004195,2021 super output areas - middle layer,152,Not living in a couple,1732
30,2021,E02004195,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),872
31,2021,E02004195,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,46
32,2021,E02004195,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),95
33,2021,E02004195,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,380
34,2021,E02004195,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,339
35,2021,E02004196,2021 super output areas - middle layer,152,Total: All usual residents,6679
36,2021,E02004196,2021 super output areas - middle layer,152,Living in a couple,4596
37,2021,E02004196,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,3802
38,2021,E02004196,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,3770
39,2021,E02004196,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,32
40,2021,E02004196,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",0
41,2021,E02004196,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,794
42,2021,E02004196,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,768
43,2021,E02004196,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,26
44,2021,E02004196,2021 super output areas - middle layer,152,Not living in a couple,2083
45,2021,E02004196,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),1042
